,Unnamed: 0,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
18,19,3.373,J BIOMED MATER RES B,302,0,1,24,37,39,55,59,45,20,13,9,Acta Biomaterialia
19,20,5.1579999999999995,CARBOHYD POLYM,273,7,25,27,41,33,27,34,30,30,10,9,Acta Biomaterialia
20,21,4.37,INT J NANOMED,272,13,44,44,51,18,22,19,27,14,7,13,Acta Biomaterialia
21,22,2.897,BIOMED MATER,255,4,14,29,32,39,27,37,25,22,18,8,Acta Biomaterialia
22,23,5.831,BIOMATER SCI-UK,237,20,35,41,37,30,28,16,14,10,2,4,Acta Biomaterialia
23,24,5.7379999999999995,BIOMACROMOLECULES,235,10,26,30,47,32,19,26,16,18,8,3,Acta Biomaterialia
24,25,,RSC SMART MATER,234,0,4,31,23,40,28,36,24,19,16,13,Acta Biomaterialia
25,26,3.779,J ALLOY COMPD,228,1,15,19,17,28,36,32,40,13,12,15,Acta Biomaterialia
26,27,3.909,INT J BIOL MACROMOL,221,5,16,28,27,26,21,22,32,25,10,9,Acta Biomaterialia
27,28,2.906,SURF COAT TECH,217,1,6,11,18,22,41,22,31,24,19,22,Acta Biomaterialia
28,29,2.448,J MATER SCI-MATER M,211,1,12,19,16,34,22,31,37,17,10,12,Acta Biomaterialia
29,30,7.877000000000001,J CONTROL RELEASE,209,10,34,55,26,30,18,8,14,9,3,2,Acta Biomaterialia
30,31,4.439,APPL SURF SCI,205,1,7,14,25,19,34,21,30,24,12,18,Acta Biomaterialia
31,32,4.0889999999999995,J TISSUE ENG REGEN M,195,0,2,12,33,35,39,26,19,18,6,5,Acta Biomaterialia
32,33,3.862,INT J PHARMACEUT,188,7,23,33,24,23,21,14,22,11,6,4,Acta Biomaterialia
33,34,2.9930000000000003,J MATER SCI,177,0,7,19,10,40,13,30,19,17,9,13,Acta Biomaterialia
34,35,2.766,PLOS ONE,172,6,22,19,25,21,15,19,15,15,7,8,Acta Biomaterialia
35,36,3.392,MACROMOL BIOSCI,169,5,17,18,35,15,17,20,22,11,1,8,Acta Biomaterialia
36,37,6.837999999999999,BIOFABRICATION,166,5,20,26,34,18,12,15,20,8,5,3,Acta Biomaterialia
37,38,0.7040000000000001,ACTA METALL SIN,153,4,9,5,13,21,25,24,36,8,6,2,Acta Biomaterialia
38,39,2.7569999999999997,CURR PHARM DESIGN,145,3,27,19,22,23,12,13,11,8,4,3,Acta Biomaterialia
39,40,2.935,POLYMERS-BASEL,142,5,14,22,15,13,11,23,19,11,3,6,Acta Biomaterialia
40,41,2.687,MATER LETT,141,0,10,13,15,26,14,18,18,12,9,6,Acta Biomaterialia
41,42,3.405,ANN BIOMED ENG,140,1,15,13,25,17,17,20,18,2,3,9,Acta Biomaterialia
42,43,1.911,J BIOMAT SCI-POLYM E,136,3,11,11,16,11,15,19,19,14,10,7,Acta Biomaterialia
43,44,2.082,J BIOMATER APPL,134,2,6,10,9,18,21,15,21,15,10,7,Acta Biomaterialia
44,45,4.039,DENT MATER,133,1,6,7,24,19,10,25,11,14,7,9,Acta Biomaterialia
45,46,4.525,MATER DESIGN,130,5,13,16,14,14,16,11,19,7,10,5,Acta Biomaterialia
46,47,1.232,MATER TECHNOL,121,0,1,0,1,4,3,11,8,6,26,61,Acta Biomaterialia
47,48,3.687,INT J MOL SCI,120,16,10,19,13,10,8,14,17,6,4,3,Acta Biomaterialia
48,49,52.613,CHEM REV,115,11,20,19,14,16,5,10,7,6,3,4,Acta Biomaterialia
49,50,0.7809999999999999,J BIOMATER TISS ENG,112,2,5,11,20,15,15,11,19,7,4,3,Acta Biomaterialia
50,51,1.901,J APPL POLYM SCI,105,2,5,4,16,12,15,11,17,10,6,7,Acta Biomaterialia
51,52,7.233,NANOSCALE,104,8,23,20,12,7,6,10,6,6,3,3,Acta Biomaterialia
52,53,21.95,ADV MATER,100,0,13,21,14,11,11,6,13,5,3,3,Acta Biomaterialia
53,54,13.325,ADV FUNCT MATER,96,6,17,11,16,11,10,6,9,5,4,1,Acta Biomaterialia
54,55,3.741,EUR POLYM J,95,3,4,18,18,8,5,7,10,11,3,8,Acta Biomaterialia
55,56,2.127,INT J POLYM MATER PO,94,0,3,8,15,10,8,14,15,9,7,5,Acta Biomaterialia
56,57,3.5039999999999996,NANOMATERIALS-BASEL,93,6,7,6,8,10,8,20,13,9,1,5,Acta Biomaterialia
57,58,3.7889999999999997,LANGMUIR,91,4,17,9,16,5,7,9,13,7,1,3,Acta Biomaterialia
58,59,6.5,NANOMED-NANOTECHNOL,91,1,10,12,14,17,10,8,8,6,2,3,Acta Biomaterialia
59,60,4.927,POLYM CHEM-UK,85,5,8,22,16,12,4,9,6,1,2,0,Acta Biomaterialia
60,61,5.091,J COLLOID INTERF SCI,81,1,13,18,6,12,1,9,11,5,2,3,Acta Biomaterialia
61,62,2.6830000000000003,J TISSUE ENG,81,3,11,5,13,17,9,5,8,4,4,2,Acta Biomaterialia
62,63,12.354000000000001,BONE RES,79,10,6,13,11,10,11,8,8,2,0,0,Acta Biomaterialia
63,64,1.704,METALS-BASEL,78,2,2,3,6,9,11,14,19,5,5,2,Acta Biomaterialia
64,65,7.346,ADV COLLOID INTERFAC,77,2,14,12,10,11,4,6,5,4,6,3,Acta Biomaterialia
65,66,1.3969999999999998,J APPL BIOMATER FUNC,76,1,7,9,13,10,8,10,7,5,5,1,Acta Biomaterialia
66,67,5.005,NANOMEDICINE-UK,75,4,10,16,10,9,8,6,4,4,2,2,Acta Biomaterialia
67,68,,IOP C SER-MAT SCI,72,1,2,2,9,7,6,11,17,6,10,1,Acta Biomaterialia
68,69,13.709000000000001,ACS NANO,71,6,16,11,9,4,5,5,3,5,6,1,Acta Biomaterialia
69,70,2.583,BIOMED RES INT,70,2,5,13,10,16,4,6,5,8,1,0,Acta Biomaterialia
70,71,3.095,DRUG DELIV,70,5,16,17,10,9,3,6,2,0,2,0,Acta Biomaterialia
71,72,4.841,J IND ENG CHEM,69,0,10,1,8,10,6,10,12,8,1,3,Acta Biomaterialia
72,73,3.667,EUR CELLS MATER,66,0,10,11,8,9,12,4,7,2,1,2,Acta Biomaterialia
73,74,,MAT DEV BON DISXB,66,0,0,5,5,8,16,12,11,2,3,4,Acta Biomaterialia
74,75,5.0680000000000005,J BIOMED NANOTECHNOL,64,6,6,18,7,6,6,4,5,2,2,2,Acta Biomaterialia
75,76,2.2969999999999997,J DRUG DELIV SCI TEC,62,5,7,6,9,7,4,7,4,6,5,2,Acta Biomaterialia
76,77,2.69,MACROMOL MATER ENG,62,1,6,8,6,8,7,5,8,8,3,2,Acta Biomaterialia
77,78,3.4139999999999997,MAT SCI ENG A-STRUCT,61,1,4,8,2,3,13,7,9,5,5,4,Acta Biomaterialia
78,79,3.2119999999999997,BIOMECH MODEL MECHAN,60,2,7,11,10,10,4,9,1,0,3,3,Acta Biomaterialia
79,80,23.75,PROG MATER SCI,58,0,4,6,5,8,9,8,9,6,2,1,Acta Biomaterialia
80,81,3.7939999999999996,J EUR CERAM SOC,57,1,1,5,0,8,6,12,8,5,7,4,Acta Biomaterialia
81,82,5.553,EXPERT OPIN DRUG DEL,56,1,7,17,7,6,6,4,3,4,1,0,Acta Biomaterialia
82,83,,STUD MECHANOBIOL TIS,56,0,1,5,10,11,13,8,4,2,0,2,Acta Biomaterialia
83,84,40.181999999999995,CHEM SOC REV,55,2,10,15,8,4,0,5,7,3,1,0,Acta Biomaterialia
84,85,3.0980000000000003,MOLECULES,55,2,9,5,10,9,3,4,6,4,3,0,Acta Biomaterialia
85,86,2.137,POLYM ADVAN TECHNOL,54,2,1,6,5,9,6,8,9,5,0,3,Acta Biomaterialia
86,87,3.483,POLYMER,54,3,4,6,7,5,6,8,6,4,1,4,Acta Biomaterialia
87,88,3.7089999999999996,SOFT MATTER,53,3,4,4,11,5,3,5,6,4,1,7,Acta Biomaterialia
88,89,3.5069999999999997,BIOTECHNOL J,52,3,15,8,7,5,7,3,3,1,0,0,Acta Biomaterialia
89,90,6.848,DRUG DISCOV TODAY,52,4,10,7,5,7,9,3,4,1,2,0,Acta Biomaterialia
90,91,,REGEN BIOMATER,52,0,3,4,9,5,8,6,11,3,2,1,Acta Biomaterialia
91,92,2.576,ADV ENG MATER,50,0,1,3,7,6,7,6,12,3,3,2,Acta Biomaterialia
92,93,3.952,BIOTECHNOL BIOENG,50,0,5,16,6,6,6,4,5,1,1,0,Acta Biomaterialia
93,94,1.124,P I MECH ENG H,50,0,3,4,4,11,4,4,5,9,3,3,Acta Biomaterialia
94,95,3.989,STEM CELLS INT,49,4,6,12,9,6,1,5,4,2,0,0,Acta Biomaterialia
95,96,13.66,ADV DRUG DELIVER REV,48,4,9,8,7,7,5,4,1,3,0,0,Acta Biomaterialia
96,97,,ONCOTARGET,48,2,9,11,4,5,6,3,1,2,1,4,Acta Biomaterialia
97,98,2.352,POLYM INT,48,2,0,8,6,7,5,2,9,6,0,3,Acta Biomaterialia
98,99,4.963,STEM CELL RES THER,48,7,7,8,10,4,5,2,2,2,0,1,Acta Biomaterialia
99,100,2.9560000000000004,J AM CERAM SOC,47,0,1,4,3,4,8,5,7,8,3,4,Acta Biomaterialia
0,1,,ALL Journals,18786,381,1929,1532,1505,1491,1376,1043,1276,904,503,6846,ACTA NEUROPATHOLOGICA
1,2,,ALL OTHERS (758),758,10,58,52,49,43,39,29,52,35,20,371,ACTA NEUROPATHOLOGICA
2,3,15.876,ACTA NEUROPATHOL,521,22,71,65,67,41,38,32,20,26,16,123,ACTA NEUROPATHOLOGICA
3,4,4.122,SCI REP-UK,468,10,49,34,18,48,40,22,32,32,15,168,ACTA NEUROPATHOLOGICA
4,5,3.4760000000000004,J ALZHEIMERS DIS,390,2,20,28,23,13,34,35,30,32,6,167,ACTA NEUROPATHOLOGICA
5,6,,ONCOTARGET,361,1,60,31,18,22,37,23,15,12,8,134,ACTA NEUROPATHOLOGICA
6,7,2.766,PLOS ONE,331,4,29,21,14,18,30,15,31,18,8,143,ACTA NEUROPATHOLOGICA
7,8,6.187,BRAIN PATHOL,271,4,16,24,23,23,26,21,13,17,10,94,ACTA NEUROPATHOLOGICA
8,9,5.414,ACTA NEUROPATHOL COM,264,21,24,37,31,25,22,17,12,11,7,57,ACTA NEUROPATHOLOGICA
9,10,3.49,J NEUROPATH EXP NEUR,257,3,21,20,25,20,23,24,18,20,8,75,ACTA NEUROPATHOLOGICA
10,11,3.06,J NEURO-ONCOL,231,2,49,24,12,18,20,9,15,8,2,72,ACTA NEUROPATHOLOGICA
11,12,9.384,NEURO-ONCOLOGY,206,2,48,34,25,23,18,12,14,6,3,21,ACTA NEUROPATHOLOGICA
12,13,1.8869999999999998,NEUROPATHOLOGY,189,1,10,4,3,6,5,13,6,8,10,123,ACTA NEUROPATHOLOGICA
13,14,10.847999999999999,BRAIN,181,6,18,9,25,18,13,15,17,8,4,48,ACTA NEUROPATHOLOGICA
14,15,3.9019999999999997,FRONT MOL NEUROSCI,166,7,25,31,7,31,6,13,4,5,6,31,ACTA NEUROPATHOLOGICA
15,16,4.454,NEUROBIOL AGING,164,3,12,16,22,14,16,15,10,12,3,41,ACTA NEUROPATHOLOGICA
16,17,1.9240000000000002,WORLD NEUROSURG,163,0,41,8,6,3,10,2,4,2,2,85,ACTA NEUROPATHOLOGICA
17,18,3.687,INT J MOL SCI,153,5,25,9,7,11,12,7,15,5,1,56,ACTA NEUROPATHOLOGICA
18,19,3.877,FRONT NEUROSCI-SWITZ,152,8,14,7,16,19,6,7,12,5,3,55,ACTA NEUROPATHOLOGICA
19,20,5.0760000000000005,MOL NEUROBIOL,151,2,3,19,5,19,12,3,15,13,3,57,ACTA NEUROPATHOLOGICA
20,21,6.059,NEUROPATH APPL NEURO,146,2,8,14,13,6,11,21,6,7,3,55,ACTA NEUROPATHOLOGICA
21,22,6.426,MOL NEURODEGENER,138,9,17,15,18,9,6,13,7,2,6,36,ACTA NEUROPATHOLOGICA
22,23,3.582,FRONT AGING NEUROSCI,135,2,14,5,6,5,4,7,12,10,5,65,ACTA NEUROPATHOLOGICA
23,24,8.324,MOVEMENT DISORD,134,3,14,5,13,5,14,5,10,8,7,50,ACTA NEUROPATHOLOGICA
24,25,4.902,HUM MOL GENET,130,3,13,24,15,30,2,3,7,3,1,29,ACTA NEUROPATHOLOGICA
25,26,5.227,NEUROBIOL DIS,120,2,11,2,10,17,4,6,6,5,3,54,ACTA NEUROPATHOLOGICA
26,27,8.055,NEUROLOGY,120,3,12,10,12,8,8,7,11,6,9,34,ACTA NEUROPATHOLOGICA
27,28,3.508,FRONT NEUROL,116,2,14,10,8,6,8,3,7,6,12,40,ACTA NEUROPATHOLOGICA
28,29,14.163,PROG NEUROBIOL,115,3,4,11,11,9,6,8,3,5,4,51,ACTA NEUROPATHOLOGICA
29,30,3.9789999999999996,CSH PERSPECT MED,102,0,2,10,18,9,7,9,11,9,2,25,ACTA NEUROPATHOLOGICA
30,31,5.971,J NEUROSCI,101,2,15,11,5,4,3,2,10,7,1,41,ACTA NEUROPATHOLOGICA
31,32,4.3,FRONT CELL NEUROSCI,100,3,10,13,6,16,5,5,6,2,2,32,ACTA NEUROPATHOLOGICA
32,33,4.609,J NEUROCHEM,88,4,6,11,6,4,8,7,3,6,3,30,ACTA NEUROPATHOLOGICA
33,34,6.045,J CEREBR BLOOD F MET,87,0,3,5,4,5,5,6,7,4,3,45,ACTA NEUROPATHOLOGICA
34,35,2.1590000000000003,NEUROSCI LETT,84,1,3,10,13,12,4,5,6,2,3,25,ACTA NEUROPATHOLOGICA
35,36,9.504,P NATL ACAD SCI USA,82,2,6,9,8,11,2,8,3,2,2,29,ACTA NEUROPATHOLOGICA
36,37,5.511,FRONT IMMUNOL,80,9,7,10,9,8,3,4,5,5,2,18,ACTA NEUROPATHOLOGICA
37,38,2.535,BRAIN TUMOR PATHOL,76,1,14,10,7,5,7,6,7,5,1,13,ACTA NEUROPATHOLOGICA
38,39,5.193,J NEUROINFLAMM,75,1,11,9,8,3,4,0,10,1,0,28,ACTA NEUROPATHOLOGICA
39,40,8.037,NEUROSCI BIOBEHAV R,75,1,7,8,2,10,2,9,4,3,1,28,ACTA NEUROPATHOLOGICA
40,41,2.371,INT REV NEUROBIOL,74,2,2,3,6,5,5,3,11,7,7,23,ACTA NEUROPATHOLOGICA
41,42,2.448,J NEUROL SCI,71,1,7,6,5,2,4,8,3,1,2,32,ACTA NEUROPATHOLOGICA
42,43,10.25,ANN NEUROL,68,3,6,4,9,7,6,4,4,1,3,21,ACTA NEUROPATHOLOGICA
43,44,6.306,BRAIN BEHAV IMMUN,67,0,5,6,7,9,6,0,8,3,2,21,ACTA NEUROPATHOLOGICA
44,45,5.846,GLIA,67,0,6,7,6,5,4,3,7,4,0,25,ACTA NEUROPATHOLOGICA
45,46,2.559,BIOCHEM BIOPH RES CO,65,1,12,3,6,7,5,3,5,3,2,18,ACTA NEUROPATHOLOGICA
46,47,12.353,NAT COMMUN,65,0,3,13,6,5,4,6,4,3,1,20,ACTA NEUROPATHOLOGICA
47,48,1.64,J CLIN NEUROSCI,64,1,10,4,2,5,6,4,2,0,1,29,ACTA NEUROPATHOLOGICA
48,49,26.36,J CLIN ONCOL,64,5,12,11,7,7,12,4,4,0,0,2,ACTA NEUROPATHOLOGICA
49,50,3.3819999999999997,NEUROSCIENCE,64,1,2,4,4,4,4,3,6,8,4,24,ACTA NEUROPATHOLOGICA
50,51,3.1719999999999997,J PARKINSON DIS,63,1,3,5,8,2,9,0,8,3,9,15,ACTA NEUROPATHOLOGICA
51,52,14.319,NEURON,63,2,9,8,11,12,1,1,6,2,0,11,ACTA NEUROPATHOLOGICA
52,53,6.721,CELL MOL LIFE SCI,62,1,4,5,1,11,4,2,3,3,4,24,ACTA NEUROPATHOLOGICA
53,54,19.819000000000003,NAT REV NEUROL,62,5,6,5,4,2,3,6,7,4,1,19,ACTA NEUROPATHOLOGICA
54,55,12.764000000000001,ALZHEIMERS DEMENT,61,0,0,3,7,5,9,3,2,6,1,25,ACTA NEUROPATHOLOGICA
55,56,5.015,ALZHEIMERS RES THER,61,2,2,5,5,7,6,3,11,4,0,16,ACTA NEUROPATHOLOGICA
56,57,2.7569999999999997,CURR PHARM DESIGN,61,2,8,2,3,2,4,1,8,4,0,27,ACTA NEUROPATHOLOGICA
57,58,3.125,BRAIN RES,60,0,2,2,4,2,3,3,8,2,0,34,ACTA NEUROPATHOLOGICA
58,59,,DIS TARG NEUR DISXB,60,0,4,9,15,14,2,1,3,2,2,8,ACTA NEUROPATHOLOGICA
59,60,4.4830000000000005,EXP NEUROL,58,0,10,5,2,3,4,1,3,5,2,23,ACTA NEUROPATHOLOGICA
60,61,2.779,J NEURAL TRANSM,58,1,5,2,10,1,1,3,4,6,2,23,ACTA NEUROPATHOLOGICA
61,62,5.002,J NEUROTRAUM,58,0,10,6,5,1,2,2,1,1,0,30,ACTA NEUROPATHOLOGICA
62,63,5.718999999999999,NEUROTHERAPEUTICS,58,2,8,8,3,6,10,9,0,2,0,10,ACTA NEUROPATHOLOGICA
63,64,1.929,ACTA NEUROCHIR,57,3,11,10,4,3,8,0,3,0,1,14,ACTA NEUROPATHOLOGICA
64,65,3.478,CURR NEUROL NEUROSCI,57,1,11,4,3,5,2,4,3,2,5,17,ACTA NEUROPATHOLOGICA
65,66,5.22,CLIN SCI,56,0,6,0,1,2,4,7,5,4,0,27,ACTA NEUROPATHOLOGICA
66,67,1.235,CHILD NERV SYST,55,1,9,2,6,1,9,3,5,4,0,15,ACTA NEUROPATHOLOGICA
67,68,2.772,NEUROCHEM RES,55,0,6,3,3,3,2,2,4,3,1,28,ACTA NEUROPATHOLOGICA
68,69,3.2889999999999997,CURR ALZHEIMER RES,53,1,0,3,3,3,5,4,3,5,2,24,ACTA NEUROPATHOLOGICA
69,70,3.653,AM J NEURORADIOL,52,0,6,3,4,3,8,2,6,2,1,17,ACTA NEUROPATHOLOGICA
70,71,3.658,ARCH PATHOL LAB MED,52,0,6,10,11,4,6,6,0,1,2,6,ACTA NEUROPATHOLOGICA
71,72,4.011,J BIOL CHEM,51,3,8,5,2,5,3,1,7,4,3,10,ACTA NEUROPATHOLOGICA
72,73,9.247,CSH PERSPECT BIOL,49,0,6,3,7,5,4,3,2,5,3,11,ACTA NEUROPATHOLOGICA
73,74,11.46,JAMA NEUROL,49,2,9,9,6,0,3,4,3,1,1,11,ACTA NEUROPATHOLOGICA
74,75,27.144000000000002,LANCET NEUROL,48,2,9,6,9,2,4,2,3,2,2,7,ACTA NEUROPATHOLOGICA
75,76,1.6640000000000001,ONCOL LETT,48,0,4,0,1,3,2,1,1,1,0,35,ACTA NEUROPATHOLOGICA
76,77,4.01,CURR OPIN NEUROL,47,9,8,7,3,5,6,3,1,2,0,3,ACTA NEUROPATHOLOGICA
77,78,3.8689999999999998,NEUROIMAGE-CLIN,47,1,2,0,2,3,4,3,5,4,0,23,ACTA NEUROPATHOLOGICA
78,79,2.655,J NEUROIMMUNOL,46,1,6,6,2,5,4,2,1,1,0,18,ACTA NEUROPATHOLOGICA
79,80,8.032,CELL REP,45,0,5,3,7,5,5,5,3,0,2,10,ACTA NEUROPATHOLOGICA
80,81,2.662,J NEUROSCI RES,44,0,4,2,0,2,4,1,7,3,1,20,ACTA NEUROPATHOLOGICA
81,82,5.1080000000000005,BBA-MOL BASIS DIS,43,1,7,4,2,6,1,0,3,2,1,16,ACTA NEUROPATHOLOGICA
82,83,1.922,MOL MED REP,43,0,1,0,1,2,1,2,3,4,0,29,ACTA NEUROPATHOLOGICA
83,84,8.972999999999999,AGEING RES REV,42,0,4,5,4,2,1,2,3,1,2,18,ACTA NEUROPATHOLOGICA
84,85,6.308,CEREB CORTEX,42,0,2,6,2,0,4,2,7,1,0,18,ACTA NEUROPATHOLOGICA
85,86,4.995,CURR OPIN GENET DEV,42,0,8,9,4,16,1,1,0,0,0,3,ACTA NEUROPATHOLOGICA
86,87,2.166,NEUROL INDIA,42,0,5,0,4,3,2,2,1,0,0,25,ACTA NEUROPATHOLOGICA
87,88,2.9760000000000004,ONCOL REP,41,0,6,2,2,4,3,1,2,3,0,18,ACTA NEUROPATHOLOGICA
88,89,4.211,ACS CHEM NEUROSCI,40,1,7,2,3,7,1,2,4,4,1,8,ACTA NEUROPATHOLOGICA
89,90,2.583,BIOMED RES INT,40,1,7,1,0,1,1,0,4,2,1,22,ACTA NEUROPATHOLOGICA
90,91,3.1519999999999997,FRONT NEUROANAT,40,1,4,3,2,3,3,2,3,3,1,15,ACTA NEUROPATHOLOGICA
91,92,5.426,NEUROIMAGE,40,1,3,1,2,1,0,1,1,1,2,27,ACTA NEUROPATHOLOGICA
92,93,4.721,PARKINSONISM RELAT D,39,0,2,1,6,1,3,2,9,0,2,13,ACTA NEUROPATHOLOGICA
93,94,7.144,J NEUROL NEUROSUR PS,38,3,6,6,4,2,3,5,3,3,0,3,ACTA NEUROPATHOLOGICA
94,95,32.635,NAT REV NEUROSCI,38,1,4,4,6,4,3,2,4,1,1,8,ACTA NEUROPATHOLOGICA
95,96,10.557,EMBO J,37,3,3,9,1,10,2,1,2,0,1,5,ACTA NEUROPATHOLOGICA
96,97,10.293,EMBO MOL MED,37,0,4,6,8,10,0,1,2,1,0,5,ACTA NEUROPATHOLOGICA
97,98,4.249,NEUROPHARMACOLOGY,37,0,1,7,3,4,0,2,2,4,1,13,ACTA NEUROPATHOLOGICA
98,99,2.011,PRION,37,2,10,0,2,1,1,1,4,1,0,15,ACTA NEUROPATHOLOGICA
99,100,,AKTUEL NEUROL,36,2,3,0,4,0,4,1,4,2,3,13,ACTA NEUROPATHOLOGICA
0,1,,ALL Journals,6465,354,1436,1716,1297,1125,521,1,0,0,0,15,Advanced Healthcare Materials
1,2,,ALL OTHERS (471),471,20,96,133,111,82,28,0,0,0,0,1,Advanced Healthcare Materials
2,3,5.609,ADV HEALTHC MATER,330,35,110,85,40,47,13,0,0,0,0,0,Advanced Healthcare Materials
3,4,8.097000000000001,ACS APPL MATER INTER,307,27,70,78,65,41,26,0,0,0,0,0,Advanced Healthcare Materials
4,5,4.776,J MATER CHEM B,222,13,57,59,42,28,23,0,0,0,0,0,Advanced Healthcare Materials
5,6,8.806000000000001,BIOMATERIALS,170,8,40,47,39,26,10,0,0,0,0,0,Advanced Healthcare Materials
6,7,6.382999999999999,ACTA BIOMATER,166,5,43,37,40,25,16,0,0,0,0,0,Advanced Healthcare Materials
7,8,4.122,SCI REP-UK,141,7,33,35,18,35,12,0,0,0,0,1,Advanced Healthcare Materials
8,9,5.08,MAT SCI ENG C-MATER,139,1,43,33,35,16,11,0,0,0,0,0,Advanced Healthcare Materials
9,10,4.4319999999999995,ACS BIOMATER SCI ENG,112,5,20,44,16,17,10,0,0,0,0,0,Advanced Healthcare Materials
10,11,2.9360000000000004,RSC ADV,101,5,17,25,19,24,11,0,0,0,0,0,Advanced Healthcare Materials
11,12,13.325,ADV FUNCT MATER,96,7,28,26,21,10,4,0,0,0,0,0,Advanced Healthcare Materials
12,13,13.709000000000001,ACS NANO,94,10,18,22,23,15,6,0,0,0,0,0,Advanced Healthcare Materials
13,14,7.233,NANOSCALE,94,4,29,27,14,16,4,0,0,0,0,0,Advanced Healthcare Materials
14,15,21.95,ADV MATER,87,3,24,23,14,18,5,0,0,0,0,0,Advanced Healthcare Materials
15,16,7.877000000000001,J CONTROL RELEASE,83,1,11,30,22,12,6,0,0,0,0,1,Advanced Healthcare Materials
16,17,3.392,MACROMOL BIOSCI,82,2,10,32,16,15,7,0,0,0,0,0,Advanced Healthcare Materials
17,18,5.831,BIOMATER SCI-UK,79,3,19,23,13,16,5,0,0,0,0,0,Advanced Healthcare Materials
18,19,52.613,CHEM REV,78,1,16,18,17,16,10,0,0,0,0,0,Advanced Healthcare Materials
19,20,5.7379999999999995,BIOMACROMOLECULES,68,3,8,21,17,12,7,0,0,0,0,0,Advanced Healthcare Materials
20,21,4.37,INT J NANOMED,65,3,16,15,12,9,8,0,0,0,0,2,Advanced Healthcare Materials
21,22,3.508,TISSUE ENG,61,1,23,25,5,6,1,0,0,0,0,0,Advanced Healthcare Materials
22,23,4.927,POLYM CHEM-UK,60,6,14,16,10,10,3,0,0,0,0,1,Advanced Healthcare Materials
23,24,3.997,COLLOID SURFACE B,58,4,12,11,13,10,8,0,0,0,0,0,Advanced Healthcare Materials
24,25,9.597999999999999,SMALL,57,3,16,15,10,10,2,0,0,0,0,1,Advanced Healthcare Materials
25,26,13.66,ADV DRUG DELIVER REV,51,4,10,14,15,4,4,0,0,0,0,0,Advanced Healthcare Materials
26,27,40.181999999999995,CHEM SOC REV,50,2,7,7,16,15,3,0,0,0,0,0,Advanced Healthcare Materials
27,28,2.7569999999999997,CURR PHARM DESIGN,46,0,15,12,7,9,3,0,0,0,0,0,Advanced Healthcare Materials
28,29,5.995,LAB CHIP,42,3,10,14,5,6,4,0,0,0,0,0,Advanced Healthcare Materials
29,30,6.837999999999999,BIOFABRICATION,41,2,13,11,0,10,5,0,0,0,0,0,Advanced Healthcare Materials
30,31,8.537,THERANOSTICS,41,1,18,8,5,8,1,0,0,0,0,0,Advanced Healthcare Materials
31,32,3.2310000000000003,J BIOMED MATER RES A,40,0,8,18,7,4,3,0,0,0,0,0,Advanced Healthcare Materials
32,33,2.935,POLYMERS-BASEL,39,4,9,12,5,5,3,0,0,0,0,1,Advanced Healthcare Materials
33,34,9.89,CHEM MATER,35,4,0,11,6,9,5,0,0,0,0,0,Advanced Healthcare Materials
34,35,3.862,INT J PHARMACEUT,35,1,5,11,6,9,3,0,0,0,0,0,Advanced Healthcare Materials
