,Unnamed: 0,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
36,37,3.997,COLLOID SURFACE B,154,6,21,25,33,19,16,5,11,2,2,14,Acta Biomaterialia
37,38,7.233,NANOSCALE,151,1,31,37,26,26,16,8,6,0,0,0,Acta Biomaterialia
38,39,4.455,BONE,150,1,2,14,10,9,8,12,10,7,11,66,Acta Biomaterialia
39,40,3.392,MACROMOL BIOSCI,149,2,10,21,9,26,20,17,13,10,5,16,Acta Biomaterialia
40,41,4.089,J TISSUE ENG REGEN M,138,5,27,29,9,17,11,13,6,4,11,6,Acta Biomaterialia
41,42,9.130,CANCER RES,137,1,1,1,4,7,2,4,4,3,7,103,Acta Biomaterialia
42,43,18.881,CIRCULATION,137,0,2,4,2,8,6,7,7,2,8,91,Acta Biomaterialia
43,44,4.370,INT J NANOMED,137,2,16,20,26,14,27,16,1,0,4,11,Acta Biomaterialia
44,45,3.405,ANN BIOMED ENG,136,6,14,25,8,6,13,5,13,4,3,39,Acta Biomaterialia
45,46,12.080,NANO LETT,136,0,4,14,6,6,5,17,10,18,9,47,Acta Biomaterialia
46,47,9.598,SMALL,134,3,15,16,20,16,12,9,14,11,7,11,Acta Biomaterialia
47,48,40.182,CHEM SOC REV,129,0,9,14,16,22,29,11,12,5,4,7,Acta Biomaterialia
48,49,4.091,CLIN ORTHOP RELAT R,129,0,4,10,1,5,3,10,4,3,6,83,Acta Biomaterialia
49,50,35.724,NAT BIOTECHNOL,129,0,9,7,13,8,3,5,3,5,5,71,Acta Biomaterialia
50,51,1.916,J BIOMECH ENG-T ASME,128,0,3,10,2,14,5,11,5,8,3,67,Acta Biomaterialia
51,52,32.621,NAT MED,128,1,5,6,11,5,12,8,10,6,10,54,Acta Biomaterialia
52,53,52.613,CHEM REV,126,0,6,23,15,7,6,7,7,5,15,35,Acta Biomaterialia
53,54,3.388,INVEST OPHTH VIS SCI,124,3,5,5,12,7,9,10,8,5,3,57,Acta Biomaterialia
54,55,6.290,CHEM COMMUN,123,0,7,22,13,14,11,9,11,5,7,24,Acta Biomaterialia
55,56,3.709,SOFT MATTER,123,0,6,7,11,17,17,21,20,10,8,6,Acta Biomaterialia
56,57,12.353,NAT COMMUN,122,3,19,42,23,20,8,6,1,0,0,0,Acta Biomaterialia
57,58,3.355,J R SOC INTERFACE,119,1,1,11,14,21,18,13,9,9,5,17,Acta Biomaterialia
58,59,4.401,J CELL SCI,112,1,0,3,3,0,17,4,9,7,9,59,Acta Biomaterialia
59,60,4.583,J BONE JOINT SURG AM,111,0,2,1,2,2,4,1,8,3,3,85,Acta Biomaterialia
60,61,8.784,J CELL BIOL,111,0,0,2,1,4,2,2,6,1,1,92,Acta Biomaterialia
61,62,2.936,RSC ADV,111,1,27,38,24,12,8,1,0,0,0,0,Acta Biomaterialia
62,63, ,J MATER CHEM,110,0,0,0,0,0,32,18,16,17,8,19,Acta Biomaterialia
63,64,15.211,CIRC RES,106,1,3,1,11,2,3,10,6,6,1,62,Acta Biomaterialia
64,65,2.559,BIOCHEM BIOPH RES CO,105,0,1,9,4,7,7,1,8,4,6,58,Acta Biomaterialia
65,66,15.132,BLOOD,104,0,0,3,3,5,4,3,5,5,9,67,Acta Biomaterialia
66,67,3.952,BIOTECHNOL BIOENG,103,1,2,3,10,6,10,3,9,16,7,36,Acta Biomaterialia
67,68,5.587,STEM CELLS,103,2,6,8,5,5,7,8,13,6,11,32,Acta Biomaterialia
68,69,4.556,MOL PHARMACEUT,101,3,3,5,24,14,13,7,11,7,7,7,Acta Biomaterialia
69,70,2.792,SPINE,99,1,0,2,2,1,1,6,0,7,13,66,Acta Biomaterialia
70,71,2.897,BIOMED MATER,98,2,14,19,11,9,10,3,4,8,6,12,Acta Biomaterialia
71,72,6.057,AM J SPORT MED,96,0,2,6,13,5,4,3,8,6,6,43,Acta Biomaterialia
72,73,3.483,POLYMER,96,1,8,2,2,1,8,4,8,2,16,44,Acta Biomaterialia
73,74,24.558,PROG POLYM SCI,96,0,3,3,15,11,11,3,13,1,4,32,Acta Biomaterialia
74,75,1.911,J BIOMAT SCI-POLYM E,95,1,4,3,7,6,6,9,6,4,6,43,Acta Biomaterialia
75,76,3.335,PHARM RES-DORDR,93,0,2,5,5,7,4,9,11,5,3,42,Acta Biomaterialia
76,77,4.539,J IMMUNOL,88,0,1,2,6,3,3,3,9,7,7,47,Acta Biomaterialia
77,78,4.485,BIOCONJUGATE CHEM,87,1,2,5,5,3,5,12,7,7,8,32,Acta Biomaterialia
78,79,12.423,NAT PROTOC,87,1,4,7,10,9,5,9,4,12,9,17,Acta Biomaterialia
79,80,4.491,EUR J PHARM BIOPHARM,86,1,6,14,5,8,2,4,5,3,12,26,Acta Biomaterialia
80,81,3.404,NANOTECHNOLOGY,86,0,9,8,10,5,5,12,5,7,4,21,Acta Biomaterialia
81,82,3.667,EUR CELLS MATER,84,1,2,6,12,10,13,10,9,1,4,16,Acta Biomaterialia
82,83,53.254,LANCET,83,0,2,6,4,6,13,8,2,2,4,36,Acta Biomaterialia
83,84,6.500,NANOMED-NANOTECHNOL,82,3,12,15,14,8,7,8,6,4,1,4,Acta Biomaterialia
84,85,13.251,J CLIN INVEST,80,0,0,2,4,3,4,4,6,1,2,54,Acta Biomaterialia
85,86,5.383,J DENT RES,78,0,1,5,7,2,8,5,6,5,3,36,Acta Biomaterialia
86,87,5.454,OSTEOARTHR CARTILAGE,78,1,3,6,3,5,2,3,5,8,6,36,Acta Biomaterialia
87,88,13.578,TRENDS BIOTECHNOL,78,2,11,9,5,6,8,6,1,1,11,18,Acta Biomaterialia
88,89,6.838,BIOFABRICATION,77,3,21,20,8,6,3,5,10,0,0,1,Acta Biomaterialia
89,90,1.901,J APPL POLYM SCI,77,0,1,8,2,3,4,3,3,2,3,48,Acta Biomaterialia
90,91,37.490,NAT NANOTECHNOL,77,0,4,3,0,10,10,15,4,1,8,22,Acta Biomaterialia
91,92,5.831,BIOMATER SCI-UK,76,0,11,26,19,20,0,0,0,0,0,0,Acta Biomaterialia
92,93,79.260,NEW ENGL J MED,76,0,2,0,3,1,2,4,9,2,7,46,Acta Biomaterialia
93,94,5.595,FASEB J,75,1,5,4,4,7,3,5,4,3,4,35,Acta Biomaterialia
94,95,5.005,NANOMEDICINE-UK,75,1,9,16,13,7,4,6,12,2,2,3,Acta Biomaterialia
95,96,4.256,ANTIMICROB AGENTS CH,71,0,3,2,3,3,4,4,7,5,1,39,Acta Biomaterialia
96,97,9.890,CHEM MATER,71,1,3,3,7,6,8,3,8,4,1,27,Acta Biomaterialia
97,98,3.309,EXP CELL RES,71,0,5,0,4,5,0,1,2,1,7,46,Acta Biomaterialia
98,99,3.146,J PHYS CHEM B,71,0,1,7,4,3,5,4,3,2,2,40,Acta Biomaterialia
99,100,3.075,J PHARM SCI-US,70,0,4,3,6,3,4,2,5,1,10,32,Acta Biomaterialia
0,1, ,ALL Journals,9072,159,830,847,744,792,698,552,491,457,387,3115,ACTA NEUROPATHOLOGICA
1,2, ,ALL OTHERS (561),561,11,56,59,32,44,30,26,25,25,24,229,ACTA NEUROPATHOLOGICA
2,3,15.876,ACTA NEUROPATHOL,521,22,71,65,67,41,38,32,20,26,16,123,ACTA NEUROPATHOLOGICA
3,4,9.504,P NATL ACAD SCI USA,288,1,11,16,24,27,21,15,19,24,12,118,ACTA NEUROPATHOLOGICA
4,5,10.848,BRAIN,270,5,28,21,21,30,25,20,13,14,13,80,ACTA NEUROPATHOLOGICA
5,6,8.055,NEUROLOGY,253,2,11,13,18,18,11,14,9,9,11,137,ACTA NEUROPATHOLOGICA
6,7,5.971,J NEUROSCI,249,1,13,8,19,24,23,18,23,15,10,95,ACTA NEUROPATHOLOGICA
7,8,10.250,ANN NEUROL,226,1,14,14,7,22,14,15,10,15,8,106,ACTA NEUROPATHOLOGICA
8,9,41.577,NATURE,223,3,19,16,30,12,30,7,10,6,8,82,ACTA NEUROPATHOLOGICA
9,10,14.319,NEURON,210,0,19,17,25,28,14,20,17,7,5,58,ACTA NEUROPATHOLOGICA
10,11,41.058,SCIENCE,186,0,11,12,10,14,10,9,5,5,9,101,ACTA NEUROPATHOLOGICA
11,12,4.011,J BIOL CHEM,182,0,3,12,3,10,18,17,10,10,11,88,ACTA NEUROPATHOLOGICA
12,13,3.490,J NEUROPATH EXP NEUR,162,0,5,9,10,6,10,6,5,11,10,90,ACTA NEUROPATHOLOGICA
13,14,2.766,PLOS ONE,146,1,10,19,22,30,21,18,11,3,10,1,ACTA NEUROPATHOLOGICA
14,15,31.398,CELL,122,0,11,8,6,14,9,9,6,7,5,47,ACTA NEUROPATHOLOGICA
15,16,27.125,NAT GENET,120,1,6,9,17,13,8,10,3,10,4,39,ACTA NEUROPATHOLOGICA
16,17,4.454,NEUROBIOL AGING,116,2,17,12,14,12,10,6,3,0,5,35,ACTA NEUROPATHOLOGICA
17,18,4.902,HUM MOL GENET,106,1,3,13,10,7,17,8,8,3,6,30,ACTA NEUROPATHOLOGICA
18,19,19.912,NAT NEUROSCI,101,1,10,19,10,16,2,8,4,5,9,17,ACTA NEUROPATHOLOGICA
19,20,6.187,BRAIN PATHOL,84,10,8,7,6,7,5,3,12,3,4,19,ACTA NEUROPATHOLOGICA
20,21,27.144,LANCET NEUROL,84,3,12,13,6,14,9,5,4,4,3,11,ACTA NEUROPATHOLOGICA
21,22,5.227,NEUROBIOL DIS,78,1,5,13,8,6,6,7,2,4,2,24,ACTA NEUROPATHOLOGICA
22,23,5.414,ACTA NEUROPATHOL COM,75,2,19,21,19,14,0,0,0,0,0,0,ACTA NEUROPATHOLOGICA
23,24,79.260,NEW ENGL J MED,75,0,8,12,7,5,1,5,1,11,1,24,ACTA NEUROPATHOLOGICA
24,25,13.251,J CLIN INVEST,73,0,5,5,2,6,8,7,5,4,2,29,ACTA NEUROPATHOLOGICA
25,26,4.069,AM J PATHOL,72,0,4,0,0,5,2,2,2,8,2,47,ACTA NEUROPATHOLOGICA
26,27,3.476,J ALZHEIMERS DIS,72,4,9,9,5,13,8,4,8,8,0,4,ACTA NEUROPATHOLOGICA
27,28,4.609,J NEUROCHEM,68,1,5,2,2,2,3,4,4,4,3,38,ACTA NEUROPATHOLOGICA
28,29,32.621,NAT MED,67,2,4,3,7,6,2,5,1,3,11,23,ACTA NEUROPATHOLOGICA
29,30,3.125,BRAIN RES,57,1,4,2,4,4,5,4,3,2,3,25,ACTA NEUROPATHOLOGICA
30,31,10.790,J EXP MED,57,0,7,4,5,0,6,2,4,2,3,24,ACTA NEUROPATHOLOGICA
31,32,6.239,STROKE,55,0,4,1,4,4,3,3,5,6,1,24,ACTA NEUROPATHOLOGICA
32,33,5.846,GLIA,53,0,4,3,6,3,4,2,3,3,6,19,ACTA NEUROPATHOLOGICA
33,34,7.144,J NEUROL NEUROSUR PS,51,1,4,1,2,1,3,3,3,0,0,33,ACTA NEUROPATHOLOGICA
34,35,6.059,NEUROPATH APPL NEURO,51,3,3,9,2,2,3,6,2,2,2,17,ACTA NEUROPATHOLOGICA
35,36,4.539,J IMMUNOL,50,0,2,2,1,2,6,4,2,3,3,25,ACTA NEUROPATHOLOGICA
36,37,53.254,LANCET,50,0,8,1,0,1,0,6,0,0,4,30,ACTA NEUROPATHOLOGICA
37,38,10.557,EMBO J,49,1,7,1,2,5,4,5,3,2,0,19,ACTA NEUROPATHOLOGICA
38,39,9.384,NEURO-ONCOLOGY,49,7,12,7,4,5,5,3,3,1,0,2,ACTA NEUROPATHOLOGICA
39,40,4.122,SCI REP-UK,49,3,25,13,3,2,3,0,0,0,0,0,ACTA NEUROPATHOLOGICA
40,41,22.844,CANCER CELL,48,1,3,9,2,2,10,4,8,1,2,6,ACTA NEUROPATHOLOGICA
41,42,8.784,J CELL BIOL,47,0,1,4,3,0,0,1,3,2,1,32,ACTA NEUROPATHOLOGICA
42,43,4.483,EXP NEUROL,46,0,3,3,6,5,0,1,4,6,0,18,ACTA NEUROPATHOLOGICA
43,44, ,ARCH NEUROL-CHICAGO,45,0,0,0,0,0,3,3,7,5,6,21,ACTA NEUROPATHOLOGICA
44,45,12.353,NAT COMMUN,44,0,13,9,11,9,0,2,0,0,0,0,ACTA NEUROPATHOLOGICA
45,46,2.159,NEUROSCI LETT,44,1,2,2,3,1,1,1,3,4,2,24,ACTA NEUROPATHOLOGICA
46,47,32.635,NAT REV NEUROSCI,43,0,2,6,5,4,3,0,5,1,7,10,ACTA NEUROPATHOLOGICA
47,48,12.764,ALZHEIMERS DEMENT,39,2,10,6,2,4,9,6,0,0,0,0,ACTA NEUROPATHOLOGICA
48,49,8.855,AM J HUM GENET,39,0,1,2,2,6,3,3,2,0,2,18,ACTA NEUROPATHOLOGICA
49,50,19.819,NAT REV NEUROL,38,0,10,3,4,6,8,2,5,0,0,0,ACTA NEUROPATHOLOGICA
50,51,9.130,CANCER RES,37,0,1,1,0,4,1,1,4,0,3,22,ACTA NEUROPATHOLOGICA
51,52,2.655,J NEUROIMMUNOL,35,0,1,1,0,2,3,2,2,1,2,21,ACTA NEUROPATHOLOGICA
52,53,8.324,MOVEMENT DISORD,34,1,6,4,2,7,3,1,0,1,1,8,ACTA NEUROPATHOLOGICA
53,54,10.199,CLIN CANCER RES,33,0,3,3,2,1,3,2,4,4,2,9,ACTA NEUROPATHOLOGICA
54,55,6.426,MOL NEURODEGENER,33,1,7,5,4,5,7,2,0,0,0,2,ACTA NEUROPATHOLOGICA
55,56,3.382,NEUROSCIENCE,32,1,1,4,4,1,0,0,4,2,3,12,ACTA NEUROPATHOLOGICA
56,57,5.108,BBA-MOL BASIS DIS,31,0,1,5,5,2,4,2,3,0,0,9,ACTA NEUROPATHOLOGICA
57,58,8.032,CELL REP,30,2,12,8,4,2,2,0,0,0,0,0,ACTA NEUROPATHOLOGICA
58,59,2.997,BIOCHEMISTRY-US,29,0,1,2,1,2,1,1,2,0,2,17,ACTA NEUROPATHOLOGICA
59,60,5.481,BIOINFORMATICS,29,0,2,3,7,3,2,2,5,3,0,2,ACTA NEUROPATHOLOGICA
60,61,11.460,JAMA NEUROL,29,3,7,2,8,9,0,0,0,0,0,0,ACTA NEUROPATHOLOGICA
61,62,2.487,NEUROMUSCULAR DISORD,29,0,1,1,0,4,5,1,5,1,0,11,ACTA NEUROPATHOLOGICA
62,63,6.045,J CEREBR BLOOD F MET,28,5,2,0,2,2,3,0,2,0,2,10,ACTA NEUROPATHOLOGICA
63,64,2.662,J NEUROSCI RES,28,2,0,1,0,1,0,1,0,4,2,17,ACTA NEUROPATHOLOGICA
64,65,5.595,FASEB J,27,0,1,0,2,1,3,2,2,2,2,12,ACTA NEUROPATHOLOGICA
65,66,3.400,J COMP NEUROL,26,0,2,0,0,2,0,0,0,1,2,19,ACTA NEUROPATHOLOGICA
66,67,2.496,MUSCLE NERVE,26,1,2,2,1,0,1,1,1,0,2,15,ACTA NEUROPATHOLOGICA
67,68,11.561,NUCLEIC ACIDS RES,26,0,1,5,2,2,2,1,1,4,0,8,ACTA NEUROPATHOLOGICA
68,69,2.832,EUR J NEUROSCI,25,0,2,0,1,3,0,1,0,0,3,15,ACTA NEUROPATHOLOGICA
69,70,16.710,SCI TRANSL MED,25,1,4,6,3,5,4,2,0,0,0,0,ACTA NEUROPATHOLOGICA
70,71,47.661,JAMA-J AM MED ASSOC,24,0,1,2,1,2,2,1,1,0,0,14,ACTA NEUROPATHOLOGICA
71,72,41.982,NAT REV IMMUNOL,24,1,1,4,0,3,4,2,0,3,1,5,ACTA NEUROPATHOLOGICA
72,73,2.668,J NEUROSCI METH,23,0,2,2,1,0,1,0,3,4,3,7,ACTA NEUROPATHOLOGICA
73,74,6.308,CEREB CORTEX,22,3,3,1,0,2,2,0,0,2,2,7,ACTA NEUROPATHOLOGICA
74,75,2.448,J NEUROL SCI,22,0,1,1,0,1,2,0,0,1,1,15,ACTA NEUROPATHOLOGICA
75,76,2.559,BIOCHEM BIOPH RES CO,20,0,1,0,0,1,1,0,0,1,1,15,ACTA NEUROPATHOLOGICA
76,77,4.248,EUR J IMMUNOL,20,0,2,0,2,1,0,0,1,2,2,10,ACTA NEUROPATHOLOGICA
77,78,4.300,FRONT CELL NEUROSCI,20,0,0,9,6,5,0,0,0,0,0,0,ACTA NEUROPATHOLOGICA
78,79,26.360,J CLIN ONCOL,20,0,3,1,0,0,0,4,6,0,1,5,ACTA NEUROPATHOLOGICA
79,80,5.193,J NEUROINFLAMM,20,0,2,5,2,4,4,1,1,0,0,1,ACTA NEUROPATHOLOGICA
80,81,4.368,J VIROL,20,1,0,2,0,0,2,2,2,1,0,10,ACTA NEUROPATHOLOGICA
81,82,3.312,MOL CELL NEUROSCI,20,2,1,1,0,4,0,3,0,1,1,7,ACTA NEUROPATHOLOGICA
82,83,5.076,MOL NEUROBIOL,20,3,3,4,1,3,3,0,0,0,2,1,ACTA NEUROPATHOLOGICA
83,84, ,WHO CLASSIFICATION T,20,3,12,0,0,0,0,0,0,0,0,5,ACTA NEUROPATHOLOGICA
84,85,3.783,J NEUROL,19,0,1,2,1,0,1,1,2,4,1,6,ACTA NEUROPATHOLOGICA
85,86,5.413,DEVELOPMENT,18,0,0,1,0,0,1,2,2,2,1,9,ACTA NEUROPATHOLOGICA
86,87,12.423,NAT PROTOC,18,1,2,1,3,1,0,0,1,4,2,3,ACTA NEUROPATHOLOGICA
87,88,5.426,NEUROIMAGE,18,0,1,0,1,3,2,3,0,1,0,7,ACTA NEUROPATHOLOGICA
88,89,1.887,NEUROPATHOLOGY,18,0,3,3,2,1,1,1,1,2,2,2,ACTA NEUROPATHOLOGICA
89,90,4.401,J CELL SCI,17,0,1,2,0,1,2,0,0,0,1,10,ACTA NEUROPATHOLOGICA
90,91,2.779,J NEURAL TRANSM,17,0,0,7,0,0,0,0,3,0,1,6,ACTA NEUROPATHOLOGICA
91,92,4.540,J PHYSIOL-LONDON,17,0,1,0,2,0,1,1,1,0,0,11,ACTA NEUROPATHOLOGICA
92,93,19.064,NAT CELL BIOL,17,0,1,1,1,0,0,1,2,4,0,7,ACTA NEUROPATHOLOGICA
93,94, ,ONCOTARGET,17,1,5,6,2,0,3,0,0,0,0,0,ACTA NEUROPATHOLOGICA
94,95,14.675,ANNU REV NEUROSCI,16,0,0,1,1,0,0,2,0,0,5,7,ACTA NEUROPATHOLOGICA
95,96,3.857,BIOCHEM J,16,0,1,2,1,1,1,2,0,1,0,7,ACTA NEUROPATHOLOGICA
96,97,2.999,FEBS LETT,16,0,0,0,1,0,0,0,2,1,0,12,ACTA NEUROPATHOLOGICA
97,98,4.319,J NEUROSURG,16,0,0,0,0,3,0,1,0,1,0,11,ACTA NEUROPATHOLOGICA
98,99,5.540,PLOS GENET,16,0,1,1,1,5,1,2,4,1,0,0,ACTA NEUROPATHOLOGICA
99,100,2.982,AMYOTROPH LAT SCL FR,15,0,0,1,0,2,4,3,1,2,0,2,ACTA NEUROPATHOLOGICA
0,1, ,ALL Journals,22837,421,2204,2436,2134,1958,1762,1531,1484,1160,1043,6704,Advanced Healthcare Materials
1,2, ,ALL OTHERS (1585),1585,14,132,147,119,141,100,84,87,80,65,616,Advanced Healthcare Materials
2,3,8.806,BIOMATERIALS,1347,27,89,94,145,131,137,120,131,83,45,345,Advanced Healthcare Materials
3,4,21.950,ADV MATER,578,19,88,84,78,61,55,45,37,26,21,64,Advanced Healthcare Materials
4,5,6.383,ACTA BIOMATER,371,12,52,57,47,46,37,46,28,28,11,7,Advanced Healthcare Materials
5,6,13.709,ACS NANO,361,6,58,67,50,59,44,24,28,9,13,3,Advanced Healthcare Materials
6,7,7.877,J CONTROL RELEASE,343,5,33,42,28,25,35,23,21,11,13,107,Advanced Healthcare Materials
7,8,9.504,P NATL ACAD SCI USA,334,1,14,29,24,24,20,25,31,17,18,131,Advanced Healthcare Materials
8,9,5.609,ADV HEALTHC MATER,330,35,110,85,40,47,13,0,0,0,0,0,Advanced Healthcare Materials
9,10,14.357,J AM CHEM SOC,327,3,12,25,25,30,27,34,26,29,27,89,Advanced Healthcare Materials
10,11,3.508,TISSUE ENG,306,3,16,30,36,20,25,25,33,27,15,76,Advanced Healthcare Materials
11,12,12.102,ANGEW CHEM INT EDIT,295,3,26,35,34,24,25,37,18,22,15,56,Advanced Healthcare Materials
12,13,13.325,ADV FUNCT MATER,293,7,39,63,38,34,30,14,27,11,13,17,Advanced Healthcare Materials
13,14,41.058,SCIENCE,291,2,10,10,9,18,21,13,12,17,9,170,Advanced Healthcare Materials
14,15,13.660,ADV DRUG DELIVER REV,258,5,16,19,17,33,30,19,15,5,27,72,Advanced Healthcare Materials
15,16,5.738,BIOMACROMOLECULES,217,2,20,25,14,24,19,18,12,15,8,60,Advanced Healthcare Materials
16,17,8.097,ACS APPL MATER INTER,213,7,65,55,42,18,11,5,9,1,0,0,Advanced Healthcare Materials
17,18,9.598,SMALL,212,7,39,29,38,23,14,13,18,13,9,9,Advanced Healthcare Materials
18,19,41.577,NATURE,211,0,18,11,5,11,6,8,12,12,16,112,Advanced Healthcare Materials
19,20,39.235,NAT MATER,202,1,22,22,32,27,15,15,17,17,5,29,Advanced Healthcare Materials
20,21,3.231,J BIOMED MATER RES A,192,4,5,13,22,20,18,10,22,16,11,51,Advanced Healthcare Materials
21,22,3.789,LANGMUIR,183,4,12,16,16,5,17,11,13,13,9,67,Advanced Healthcare Materials
22,23,2.766,PLOS ONE,178,2,15,29,30,38,26,15,10,4,6,3,Advanced Healthcare Materials
23,24,4.122,SCI REP-UK,178,5,69,63,15,23,3,0,0,0,0,0,Advanced Healthcare Materials
24,25,5.995,LAB CHIP,174,2,25,20,18,22,17,11,12,10,11,26,Advanced Healthcare Materials
25,26,7.233,NANOSCALE,163,4,35,46,19,28,15,9,6,1,0,0,Advanced Healthcare Materials
26,27,40.182,CHEM SOC REV,160,1,12,26,25,22,34,15,8,6,1,10,Advanced Healthcare Materials
27,28,52.613,CHEM REV,146,0,23,26,8,9,8,4,23,6,10,29,Advanced Healthcare Materials
28,29,6.290,CHEM COMMUN,145,1,14,21,20,18,14,15,7,12,4,19,Advanced Healthcare Materials
29,30,12.080,NANO LETT,142,0,17,13,13,8,11,21,14,8,9,28,Advanced Healthcare Materials
30,31,4.776,J MATER CHEM B,138,7,22,51,34,24,0,0,0,0,0,0,Advanced Healthcare Materials
31,32,35.724,NAT BIOTECHNOL,135,0,14,16,26,4,6,2,0,1,4,62,Advanced Healthcare Materials
32,33,8.173,BIOSENS BIOELECTRON,132,16,24,21,13,13,4,2,5,7,3,24,Advanced Healthcare Materials
33,34,12.353,NAT COMMUN,132,5,22,27,40,22,13,3,0,0,0,0,Advanced Healthcare Materials
34,35,3.862,INT J PHARMACEUT,129,1,11,15,7,9,8,8,4,3,10,53,Advanced Healthcare Materials
35,36,6.042,ANAL CHEM,114,2,7,16,14,13,13,7,7,9,1,25,Advanced Healthcare Materials
36,37,37.490,NAT NANOTECHNOL,110,1,13,10,10,13,9,12,7,12,8,15,Advanced Healthcare Materials
37,38, ,J BIOMED MATER RES,106,0,0,0,0,1,0,0,0,0,0,105,Advanced Healthcare Materials
38,39,2.936,RSC ADV,106,1,37,34,18,9,6,1,0,0,0,0,Advanced Healthcare Materials
39,40,4.370,INT J NANOMED,101,3,14,18,21,12,15,7,3,0,3,5,Advanced Healthcare Materials
40,41,3.122,J SUPERCRIT FLUID,98,1,7,10,3,12,7,9,9,6,11,23,Advanced Healthcare Materials
41,42,4.011,J BIOL CHEM,95,0,4,2,5,4,7,4,3,1,3,62,Advanced Healthcare Materials
42,43,3.709,SOFT MATTER,95,0,1,8,2,6,16,20,20,7,9,6,Advanced Healthcare Materials
43,44,9.130,CANCER RES,93,0,2,3,6,3,4,0,7,7,3,58,Advanced Healthcare Materials
