,Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
7,2010,"1,542",9.000,8.684,7.868,0.907,54,4.5,6.5,0.00565,2.257,0.0,Not Available,92.562,AGEING RESEARCH REVIEWS
8,2009,"1,170",5.622,5.511,6.328,1.5,32,4.5,5.9,0.00502,1.930,0.0,Not Available,83.434,AGEING RESEARCH REVIEWS
9,2008,"1,064",6.209,5.930,6.288,2.04,25,4.2,6.0,0.00549,1.982,0.0,Not Available,89.159,AGEING RESEARCH REVIEWS
10,2007,923,6.365,6.269,6.340,0.5,20,3.6,6.0,0.00722,2.155,0.0,Not Available,90.059,AGEING RESEARCH REVIEWS
11,2006,688,4.526,4.456,Not Available,0.9570000000000001,23,3.4,5.8,Not Available,Not Available,0.0,Not Available,80.224,AGEING RESEARCH REVIEWS
12,2005,461,4.151,4.018,Not Available,0.44799999999999995,29,3.0,5.7,Not Available,Not Available,3.45,Not Available,81.474,AGEING RESEARCH REVIEWS
13,2004,337,4.953,4.875,Not Available,0.643,28,2.3,5.4,Not Available,Not Available,0.0,Not Available,86.607,AGEING RESEARCH REVIEWS
14,2003,161,3.795,3.743,Not Available,0.52,25,1.5,5.2,Not Available,Not Available,16.0,Not Available,81.108,AGEING RESEARCH REVIEWS
15,2002,13,Not Available,Not Available,Not Available,0.256,39,Not Available,6.1,Not Available,Not Available,20.51,Not Available,1.743,AGEING RESEARCH REVIEWS
0,2017,"8,067",7.627000000000001,7.351,6.916,1.564,133,5.6,7.2,0.019,2.299,89.47,2.20800,89.878,AGING CELL
1,2016,"7,200",6.7139999999999995,6.437,6.456,1.7,110,5.4,7.4,0.02034,2.405,91.82,2.33636,89.39,AGING CELL
2,2015,"6,101",5.76,5.516,6.074,1.365,115,5.1,7.0,0.02082,2.437,88.7,2.37293,87.957,AGING CELL
3,2014,"5,793",6.34,6.127999999999999,6.593,1.405,116,4.7,6.8,0.01912,2.320,95.69,2.14109,88.853,AGING CELL
4,2013,"5,361",5.939,5.727,6.845,1.3730000000000002,126,4.7,6.3,0.02044,2.566,95.24,2.25236,87.794,AGING CELL
5,2012,"4,134",5.705,5.409,6.415,1.485,130,4.5,6.3,0.01748,2.333,96.92,Not Available,86.665,AGING CELL
6,2011,"3,673",6.265,5.932,7.119,1.0590000000000002,101,4.1,6.4,0.01856,2.622,97.03,Not Available,89.638,AGING CELL
7,2010,"3,371",7.148,6.767,7.978,1.446,92,3.6,6.1,0.01991,3.158,92.39,Not Available,89.766,AGING CELL
8,2009,"2,564",7.553999999999999,7.042000000000001,7.207,0.871,70,3.0,5.6,0.01822,2.918,97.14,Not Available,92.431,AGING CELL
9,2008,"2,083",7.791,7.165,7.585,1.0590000000000002,85,2.7,5.9,0.01672,3.042,92.94,Not Available,93.095,AGING CELL
10,2007,"1,343",5.854,5.292000000000001,6.696,1.37,81,3.1,5.8,0.01217,2.845,86.42,Not Available,87.805,AGING CELL
11,2006,897,6.276,5.907,Not Available,1.0170000000000001,58,2.7,5.1,Not Available,Not Available,96.55,Not Available,87.404,AGING CELL
12,2005,667,6.013,5.742999999999999,Not Available,1.0,31,2.3,6.0,Not Available,Not Available,93.55,Not Available,82.026,AGING CELL
13,2004,349,5.96,5.24,Not Available,1.133,45,1.7,4.6,Not Available,Not Available,60.0,Not Available,82.903,AGING CELL
14,2003,66,2.1180000000000003,1.8230000000000002,Not Available,1.071,28,Not Available,5.3,Not Available,Not Available,78.57,Not Available,43.269,AGING CELL
0,2017,"10,436",12.764000000000001,12.004000000000001,12.060,2.6180000000000003,131,4.2,6.0,0.03,3.993,88.55,3.50800,98.223,Alzheimers & Dementia
1,2016,"8,125",9.478,9.05,13.294,2.079,114,3.9,6.5,0.032060000000000005,4.549,86.84,3.68314,96.649,Alzheimers & Dementia
2,2015,"7,019",11.619000000000002,10.929,13.938,2.489,135,3.8,6.2,0.02775,4.520,88.15,3.16300,98.705,Alzheimers & Dementia
3,2014,"5,371",12.407,11.862,13.324,3.0210000000000004,95,3.4,6.8,0.02213,4.302,92.63,2.47894,98.698,Alzheimers & Dementia
4,2013,"3,821",17.472,16.439,10.035,2.373,83,2.7,6.7,0.016,3.078,95.18,1.76365,99.227,Alzheimers & Dementia
5,2012,"2,907",14.482999999999999,13.898,8.672,2.21,62,2.3,7.0,0.014769999999999998,2.799,91.94,Not Available,98.705,Alzheimers & Dementia
6,2011,"1,888",6.372999999999999,6.042000000000001,Not Available,4.803,61,2.7,8.3,0.00865,Not Available,93.44,Not Available,94.531,Alzheimers & Dementia
7,2010,"1,317",5.902,5.575,Not Available,1.8769999999999998,57,2.5,6.5,0.00719,Not Available,78.95,Not Available,93.784,Alzheimers & Dementia
8,2009,799,4.553,4.056,Not Available,0.852,61,1.9,6.0,0.00424,Not Available,91.8,Not Available,87.725,Alzheimers & Dementia
0,2017,"37,259",10.25,10.002,10.748,1.788,170,11.0,6.6,0.053,4.451,95.29,6.23100,95.319,ANNALS OF NEUROLOGY
1,2016,"34,215",9.89,9.651,11.089,2.086,175,>10.0,6.5,0.05715,4.480,93.71,6.56677,95.976,ANNALS OF NEUROLOGY
2,2015,"32,995",9.638,9.427999999999999,10.880,2.2769999999999997,177,>10.0,6.9,0.05944,4.357,99.44,6.77473,96.134,ANNALS OF NEUROLOGY
3,2014,"32,934",9.977,9.703,10.792,1.97,167,9.9,6.5,0.06054,4.176,96.41,6.77997,96.546,ANNALS OF NEUROLOGY
4,2013,"33,670",11.91,11.619000000000002,11.353,1.893,178,9.5,5.4,0.06302,4.184,98.88,6.94660,97.411,ANNALS OF NEUROLOGY
5,2012,"32,256",11.193,10.929,11.047,1.994,173,9.2,6.4,0.06681,4.423,97.11,Not Available,97.407,ANNALS OF NEUROLOGY
6,2011,"31,352",11.089,10.675,10.644,2.615,192,9.0,6.0,0.06736,4.188,100.0,Not Available,97.402,ANNALS OF NEUROLOGY
7,2010,"30,338",10.745999999999999,10.350999999999999,10.132,1.7080000000000002,192,9.1,6.3,0.07254,3.995,100.0,Not Available,97.816,ANNALS OF NEUROLOGY
8,2009,"29,669",9.317,8.933,9.602,1.7469999999999999,178,8.9,5.8,0.07425,3.585,97.19,Not Available,96.979,ANNALS OF NEUROLOGY
9,2008,"28,710",9.935,9.427999999999999,9.081,2.166,169,8.5,6.0,0.07996,3.337,91.12,Not Available,97.596,ANNALS OF NEUROLOGY
10,2007,"26,880",8.812999999999999,8.63,8.277,1.679,134,8.0,5.7,0.08541,3.116,97.01,Not Available,96.998,ANNALS OF NEUROLOGY
11,2006,"26,611",8.051,7.763999999999999,Not Available,2.716,204,7.9,5.5,Not Available,Not Available,97.06,Not Available,96.365,ANNALS OF NEUROLOGY
12,2005,"24,933",7.571000000000001,7.272,Not Available,1.2429999999999999,251,7.8,5.6,Not Available,Not Available,99.6,Not Available,96.618,ANNALS OF NEUROLOGY
13,2004,"25,960",8.097000000000001,7.832999999999999,Not Available,1.827,237,7.5,5.7,Not Available,Not Available,100.0,Not Available,96.961,ANNALS OF NEUROLOGY
14,2003,"24,887",7.7170000000000005,7.294,Not Available,1.4669999999999999,255,7.6,5.5,Not Available,Not Available,96.47,Not Available,96.54,ANNALS OF NEUROLOGY
15,2002,"25,974",8.603,8.263,Not Available,1.3359999999999999,232,7.2,5.5,Not Available,Not Available,99.57,Not Available,97.408,ANNALS OF NEUROLOGY
16,2001,"24,757",8.481,8.051,Not Available,1.541,220,7.0,5.3,Not Available,Not Available,99.09,Not Available,96.544,ANNALS OF NEUROLOGY
17,2000,"24,416",8.48,7.9910000000000005,Not Available,1.693,251,6.7,5.4,Not Available,Not Available,99.6,Not Available,97.231,ANNALS OF NEUROLOGY
18,1999,"24,688",8.321,7.922000000000001,Not Available,1.232,233,6.7,5.4,Not Available,Not Available,100.0,Not Available,97.696,ANNALS OF NEUROLOGY
19,1998,"23,293",9.455,8.822000000000001,Not Available,1.128,257,6.5,5.1,Not Available,Not Available,100.0,Not Available,98.934,ANNALS OF NEUROLOGY
20,1997,"21,722",9.513,8.895,Not Available,1.068,220,6.5,4.8,Not Available,Not Available,99.55,Not Available,97.933,ANNALS OF NEUROLOGY
0,2017,"4,653",8.788,8.788,16.165,2.526,19,9.1,6.3,0.006,4.994,0.0,0.73100,98.077,Annual Review of Biomedical Engineering
1,2016,"4,251",10.514000000000001,10.459000000000001,14.615,1.125,16,8.8,6.9,0.00607,4.393,0.0,0.69628,99.351,Annual Review of Biomedical Engineering
2,2015,"3,823",10.255999999999998,10.179,14.137,0.41200000000000003,17,8.3,6.1,0.00645,4.491,0.0,0.73540,99.342,Annual Review of Biomedical Engineering
3,2014,"3,859",14.210999999999999,14.184000000000001,15.839,1.15,20,7.7,6.9,0.00739,5.348,0.0,0.82751,99.342,Annual Review of Biomedical Engineering
4,2013,"3,486",12.45,12.4,15.000,0.737,19,7.3,6.2,0.00777,5.619,0.0,0.85640,99.342,Annual Review of Biomedical Engineering
5,2012,"3,150",10.946,10.81,14.566,0.474,19,7.0,6.4,0.00756,5.218,0.0,Not Available,99.367,Annual Review of Biomedical Engineering
6,2011,"2,868",12.214,12.107000000000001,15.667,0.619,21,6.6,6.4,0.0082,5.519,0.0,Not Available,99.306,Annual Review of Biomedical Engineering
7,2010,"2,764",11.0,11.0,16.895,0.75,16,6.3,6.1,0.00821,5.570,0.0,Not Available,99.286,Annual Review of Biomedical Engineering
8,2009,"2,441",11.235,11.117,14.096,0.667,12,6.2,6.7,0.00852,4.930,0.0,Not Available,99.153,Annual Review of Biomedical Engineering
9,2008,"2,122",10.789000000000001,10.763,13.679,1.0,15,5.6,5.6,0.00951,5.111,0.0,Not Available,99.038,Annual Review of Biomedical Engineering
10,2007,"1,629",11.567,11.533,12.123,0.684,19,5.2,6.1,0.00886,4.706,0.0,Not Available,98.864,Annual Review of Biomedical Engineering
11,2006,"1,350",10.533,10.5,Not Available,0.368,19,4.8,6.8,Not Available,Not Available,0.0,Not Available,98.81,Annual Review of Biomedical Engineering
12,2005,999,6.457000000000001,6.4,Not Available,0.545,11,4.3,7.0,Not Available,Not Available,0.0,Not Available,98.78,Annual Review of Biomedical Engineering
13,2004,786,8.156,8.125,Not Available,0.053,19,3.9,6.4,Not Available,Not Available,0.0,Not Available,98.81,Annual Review of Biomedical Engineering
14,2003,548,7.875,7.687,Not Available,0.125,16,3.1,5.2,Not Available,Not Available,0.0,Not Available,98.81,Annual Review of Biomedical Engineering
15,2002,216,3.537,3.365,Not Available,0.0,16,2.7,4.5,Not Available,Not Available,0.0,Not Available,98.75,Annual Review of Biomedical Engineering
16,2001,35,0.7140000000000001,0.653,Not Available,0.0,16,Not Available,5.6,Not Available,Not Available,0.0,Not Available,37.179,Annual Review of Biomedical Engineering
0,2017,"9,812",9.032,9.032,17.691,0.68,25,10.6,7.0,0.017,8.826,0.00,1.97400,91.629,Annual Review of Cell and Developmental Biology
1,2016,"9,131",14.917,14.833,20.121,0.31,29,>10.0,7.0,0.02034,10.101,0.00,2.33390,96.627,Annual Review of Cell and Developmental Biology
2,2015,"8,992",12.755,12.673,19.319,0.182,33,>10.0,6.7,0.02057,10.075,0.00,2.34448,96.315,Annual Review of Cell and Developmental Biology
3,2014,"9,301",16.66,16.62,21.326,0.48100000000000004,27,9.3,6.3,0.02356,10.990,0.00,2.63855,97.08,Annual Review of Cell and Developmental Biology
4,2013,"9,224",20.241,20.172,19.672,0.8640000000000001,22,8.9,6.3,0.02483,10.877,0.00,2.73653,97.904,Annual Review of Cell and Developmental Biology
5,2012,"8,866",17.983,17.827,19.806,0.7859999999999999,28,8.5,6.4,0.02601,11.113,0.00,Not Available,97.633,Annual Review of Cell and Developmental Biology
6,2011,"8,399",15.835999999999999,15.709000000000001,19.733,0.733,30,8.0,6.0,0.02744,11.421,0.00,Not Available,97.579,Annual Review of Cell and Developmental Biology
7,2010,"8,414",14.078,13.96,22.924,0.7140000000000001,28,7.6,5.7,0.03385,13.318,0.00,Not Available,96.954,Annual Review of Cell and Developmental Biology
8,2009,"8,328",19.570999999999998,19.51,25.533,0.7040000000000001,27,7.0,5.5,0.04372,15.561,0.00,Not Available,97.917,Annual Review of Cell and Developmental Biology
9,2008,"8,063",22.730999999999998,22.673000000000002,26.058,1.167,24,7.1,5.2,0.04961,16.220,0.00,Not Available,98.227,Annual Review of Cell and Developmental Biology
10,2007,"7,867",23.545,23.471999999999998,25.642,1.32,25,6.7,5.4,0.05289,16.606,0.00,Not Available,98.203,Annual Review of Cell and Developmental Biology
11,2006,"7,499",26.576,26.406,Not Available,1.0,27,6.3,4.9,Not Available,Not Available,0.00,Not Available,98.143,Annual Review of Cell and Developmental Biology
12,2005,"7,097",23.69,23.551,Not Available,0.857,28,6.3,4.6,Not Available,Not Available,0.00,Not Available,98.099,Annual Review of Cell and Developmental Biology
13,2004,"6,956",17.804000000000002,17.666,Not Available,0.5479999999999999,31,6.2,4.6,Not Available,Not Available,0.00,Not Available,97.791,Annual Review of Cell and Developmental Biology
14,2003,"6,646",22.638,22.381999999999998,Not Available,0.37,27,5.9,4.0,Not Available,Not Available,0.00,Not Available,98.121,Annual Review of Cell and Developmental Biology
15,2002,"6,482",22.87,22.63,Not Available,0.792,24,5.8,4.0,Not Available,Not Available,0.00,Not Available,98.099,Annual Review of Cell and Developmental Biology
16,2001,"6,414",27.105999999999998,26.978,Not Available,0.304,23,5.7,3.7,Not Available,Not Available,0.00,Not Available,98.549,Annual Review of Cell and Developmental Biology
17,2000,"6,335",26.3,26.05,Not Available,0.522,23,5.8,4.5,Not Available,Not Available,0.00,Not Available,98.552,Annual Review of Cell and Developmental Biology
18,1999,"6,170",26.263,26.263,Not Available,0.375,24,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,98.476,Annual Review of Cell and Developmental Biology
19,1998,"6,027",21.386,21.295,Not Available,0.875,16,5.9,3.9,Not Available,Not Available,12.50,Not Available,98.228,Annual Review of Cell and Developmental Biology
20,1997,"5,607",19.0,19.0,Not Available,0.682,22,6.4,3.5,Not Available,Not Available,4.55,Not Available,98.342,Annual Review of Cell and Developmental Biology
0,2017,"13,320",14.675,14.525,19.878,2.444,27,12.8,7.8,0.016,10.172,0.0,1.88200,97.893,Annual Review of Neuroscience
1,2016,"13,211",15.63,15.585999999999999,22.067,1.474,19,>10.0,7.6,0.02061,11.942,0.0,2.36745,99.035,Annual Review of Neuroscience
2,2015,"13,125",14.265,14.204,22.563,3.0,21,>10.0,7.6,0.02068,11.493,0.0,2.35736,98.242,Annual Review of Neuroscience
3,2014,"13,226",19.32,19.2,25.920,1.32,25,>10.0,6.4,0.02423,13.624,0.0,2.71361,98.611,Annual Review of Neuroscience
4,2013,"13,345",22.66,22.52,28.613,1.5419999999999998,24,>10.0,7.0,0.02776,15.009,0.0,3.05949,99.405,Annual Review of Neuroscience
5,2012,"12,638",20.614,20.522,31.028,3.115,26,>10.0,6.7,0.03183,17.030,0.0,Not Available,99.405,Annual Review of Neuroscience
6,2011,"11,948",25.737,25.578000000000003,31.058,2.458,24,9.9,7.9,0.03054,16.169,0.0,Not Available,99.385,Annual Review of Neuroscience
7,2010,"11,465",26.756,26.56,30.559,2.35,20,9.2,7.0,0.03328,16.820,0.0,Not Available,99.372,Annual Review of Neuroscience
8,2009,"10,990",24.822,24.711,32.618,2.667,18,8.5,6.1,0.04416,19.291,0.0,Not Available,99.351,Annual Review of Neuroscience
9,2008,"10,132",26.405,26.19,31.209,3.3480000000000003,23,7.7,6.8,0.04611,18.915,0.0,Not Available,99.774,Annual Review of Neuroscience
10,2007,"9,652",26.076999999999998,25.948,30.495,2.4090000000000003,22,7.1,7.0,0.04277,17.191,0.0,Not Available,99.763,Annual Review of Neuroscience
11,2006,"9,139",28.533,28.221999999999998,Not Available,3.05,20,6.8,5.7,Not Available,Not Available,5.0,Not Available,99.75,Annual Review of Neuroscience
12,2005,"8,563",24.184,23.938000000000002,Not Available,2.263,19,6.3,5.8,Not Available,Not Available,0.0,Not Available,99.75,Annual Review of Neuroscience
13,2004,"8,093",23.143,22.976,Not Available,2.154,26,6.3,5.9,Not Available,Not Available,0.0,Not Available,99.747,Annual Review of Neuroscience
14,2003,"7,925",30.166999999999998,29.965999999999998,Not Available,2.0,23,6.5,4.4,Not Available,Not Available,0.0,Not Available,99.747,Annual Review of Neuroscience
15,2002,"7,348",24.090999999999998,23.909000000000002,Not Available,2.053,19,6.7,5.9,Not Available,Not Available,0.0,Not Available,99.746,Annual Review of Neuroscience
16,2001,"7,063",27.151999999999997,26.826,Not Available,3.537,41,6.9,5.8,Not Available,Not Available,0.0,Not Available,99.747,Annual Review of Neuroscience
17,2000,"6,708",26.676,26.27,Not Available,3.84,25,6.9,5.9,Not Available,Not Available,0.0,Not Available,99.754,Annual Review of Neuroscience
18,1999,"6,824",22.605,22.368000000000002,Not Available,6.047999999999999,21,6.3,5.5,Not Available,Not Available,0.0,Not Available,99.751,Annual Review of Neuroscience
19,1998,"6,463",23.023000000000003,22.954,Not Available,3.625,16,6.2,5.8,Not Available,Not Available,0.0,Not Available,99.752,Annual Review of Neuroscience
20,1997,"6,023",21.951999999999998,21.928,Not Available,2.682,22,6.2,5.2,Not Available,Not Available,0.0,Not Available,99.667,Annual Review of Neuroscience
0,2017,"14,923",11.1,10.593,11.815,2.0140000000000002,140,5.2,6.6,0.036,3.585,91.43,4.14700,93.421,Autophagy
1,2016,"12,494",8.593,7.947,11.019,2.905,148,4.8,6.4,0.03237,3.310,95.27,3.71521,88.684,Autophagy
2,2015,"10,957",9.107999999999999,8.405,11.958,1.012,163,4.5,5.7,0.03599,3.973,93.87,4.10203,90.107,Autophagy
3,2014,"9,457",11.753,10.74,10.698,1.7480000000000002,159,4.2,5.6,0.03289,3.452,93.08,3.68353,92.12,Autophagy
4,2013,"7,829",11.423,10.477,9.257,1.396,134,4.1,5.2,0.0356,3.252,84.33,3.92335,92.162,Autophagy
5,2012,"6,661",12.042,10.8,8.503,1.982,114,3.7,4.8,0.03482,2.906,92.98,Not Available,93.784,Autophagy
6,2011,"4,923",7.452999999999999,6.595,6.699,2.324,108,3.3,4.6,0.02995,2.504,85.19,Not Available,83.702,Autophagy
7,2010,"4,142",6.643,5.983,6.672,1.817,82,2.7,4.7,0.0304,2.634,90.24,Not Available,81.18,Autophagy
8,2009,"3,197",6.829,6.072,6.917,1.376,149,2.2,4.5,0.02445,2.720,95.3,Not Available,84.259,Autophagy
9,2008,"1,852",5.479,4.202,6.421,1.5530000000000002,190,1.7,4.2,0.01348,2.513,87.89,Not Available,78.662,Autophagy
10,2007,685,4.657,3.424,Not Available,1.3219999999999998,143,1.7,3.9,0.00476,Not Available,95.8,Not Available,76.603,Autophagy
11,2006,202,6.707999999999999,4.625,Not Available,0.444,72,1.5,4.8,Not Available,Not Available,79.17,Not Available,83.013,Autophagy
0,2017,"8,900",15.071,14.821,21.181,4.375,16,13.7,9.7,0.01,8.860,100.00,1.18300,97.254,BEHAVIORAL AND BRAIN SCIENCES
1,2016,"8,195",14.2,13.9,20.948,1.944,18,>10.0,10.0,0.01092,9.859,100.00,1.25306,97.25,BEHAVIORAL AND BRAIN SCIENCES
2,2015,"7,873",20.415,20.0,23.842,1.700,10,>10.0,7.9,0.01286,11.186,100.00,1.46536,98.287,BEHAVIORAL AND BRAIN SCIENCES
3,2014,"7,562",20.771,20.428,24.308,2.750,20,>10.0,8.6,0.01103,10.686,95.00,1.23524,97.498,BEHAVIORAL AND BRAIN SCIENCES
4,2013,"7,017",14.962,14.5,22.821,4.476,21,>10.0,9.1,0.00965,10.342,100.00,1.06355,96.929,BEHAVIORAL AND BRAIN SCIENCES
5,2012,"6,402",18.570999999999998,18.0,23.173,2.286,14,>10.0,7.5,0.00996,10.969,100.00,Not Available,98.139,BEHAVIORAL AND BRAIN SCIENCES
6,2011,"6,081",25.055999999999997,24.221999999999998,22.558,3.714,7,>10.0,>10.0,0.01026,10.760,100.00,Not Available,98.121,BEHAVIORAL AND BRAIN SCIENCES
7,2010,"5,902",21.951999999999998,21.523000000000003,24.509,3.667,6,>10.0,8.6,0.01261,11.401,83.33,Not Available,98.114,BEHAVIORAL AND BRAIN SCIENCES
8,2009,"6,290",19.045,18.180999999999997,23.548,3.000,9,>10.0,8.6,0.01203,9.320,0.00,Not Available,98.109,BEHAVIORAL AND BRAIN SCIENCES
