Cited Journal Data: PLOS ONE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
66,2.420,BMC PUBLIC HEALTH,701,7,85,146,151,140,92,44,19,9,4,4
67,6.854,ONCOGENE,695,0,11,55,108,174,126,87,60,34,26,14
68,6.721,CELL MOL LIFE SCI,685,6,36,95,107,131,122,67,48,43,26,4
69,4.847,P ROY SOC B-BIOL SCI,683,7,44,84,116,124,106,107,37,21,23,14
70,3.761,VIRUSES-BASEL,672,23,62,96,104,103,100,79,40,32,26,7
71,3.476,J ALZHEIMERS DIS,669,2,39,106,103,151,110,67,46,15,19,11
72,3.382,NEUROSCIENCE,669,3,31,88,115,148,124,62,46,22,19,11
73,5.540,PLOS GENET,667,5,35,69,91,127,109,96,59,31,20,25
74,3.388,INVEST OPHTH VIS SCI,661,20,76,120,131,122,96,49,17,18,11,1
75,4.974,ENVIRON MICROBIOL,657,3,41,63,117,163,105,72,48,20,11,14
76,4.256,ANTIMICROB AGENTS CH,646,10,67,102,108,106,90,68,42,30,17,6
77,2.936,RSC ADV,641,14,57,110,135,135,95,45,25,14,9,2
78,1.184,JOVE-J VIS EXP,623,16,56,88,98,108,105,61,43,23,16,9
79,3.340,APPL MICROBIOL BIOT,621,5,46,96,117,128,111,61,30,22,3,2
80,3.288,BMC CANCER,619,5,44,96,122,124,107,46,25,27,17,6
81,6.689,MBIO,619,9,44,74,98,100,129,54,50,38,14,9
82,4.300,FRONT CELL NEUROSCI,618,12,43,75,88,125,104,81,37,26,18,9
83,3.582,FRONT AGING NEUROSCI,607,16,49,85,106,140,97,58,24,15,12,5
84,4.661,BIOL CONSERV,598,8,52,85,119,108,93,57,28,20,13,15
85,4.927,HUM BRAIN MAPP,590,1,26,71,100,133,106,72,32,19,16,14
86,3.173,BEHAV BRAIN RES,582,3,29,61,94,116,103,70,43,28,29,6
87,3.508,FRONT NEUROL,581,21,65,93,96,119,83,54,25,13,7,5
88,6.491,CANCER LETT,579,8,37,77,110,118,90,60,30,30,13,6
89,3.185,FISH SHELLFISH IMMUN,577,9,44,59,111,125,116,59,17,12,13,12
90,2.213,BMC BIOINFORMATICS,569,8,27,69,95,117,106,67,35,18,21,6
91,4.902,HUM MOL GENET,567,6,49,55,91,110,111,68,31,24,18,4
92,5.595,FASEB J,564,4,28,70,97,108,88,81,52,16,14,6
93,2.800,ENVIRON SCI POLLUT R,563,7,48,115,133,113,70,53,8,9,4,3
94,5.638,CELL DEATH DIS,551,0,30,59,96,131,104,60,30,22,16,3
95,5.354,J EXP BOT,551,6,36,80,86,123,103,60,14,11,15,17
96,2.545,INFECT GENET EVOL,549,3,68,79,85,109,74,48,40,24,11,8
97,3.300,WORLD J GASTROENTERO,548,6,62,107,103,115,71,50,16,5,7,6
98,4.116,JAIDS-J ACQ IMM DEF,545,2,45,73,119,113,78,43,29,17,18,8
99,3.241,MAR POLLUT BULL,543,4,34,94,109,112,75,66,30,9,7,3
100,2.742,G3-GENES GENOM GENET,542,5,27,75,93,82,99,82,29,18,23,9
101,6.020,FREE RADICAL BIO MED,540,1,29,73,102,118,90,51,29,28,14,5
102,9.117,CLIN INFECT DIS,528,5,59,71,75,123,77,50,25,26,11,6
103,7.433,NEW PHYTOL,528,0,26,53,92,133,104,55,18,15,15,17
104,2.332,MICROB PATHOGENESIS,527,10,41,82,85,100,95,54,25,15,11,9
105,6.653,ENVIRON SCI TECHNOL,526,13,49,87,112,103,74,49,22,10,7,0
106,2.959,J CELL BIOCHEM,522,3,35,67,81,121,91,50,34,19,13,8
107,3.469,CURR MED CHEM,519,4,25,83,82,106,83,66,29,21,13,7
108,3.909,INT J BIOL MACROMOL,519,2,39,78,108,111,77,50,23,8,9,14
109,3.179,J EXP BIOL,514,6,29,52,83,100,103,74,24,18,16,9
110,5.666,PHILOS T R SOC B,509,1,24,62,76,104,85,51,32,31,30,13
111,9.130,CANCER RES,508,8,24,64,82,100,81,61,26,38,15,9
112,8.997,GLOBAL CHANGE BIOL,508,0,39,82,95,109,76,48,25,19,7,8
113,10.199,CLIN CANCER RES,504,1,29,77,94,108,75,58,29,19,10,4
114,3.040,EUR J PHARMACOL,499,9,40,77,102,108,80,37,21,14,8,3
115,9.133,MICROBIOME,498,4,41,55,87,114,92,46,35,7,12,5
116,4.249,NEUROPHARMACOLOGY,497,1,21,46,62,116,89,70,33,23,20,16
117,3.923,J CELL PHYSIOL,495,0,23,65,83,122,87,54,27,18,11,5
118,4.412,MOL PHYLOGENET EVOL,495,2,22,51,79,103,112,53,32,13,13,15
119,2.656,ONCOTARGETS THER,495,7,52,87,100,126,76,24,11,8,4,0
120,3.549,MEDIAT INFLAMM,494,4,40,65,85,98,87,49,34,18,13,1
121,0.931,ZOOTAXA,493,15,66,78,76,85,77,49,24,5,5,13
122,4.358,ENVIRON POLLUT,490,1,40,84,133,107,58,33,18,7,7,2
123,3.989,STEM CELLS INT,487,3,31,51,90,80,89,61,38,22,17,5
124,5.108,BBA-MOL BASIS DIS,486,2,35,60,69,99,88,61,35,17,13,7
125,2.564,AM J TROP MED HYG,484,3,35,80,94,88,74,35,33,25,8,9
126,4.914,AIDS,477,10,60,76,84,88,56,35,32,19,14,3
127,2.525,VET MICROBIOL,477,10,45,66,79,85,66,50,25,23,9,19
128,3.679,BBA-GEN SUBJECTS,476,0,22,76,79,105,86,51,27,17,9,4
129,9.251,CURR BIOL,473,8,34,43,53,111,75,54,29,37,16,13
130,3.950,J PROTEOME RES,472,2,29,64,82,88,87,51,43,12,10,4
131,3.519,FRONT ENDOCRINOL,471,22,43,54,68,85,82,54,27,28,5,3
132,5.949,PLANT PHYSIOL,471,5,34,57,75,78,71,71,26,18,16,20
133,2.064,EVID-BASED COMPL ALT,468,9,66,84,88,92,63,28,13,12,5,8
134,3.256,INFECT IMMUN,465,4,22,56,58,91,85,63,38,30,17,1
135,4.427,CHEMOSPHERE,464,5,27,76,124,82,75,38,17,9,7,4
136,1.865,ANTICANCER RES,463,11,37,96,91,91,65,31,24,9,5,3
137,3.563,MOL CELL ENDOCRINOL,461,0,27,61,82,84,71,59,37,26,13,1
138,6.810,BRIT J PHARMACOL,460,0,28,89,86,86,76,53,24,10,4,4
139,3.412,J AGR FOOD CHEM,460,7,52,93,93,95,58,35,9,11,5,2
140,3.940,GENOME BIOL EVOL,459,7,38,44,76,83,81,55,28,18,21,8
141,10.376,PHARMACOL THERAPEUT,458,1,33,64,96,91,66,46,32,14,10,5
142,,JCI INSIGHT,456,6,28,66,69,102,87,52,14,16,13,3
143,,PROC SPIE,456,5,50,83,85,104,61,36,11,10,9,2
144,3.061,AM J TRANSL RES,455,7,39,73,87,97,84,32,16,11,7,2
145,3.309,EXP CELL RES,455,7,35,75,77,113,67,39,22,12,3,5
146,4.075,GENETICS,455,2,28,37,67,78,75,72,43,19,20,14
147,2.484,VIRUS RES,454,4,36,56,92,79,68,55,30,18,10,6
148,2.671,ECOSPHERE,453,11,38,71,95,71,73,48,19,18,6,3
149,2.160,ARCH VIROL,452,4,36,59,114,83,61,44,20,17,5,9
150,3.027,BMC EVOL BIOL,448,4,25,60,55,83,84,48,33,19,17,20
151,8.806,BIOMATERIALS,446,1,38,57,77,85,70,49,26,20,16,7
152,5.481,BIOINFORMATICS,442,2,32,43,83,100,68,60,36,9,6,3
153,6.042,ANAL CHEM,437,5,31,76,84,70,65,59,20,15,5,7
154,6.308,CEREB CORTEX,429,0,6,33,68,105,83,48,23,26,24,13
155,2.159,NEUROSCI LETT,429,5,32,59,69,98,80,43,20,11,7,5
156,6.754,COCHRANE DB SYST REV,425,5,37,70,86,114,45,38,16,7,6,1
157,2.784,INT J MOL MED,425,0,20,76,95,92,71,36,19,8,5,3
158,5.151,MOL NUTR FOOD RES,422,5,23,71,68,88,78,38,24,18,8,1
159,5.217,J ANTIMICROB CHEMOTH,416,4,29,81,84,66,68,33,24,18,3,6
160,13.251,J CLIN INVEST,416,0,32,47,77,84,62,36,35,25,12,6
161,3.273,TOXINS,416,9,34,54,67,91,62,42,27,19,7,4
162,7.059,MOL ECOL RESOUR,411,2,23,47,82,68,100,45,16,7,13,8
163,,AIDS BEHAV,409,2,33,67,82,92,66,27,19,9,7,5
164,3.333,INT J ONCOL,409,0,25,50,85,102,77,39,13,5,10,3
165,5.413,DEVELOPMENT,408,3,22,31,70,68,74,42,30,39,14,15
166,3.067,ANIM BEHAV,407,1,29,40,53,80,74,55,28,15,20,12
167,3.930,BMC PLANT BIOL,407,7,40,60,79,75,86,28,13,8,4,7
168,11.700,BIOL REV,406,0,10,30,79,84,85,55,22,19,13,9
169,2.514,J GEN VIROL,406,6,22,56,75,87,63,50,17,20,7,3
170,41.577,NATURE,405,4,29,35,60,70,81,48,36,22,14,6
171,6.138,SEMIN CELL DEV BIOL,403,3,22,60,61,61,60,54,36,19,18,9
172,1.894,MED SCI MONITOR,402,11,44,84,88,71,53,24,13,4,8,2
173,2.387,EUR REV MED PHARMACO,400,14,52,74,76,77,51,30,15,5,4,2
174,3.786,J AFFECT DISORDERS,400,1,27,68,75,90,71,35,18,6,7,2
175,4.897,PHARMACOL RES,400,0,33,63,69,75,67,55,17,11,6,4
176,4.540,J PHYSIOL-LONDON,399,3,19,44,70,93,68,42,20,14,18,8
177,14.163,PROG NEUROBIOL,398,2,16,41,65,74,76,49,39,20,11,5
178,4.963,STEM CELL RES THER,398,8,19,50,63,76,82,37,32,9,16,6
179,3.374,VIROLOGY,396,3,19,69,66,77,58,43,27,20,11,3
180,1.843,BMC HEALTH SERV RES,395,9,35,85,98,67,33,33,18,11,3,3
181,5.775,PLANT J,395,2,32,43,57,80,54,61,17,10,19,20
182,,BIOMED RES-INDIA,394,7,39,72,82,74,57,39,14,3,2,5
183,6.383,ACTA BIOMATER,393,7,15,55,68,91,62,48,23,14,6,4
184,7.360,INT J CANCER,392,2,22,79,71,81,54,33,25,11,11,3
185,2.749,J DAIRY SCI,390,6,55,63,77,84,50,19,12,13,7,4
186,9.520,ISME J,389,0,8,38,77,80,60,64,37,17,5,3
187,2.284,PHYS REV E,388,7,27,60,58,65,63,49,24,17,11,7
188,4.691,TRANSL PSYCHIAT,388,3,19,39,63,74,74,53,29,19,11,4
189,3.249,J CANCER,387,3,24,60,92,87,60,20,23,9,6,3
190,3.262,DEV BIOL,385,3,17,32,61,73,82,48,26,21,13,9
191,,MICROBIOL SPECTR,383,2,25,50,57,77,58,46,34,14,12,8
192,3.470,J FUNCT FOODS,382,3,34,60,73,89,67,29,19,4,2,2
193,3.374,CURR TOP MED CHEM,381,2,8,53,54,75,66,67,30,18,4,4
194,4.224,J LEUKOCYTE BIOL,381,4,16,57,57,83,57,50,27,19,11,0
195,6.253,J MED CHEM,381,5,30,68,67,69,62,38,12,16,8,6
196,2.044,EPIDEMIOL INFECT,380,4,31,80,60,86,48,38,13,9,4,7
197,3.983,ECOL INDIC,379,5,28,56,78,79,52,41,18,9,8,5
198,4.034,INT J CARDIOL,379,2,41,76,102,90,30,19,9,5,4,1
199,3.495,BIOPHYS J,378,3,26,42,55,73,69,41,25,21,13,10
200,5.326,CANCERS,378,14,22,51,65,83,55,39,27,7,14,1
201,2.913,DEV COMP IMMUNOL,378,5,31,45,55,94,69,43,16,6,12,2
202,4.416,FRONT ONCOL,378,15,27,54,77,75,57,32,15,11,9,6
203,2.229,HUM VACC IMMUNOTHER,378,1,31,74,59,70,60,35,15,13,14,6
204,4.450,J AM HEART ASSOC,378,7,47,70,77,77,47,34,13,5,1,0
205,4.277,ANN NY ACAD SCI,377,4,27,67,67,66,52,45,21,13,11,4
206,4.054,J CLIN MICROBIOL,375,9,51,64,71,58,51,31,16,12,7,5
207,3.234,LIFE SCI,375,10,36,58,60,90,63,30,13,8,4,3
208,4.401,J CELL SCI,374,0,8,38,48,68,89,47,34,30,3,9
209,3.722,J PROTEOMICS,371,0,22,63,74,76,59,38,14,12,7,6
210,4.235,BIOCHEM PHARMACOL,368,4,39,45,69,79,60,29,16,14,11,2
211,15.132,BLOOD,368,2,28,48,48,83,67,43,21,11,11,6
212,4.816,EUR J MED CHEM,367,1,25,62,62,96,60,34,8,12,3,4
213,11.392,FEMS MICROBIOL REV,367,2,34,56,47,81,65,45,18,9,3,7
214,2.215,MAR BIOL,367,3,24,40,76,55,76,42,36,5,9,1
215,4.302,J CELL MOL MED,366,1,25,47,70,82,62,38,15,12,10,4
216,3.495,FEMS MICROBIOL ECOL,364,0,12,39,56,95,59,47,27,17,8,4
217,3.947,VIRULENCE,364,1,18,46,58,66,64,53,28,16,8,6
218,2.502,J NEUROPHYSIOL,359,4,20,53,57,72,60,30,22,18,16,7
219,5.135,J INT AIDS SOC,357,5,45,50,66,78,51,26,18,13,3,2
220,12.244,EUR RESPIR J,355,3,43,41,66,71,65,31,19,11,4,1
221,2.829,BMC MICROBIOL,354,3,14,55,61,68,50,49,27,14,10,3
222,2.132,PHYSICA A,354,0,22,76,69,52,36,56,26,9,3,5
223,10.217,MOL BIOL EVOL,352,1,7,43,47,62,75,44,33,19,13,8
224,4.609,J NEUROCHEM,350,0,18,45,63,61,48,49,35,19,9,3
225,3.125,BRAIN RES,349,0,19,37,65,78,58,40,27,12,11,2
226,5.193,J NEUROINFLAMM,349,2,26,42,52,75,63,44,15,20,7,3
227,3.869,NEUROIMAGE-CLIN,349,1,30,64,55,81,68,22,16,8,2,2
228,,PHYSIOL REP,349,7,40,58,61,67,50,28,19,10,7,2
229,2.517,PHYSIOL BEHAV,347,7,25,34,74,73,66,35,10,14,5,4
230,2.889,NEUROPSYCHOLOGIA,345,3,16,44,56,69,53,41,19,16,14,14
231,2.509,ACTA TROP,344,3,30,48,61,69,61,32,15,10,8,7
232,6.306,BRAIN BEHAV IMMUN,342,2,20,48,53,88,52,40,13,16,10,0
233,2.392,INT J TUBERC LUNG D,342,3,42,47,68,68,45,37,9,15,5,3
234,2.475,SENSORS-BASEL,342,25,65,62,53,67,36,15,9,5,2,3
235,4.370,INT J NANOMED,340,4,30,50,61,78,55,28,10,7,9,8
236,13.258,J ALLERGY CLIN IMMUN,339,3,18,51,54,53,61,37,29,15,14,4
237,1.988,J MED VIROL,339,1,26,39,72,57,65,41,22,7,3,6
238,11.511,SCI ADV,339,5,23,55,53,51,59,35,18,16,17,7
239,1.936,J ECON ENTOMOL,338,6,25,54,71,71,52,27,17,6,4,5
240,3.512,MOL BIOL CELL,337,4,16,34,37,61,66,48,21,29,12,9
241,15.211,CIRC RES,333,5,24,57,58,51,64,37,21,10,5,1
242,2.997,BIOCHEMISTRY-US,332,5,22,44,43,65,55,45,23,14,9,7
243,3.977,FOOD CHEM TOXICOL,331,7,29,47,71,64,49,32,14,10,2,6
244,14.319,NEURON,328,3,20,31,49,65,57,37,26,18,11,11
245,3.169,FOREST ECOL MANAG,327,5,36,67,71,71,39,18,9,4,1,6
246,3.138,FRONT BEHAV NEUROSCI,327,7,22,39,51,53,63,30,23,16,10,13
247,4.151,FRONT GENET,327,12,30,41,42,58,35,46,27,16,13,7
248,3.961,ENDOCRINOLOGY,326,2,21,41,45,61,80,34,17,17,6,2
249,3.614,MICROB ECOL,324,0,19,48,79,81,39,29,17,8,3,1
250,2.165,HYDROBIOLOGIA,323,2,19,44,63,61,67,38,15,8,3,3
251,3.355,J R SOC INTERFACE,323,3,32,36,56,57,45,42,17,16,8,11
252,2.759,MOL BIOSYST,321,3,24,28,57,55,54,47,24,8,16,5
253,2.234,NEURAL REGEN RES,321,7,31,49,57,67,52,28,16,10,1,3
254,1.833,J THEOR BIOL,318,1,19,30,64,63,46,50,20,15,5,5
255,2.160,J APPL MICROBIOL,315,2,30,50,56,49,64,28,15,10,8,3
256,3.816,MOL MICROBIOL,315,3,16,21,68,54,57,51,17,13,10,5
257,6.530,ANTIOXID REDOX SIGN,314,3,20,52,58,56,58,26,18,9,11,3
258,5.922,BRIT J CANCER,313,3,24,36,53,69,56,34,15,12,5,6
259,7.877,J CONTROL RELEASE,313,5,32,45,41,76,43,32,20,13,4,2
260,3.575,MSPHERE,312,7,14,29,44,77,56,21,36,16,6,6
261,13.660,ADV DRUG DELIVER REV,311,2,15,49,46,71,47,30,22,14,10,5
262,8.537,THERANOSTICS,311,1,32,46,49,59,43,28,23,16,9,5
263,4.271,EXPERT REV VACCINES,310,2,26,53,45,61,46,28,18,15,13,3
264,4.530,FEBS J,310,4,22,43,58,56,46,33,17,15,11,5
265,2.223,PSYCHIAT RES,309,6,40,56,62,50,47,18,20,4,4,2
266,2.451,DEEP-SEA RES PT II,307,0,3,46,58,52,63,47,26,7,3,2
267,4.651,BBA-MOL CELL RES,306,1,29,42,44,55,48,39,18,11,10,9
268,3.487,CELL SIGNAL,305,3,16,34,53,74,56,28,24,7,8,2
269,8.973,AGEING RES REV,304,0,10,49,53,70,39,28,22,15,13,5
270,6.183,EBIOMEDICINE,304,3,20,33,55,63,51,34,18,15,10,2
271,8.097,ACS APPL MATER INTER,303,4,22,47,71,63,50,26,7,5,5,3
272,5.220,CLIN SCI,303,3,27,32,62,53,51,40,11,15,7,2
273,2.906,ICES J MAR SCI,303,4,28,38,67,56,45,26,29,3,4,3
274,3.112,CURR DRUG TARGETS,300,0,6,23,63,79,50,41,13,15,6,4
275,1.806,EXP BRAIN RES,300,3,20,42,52,60,48,35,13,10,7,10
276,4.732,ENVIRON RES,299,8,26,52,64,71,27,26,13,9,3,0
277,6.537,STEM CELL REP,299,0,14,33,55,59,38,40,34,14,7,5
278,5.227,NEUROBIOL DIS,298,3,14,30,54,57,56,38,18,11,13,4
279,4.454,NEUROBIOL AGING,297,1,15,42,44,69,53,34,15,13,8,3
280,3.249,PEST MANAG SCI,297,4,27,52,60,45,53,30,12,10,2,2
281,2.662,J NEUROSCI RES,295,0,7,35,40,79,48,40,17,13,13,3
282,3.298,J IMMUNOL RES,294,10,19,39,51,57,53,27,19,12,6,1
283,11.675,PLOS MED,293,12,38,53,46,55,32,25,16,10,4,2
284,4.467,ATHEROSCLEROSIS,292,1,30,40,60,69,47,23,13,5,2,2
285,2.331,BMC PREGNANCY CHILDB,292,5,35,50,51,76,38,15,13,3,3,3
286,2.999,FEBS LETT,292,2,28,38,42,66,56,28,12,9,8,3
287,4.197,J TRANSL MED,292,2,33,28,55,55,48,35,14,9,10,3
288,3.508,TISSUE ENG,292,5,21,49,59,58,42,26,10,12,7,3
289,2.448,J NEUROL SCI,291,5,28,40,58,57,46,25,8,7,10,7
290,10.198,SEMIN CANCER BIOL,291,0,23,40,41,58,46,40,18,5,7,13
291,2.465,VIROL J,290,4,30,35,55,48,60,27,13,13,2,3
292,4.154,J BIOGEOGR,289,4,8,35,48,63,60,33,18,5,8,7
293,2.772,NEUROCHEM RES,288,0,26,34,45,63,54,31,18,7,7,3
294,1.935,AIDS RES HUM RETROV,287,4,17,49,43,56,47,26,21,11,9,4
295,2.710,AQUACULTURE,287,2,15,43,69,62,52,19,12,3,8,2
296,3.202,INT J INFECT DIS,287,4,30,52,41,48,51,27,11,11,10,2
297,3.188,MOL IMMUNOL,287,6,29,39,50,57,42,28,13,8,13,2
298,7.126,REDOX BIOL,286,0,21,38,51,60,51,29,15,16,3,2
299,7.776,MOL CANCER,284,4,19,40,50,62,39,25,17,11,14,3
300,41.058,SCIENCE,284,9,24,33,42,58,48,29,22,12,4,3
301,,NAT ECOL EVOL,283,5,20,30,53,39,48,31,24,10,13,10
302,3.086,REPRODUCTION,282,2,25,48,51,57,38,26,12,13,10,0
303,5.728,ARCH TOXICOL,281,2,15,33,63,58,47,34,21,4,3,1
304,52.613,CHEM REV,281,3,21,49,53,54,43,29,14,9,3,3
305,2.067,TRIALS,281,8,24,59,55,48,34,22,14,7,6,4
306,5.807,BIORESOURCE TECHNOL,280,8,20,43,71,67,31,22,6,10,2,0
307,2.109,BMC COMPLEM ALTERN M,280,3,27,55,51,53,42,30,11,1,2,5
308,3.930,THEOR APPL GENET,278,2,22,47,56,65,27,32,10,8,6,3
309,4.379,MAR DRUGS,277,3,32,34,46,55,52,27,11,9,5,3
310,3.289,FOOD FUNCT,276,4,23,38,67,59,45,24,7,3,5,1
311,4.894,J MOL BIOL,276,3,17,31,47,52,42,33,25,18,4,4
312,5.587,STEM CELLS,276,1,9,24,36,49,51,40,31,20,13,2
313,53.254,LANCET,275,7,45,52,51,43,38,18,3,13,2,3
314,1.958,BMC VET RES,274,8,25,43,42,64,41,15,17,9,3,7
315,15.239,AM J RESP CRIT CARE,273,3,28,47,67,44,32,30,12,3,6,1
316,3.857,BIOCHEM J,272,3,29,30,37,55,46,34,17,10,8,3
317,5.002,J NEUROTRAUM,272,1,18,38,63,74,39,21,6,9,1,2
318,4.929,STEM CELL TRANSL MED,271,0,7,19,42,47,60,27,26,22,14,7
319,3.118,INT IMMUNOPHARMACOL,270,6,26,39,47,67,44,16,10,6,5,4
320,4.307,ANTIVIR RES,269,3,22,44,45,48,42,33,19,8,3,2
321,3.719,BRAIN IMAGING BEHAV,269,0,1,20,51,67,63,34,13,11,7,2
322,8.655,J AM SOC NEPHROL,268,0,25,57,64,55,29,17,10,5,5,1
323,,EFSA J,266,8,30,44,48,39,31,29,13,12,7,5
324,3.219,J BACTERIOL,266,0,15,34,39,44,52,29,22,15,10,6
325,5.995,LAB CHIP,266,7,32,51,46,53,38,17,8,7,6,1
326,2.434,PLACENTA,266,3,29,34,43,60,42,22,14,7,7,5
327,3.306,PLANT SOIL,266,1,19,44,61,56,52,21,5,4,2,1
328,23.562,BMJ-BRIT MED J,265,14,34,52,49,51,30,14,5,10,5,1
329,3.152,EXP EYE RES,265,0,18,39,49,42,58,35,12,4,6,2
330,6.045,J CEREBR BLOOD F MET,265,1,8,37,58,63,34,34,16,7,4,3
331,2.075,SUSTAINABILITY-BASEL,264,10,43,59,53,43,22,13,10,7,2,2
332,2.532,BIOL J LINN SOC,262,0,20,41,47,39,43,22,23,11,11,5
333,1.714,J ANIM SCI,262,5,17,43,58,53,40,17,13,12,3,1
334,5.789,J CLIN ENDOCR METAB,262,2,25,39,53,47,40,29,15,7,3,2
335,4.880,TRANSL RES,262,0,24,34,46,58,38,24,19,11,5,3
