Citing Journal Data: PLOS ONE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
56,10.790,J EXP MED,1441,5,27,27,30,52,51,66,62,69,71,981
57,5.789,J CLIN ENDOCR METAB,1440,7,67,72,100,101,106,99,80,60,60,688
58,6.854,ONCOGENE,1439,15,78,71,64,77,51,72,95,57,89,770
59,16.834,J AM COLL CARDIOL,1420,9,56,88,128,107,112,106,85,70,87,572
60,8.228,PLANT CELL,1409,3,23,35,68,60,90,81,75,63,85,826
61,6.239,STROKE,1405,6,39,84,69,86,76,93,69,97,71,715
62,2.420,BMC PUBLIC HEALTH,1400,23,121,214,196,213,170,146,115,61,58,83
63,2.997,BIOCHEMISTRY-US,1388,4,28,32,51,43,45,47,73,46,56,963
64,4.256,ANTIMICROB AGENTS CH,1384,19,88,98,121,104,80,89,93,66,62,564
65,7.273,DIABETES,1384,8,43,56,88,95,77,66,62,69,99,721
66,10.101,GENOME RES,1360,4,17,47,68,50,113,93,133,140,98,597
67,20.773,GASTROENTEROLOGY,1356,17,69,80,79,53,106,89,94,71,75,623
68,9.462,GENE DEV,1332,3,26,34,34,49,57,66,53,58,53,899
69,10.199,CLIN CANCER RES,1328,15,73,74,67,95,86,96,91,119,99,513
70,9.251,CURR BIOL,1299,13,69,99,96,94,74,67,89,70,71,557
71,5.413,DEVELOPMENT,1297,9,36,49,72,64,59,60,69,46,46,787
72,15.211,CIRC RES,1286,8,73,86,59,68,65,57,98,54,54,664
73,6.549,AM J CLIN NUTR,1272,8,38,47,68,74,53,85,67,84,73,675
74,13.214,GENOME BIOL,1258,3,53,74,158,109,78,92,164,101,45,381
75,35.724,NAT BIOTECHNOL,1250,13,47,85,92,150,69,165,107,42,94,386
76,5.540,PLOS GENET,1238,12,69,116,158,159,144,161,95,130,72,122
77,4.914,AIDS,1237,19,70,64,131,109,85,66,98,88,78,429
78,7.479,OPHTHALMOLOGY,1184,12,65,70,66,82,83,67,64,55,76,544
79,8.429,KIDNEY INT,1180,12,47,71,56,42,69,74,52,54,46,657
80,5.515,PEDIATRICS,1180,5,36,62,82,66,67,70,79,70,65,578
81,2.999,FEBS LETT,1179,1,15,35,53,57,48,44,61,45,49,771
82,3.256,J APPL PHYSIOL,1173,2,13,34,32,44,42,44,43,54,42,823
83,7.360,INT J CANCER,1166,15,57,112,55,75,98,59,81,49,82,483
84,2.213,BMC BIOINFORMATICS,1158,11,52,51,70,79,83,163,131,135,118,265
85,7.422,EMERG INFECT DIS,1158,21,67,95,101,83,75,94,79,62,88,393
86,4.540,J PHYSIOL-LONDON,1158,6,30,28,36,52,49,50,41,55,34,777
87,5.775,PLANT J,1157,9,21,40,52,41,55,64,81,64,78,652
88,15.938,TRENDS ECOL EVOL,1157,2,22,28,48,46,57,44,63,87,79,681
89,6.158,PLOS PATHOG,1151,19,76,135,123,163,138,127,125,107,50,88
90,2.502,J NEUROPHYSIOL,1147,5,23,53,38,43,54,62,79,38,41,711
91,4.322,AM J EPIDEMIOL,1135,4,20,22,43,56,45,47,50,57,58,733
92,14.248,MOL CELL,1134,15,46,71,65,79,65,64,102,64,53,510
93,19.912,NAT NEUROSCI,1133,9,55,70,81,58,75,75,72,56,42,540
94,19.384,ANN INTERN MED,1127,1,34,89,66,54,47,64,44,101,55,572
95,3.125,BRAIN RES,1119,5,31,40,36,38,49,53,78,57,70,662
96,11.675,PLOS MED,1118,14,76,84,79,116,87,122,96,96,92,256
97,3.857,BIOCHEM J,1092,3,33,29,32,28,42,46,42,48,36,753
98, ,ONCOTARGET,1084,88,487,343,101,27,18,9,11,0,0,0
99,4.291,MED SCI SPORT EXER,1077,4,44,42,38,41,58,89,51,48,57,605
100,5.666,PHILOS T R SOC B,1069,6,49,79,60,51,75,82,108,66,53,440
101,3.816,MOL MICROBIOL,1065,4,19,33,31,30,50,57,45,37,41,718
102,4.661,BIOL CONSERV,1045,14,44,128,61,73,49,70,64,68,43,431
103,3.007,SOC SCI MED,1045,10,38,64,38,50,64,52,62,66,58,543
104,8.655,J AM SOC NEPHROL,1042,13,51,66,62,45,49,47,52,56,40,561
105,5.595,FASEB J,1041,10,39,66,70,65,74,68,76,52,65,456
106,5.354,J EXP BOT,1033,4,70,89,90,63,87,88,62,77,40,363
107,12.423,NAT PROTOC,1024,6,18,51,38,110,98,35,67,211,136,254
108,8.855,AM J HUM GENET,1021,2,36,23,38,69,54,65,37,56,48,593
109,6.754,COCHRANE DB SYST REV,1019,13,79,113,140,128,122,78,65,55,35,191
110,4.401,J CELL SCI,1016,11,30,39,48,69,69,48,50,72,47,533
111,4.069,AM J PATHOL,998,4,23,31,37,50,58,77,69,56,36,557
112, ,J PERS SOC PSYCHOL,996,1,6,14,13,20,25,29,16,30,32,810
113,41.465,NAT REV GENET,992,5,38,45,65,68,107,97,97,106,67,297
114,3.179,J EXP BIOL,989,13,40,50,62,62,48,60,56,50,44,504
115, ,R LANG ENV STAT COMP,985,35,229,223,167,124,45,45,18,12,49,38
116,3.961,ENDOCRINOLOGY,976,6,26,37,43,41,60,43,57,48,63,552
117,3.930,THEOR APPL GENET,968,5,27,40,50,51,59,45,47,45,52,547
118,9.137,ECOL LETT,966,10,22,33,51,82,64,69,83,63,78,411
119,3.127,OECOLOGIA,964,2,29,34,32,38,36,40,35,35,38,645
120,4.902,HUM MOL GENET,962,6,35,71,77,65,83,57,69,53,42,404
121,7.433,NEW PHYTOL,959,11,53,76,73,76,91,55,77,68,54,325
122,3.067,ANIM BEHAV,958,8,23,32,38,36,42,35,39,45,51,609
123,3.495,BIOPHYS J,953,3,21,32,42,36,38,62,50,60,67,542
124,10.848,BRAIN,951,5,28,42,38,60,50,57,40,68,56,507
125,23.425,EUR HEART J,940,9,80,81,104,92,97,73,59,32,37,276
126,19.734,IMMUNITY,937,9,40,68,80,93,64,57,58,61,66,341
127,42.784,NAT REV CANCER,933,5,24,29,51,71,65,69,63,95,65,396
128,4.116,JAIDS-J ACQ IMM DEF,926,12,66,101,96,82,79,64,66,60,34,266
129,41.982,NAT REV IMMUNOL,926,3,26,65,73,80,51,88,84,70,80,306
130,4.277,ANN NY ACAD SCI,924,4,11,19,34,30,36,38,56,57,78,561
131,3.818,EVOLUTION,913,5,18,24,36,39,33,31,28,29,50,620
132,4.398,J NUTR,912,5,27,48,22,42,42,43,46,40,49,548
133,8.997,GLOBAL CHANGE BIOL,906,13,73,77,105,99,79,79,64,41,55,221
134,3.955,PLOS COMPUT BIOL,906,14,51,117,106,127,96,78,70,97,68,82
135,5.922,BRIT J CANCER,905,7,23,52,77,75,66,53,61,57,51,383
136, ,ARTHRITIS RHEUM-US,903,0,1,3,0,48,95,61,64,44,59,528
137,15.040,J HEPATOL,903,28,98,114,80,65,98,68,39,43,38,232
138,12.244,EUR RESPIR J,899,10,47,71,64,64,66,48,47,48,57,377
139,2.564,AM J TROP MED HYG,898,5,36,58,50,59,50,47,57,56,23,457
140,7.469,RADIOLOGY,897,7,50,75,64,63,56,44,46,40,43,409
141,35.612,NAT REV MOL CELL BIO,881,6,18,26,85,50,67,44,72,61,78,374
142,3.382,NEUROSCIENCE,880,7,46,60,47,55,54,55,57,60,43,396
143,7.652,CHEST,877,7,38,29,39,65,56,35,59,31,26,492
144,2.498,GENE,875,8,68,86,73,74,52,17,8,26,16,447
145,6.086,ARTERIOSCL THROM VAS,868,9,23,44,60,44,57,52,31,46,52,450
146,6.537,CANCER-AM CANCER SOC,865,1,21,39,47,32,63,34,45,31,26,526
147,3.412,J AGR FOOD CHEM,855,4,26,65,50,61,49,49,53,53,44,401
148,6.023,DIABETOLOGIA,847,4,44,55,49,35,89,53,47,39,43,389
149,6.630,CRIT CARE MED,845,11,34,62,41,55,61,38,41,53,59,390
150,4.265,AM NAT,842,1,13,25,18,17,26,15,24,29,21,653
151,9.163,PLOS BIOL,842,6,41,44,42,46,45,48,78,49,91,352
152,8.360,INT J EPIDEMIOL,841,7,43,59,61,72,72,58,44,38,33,354
153,17.016,GUT,840,13,69,58,71,47,50,49,35,25,30,393
154,13.258,J ALLERGY CLIN IMMUN,838,9,59,78,80,53,70,55,51,40,41,302
155,21.809,NAT IMMUNOL,836,7,43,52,44,69,42,80,75,63,54,307
156,4.367,PLOS NEGLECT TROP D,830,22,108,139,154,112,99,54,69,45,22,6
157,3.374,VIROLOGY,825,10,20,58,53,48,31,33,36,41,35,460
158, ,METHOD MOL BIOL,823,21,73,58,86,77,102,87,58,65,37,159
159,2.284,PHYS REV E,819,4,26,43,51,39,31,68,39,57,36,425
160,3.262,DEV BIOL,817,7,22,27,32,38,36,34,32,49,48,492
161,4.380,AM J PUBLIC HEALTH,808,2,26,43,58,51,58,37,47,37,31,418
162,2.431,J BIOMECH,803,9,37,47,54,33,45,40,57,43,39,399
163,5.732,AM J OBSTET GYNECOL,791,2,44,54,39,42,35,50,45,38,32,410
164,4.412,MOL PHYLOGENET EVOL,787,15,44,48,44,50,50,39,78,44,60,315
165,4.795,AM J OPHTHALMOL,778,8,38,49,37,48,44,38,26,38,30,422
166,13.250,PSYCHOL BULL,778,2,6,9,32,16,14,20,30,26,20,603
167,25.148,LANCET INFECT DIS,776,15,106,97,85,71,66,58,60,36,27,155
168,32.635,NAT REV NEUROSCI,773,8,13,34,30,68,64,44,50,59,60,343
169,5.217,J ANTIMICROB CHEMOTH,765,14,68,64,75,71,68,60,55,34,47,209
170,5.890,CONSERV BIOL,763,5,8,40,38,26,35,30,29,33,34,485
171,6.653,ENVIRON SCI TECHNOL,760,8,46,75,95,68,69,55,42,37,54,211
172,6.823,HYPERTENSION,758,7,33,43,44,44,34,45,51,47,42,368
173,2.159,NEUROSCI LETT,753,7,35,39,29,33,52,37,49,38,43,391
174,4.602,NEPHROL DIAL TRANSPL,730,12,41,47,53,43,72,71,49,40,43,259
175,2.845,MALARIA J,728,15,70,120,96,81,55,73,69,35,52,62
176, ,ARCH INTERN MED,727,0,0,0,0,0,38,32,46,66,53,492
177,12.350,ANN RHEUM DIS,724,15,38,62,66,64,35,70,69,38,25,242
178,2.583,BIOMED RES INT,722,20,89,240,246,117,3,2,3,1,1,0
179,2.514,J GEN VIROL,722,4,27,34,32,26,26,43,34,33,48,415
180,3.300,WORLD J GASTROENTERO,718,7,63,82,161,56,51,39,37,40,34,148
181,6.308,CEREB CORTEX,714,11,29,58,42,35,51,40,39,67,27,315
182,1.806,EXP BRAIN RES,710,6,16,19,27,45,32,29,41,39,39,417
183,4.245,J CLIN EPIDEMIOL,706,3,23,25,34,34,20,67,22,24,49,405
184,2.215,MAR BIOL,705,8,20,33,34,30,22,29,28,25,24,452
185,3.569,AM J PHYSIOL-HEART C,703,0,19,31,28,31,42,46,43,35,63,365
186,2.620,BMC INFECT DIS,702,13,69,110,133,97,66,58,51,38,15,52
187,3.687,INT J MOL SCI,702,22,167,132,113,136,65,30,18,13,3,3
188,3.512,MOL BIOL CELL,698,1,27,34,39,34,26,39,33,35,53,377
189,19.064,NAT CELL BIOL,696,5,15,34,38,48,40,58,42,42,60,314
190,2.275,ANAL BIOCHEM,694,3,9,12,9,14,15,16,26,17,17,556
191,10.250,ANN NEUROL,683,6,23,28,33,37,50,66,41,31,33,335
192,11.984,BIOL PSYCHIAT,680,13,24,47,40,31,26,40,56,39,40,324
193,4.609,J NEUROCHEM,678,4,23,19,20,23,31,26,49,44,41,398
194,2.792,SPINE,673,0,23,14,19,31,31,32,25,30,25,443
195,3.677,FRONT PLANT SCI,672,43,229,169,116,74,29,10,0,0,0,2
196,4.019,FRONT MICROBIOL,668,35,196,190,99,48,46,46,6,0,0,2
197,31.851,NAT REV MICROBIOL,668,8,22,26,49,59,62,65,75,48,58,196
198, ,PSYCHOL SCI,668,1,18,29,45,51,30,50,47,48,43,306
199,6.020,FREE RADICAL BIO MED,666,8,30,61,41,62,51,47,37,32,47,250
200,7.059,MOL ECOL RESOUR,661,6,52,95,88,58,50,64,112,73,60,3
201,11.238,JNCI-J NATL CANCER I,658,2,23,24,37,41,32,31,30,39,30,369
202,5.742,J APPL ECOL,657,9,42,44,49,29,46,52,31,53,47,255
203,3.709,OIKOS,655,2,18,26,27,24,21,30,23,33,24,427
204,14.357,J AM CHEM SOC,654,3,24,21,34,38,46,36,42,36,26,348
205,4.082,MAGN RESON MED,648,11,32,34,34,24,36,31,31,31,34,350
206,2.889,NEUROPSYCHOLOGIA,648,3,21,34,42,29,30,48,54,30,42,315
207,6.361,B WORLD HEALTH ORGAN,645,2,22,25,38,27,36,33,39,33,43,347
208,8.523,SYST BIOL,644,2,23,14,28,24,100,17,69,26,44,297
209,15.557,TRENDS COGN SCI,639,4,11,27,32,41,42,32,30,32,30,358
210,4.467,ATHEROSCLEROSIS,638,9,39,70,50,56,52,35,40,43,36,208
211,7.543,AM J KIDNEY DIS,631,3,28,50,41,27,36,26,28,43,31,318
212,4.154,J BIOGEOGR,626,9,30,33,44,48,42,35,30,44,21,290
213,4.393,ECOL APPL,625,4,30,27,30,23,36,53,46,52,33,291
214,24.014,PHYSIOL REV,625,6,15,17,30,32,29,34,34,29,32,367
215,2.525,VET MICROBIOL,624,10,19,36,59,51,62,45,64,38,41,199
216,6.448,J INVEST DERMATOL,623,5,36,31,47,49,31,38,40,42,33,271
217,8.636,CLIN CHEM,622,6,10,43,14,34,26,23,40,70,30,326
218,3.169,FOREST ECOL MANAG,621,5,41,33,50,47,44,35,48,37,36,245
219,1.605,J ACOUST SOC AM,621,5,14,20,17,25,22,33,24,21,20,420
220,5.159,INT J OBESITY,620,4,23,39,41,50,34,28,37,15,63,286
221,4.926,SOIL BIOL BIOCHEM,619,3,20,42,49,44,28,42,42,35,36,278
222,1.866,MICROBIOL-SGM,614,2,5,11,30,24,22,41,40,40,38,361
223,3.998,METHODS,612,1,15,28,23,21,12,6,28,10,8,460
224,2.413,BMJ OPEN,609,15,143,153,113,110,55,18,0,0,0,2
225,6.042,ANAL CHEM,604,10,25,41,40,42,41,43,35,29,31,267
226,6.314,J BONE MINER RES,599,4,20,31,42,48,45,50,55,14,20,270
227,2.749,J DAIRY SCI,598,6,49,32,40,32,57,32,32,44,22,252
228,5.559,PAIN,598,2,20,18,26,42,28,36,39,30,43,314
229,3.400,J COMP NEUROL,595,3,8,17,18,9,14,14,26,16,20,450
230,10.231,AM J GASTROENTEROL,593,3,18,30,31,40,45,32,43,43,30,278
231,4.155,J AM GERIATR SOC,593,3,18,22,27,26,37,29,23,35,27,346
232,3.595,LIMNOL OCEANOGR,593,1,16,17,13,19,14,18,28,23,26,418
233,4.459,J ANIM ECOL,592,6,21,24,29,31,18,31,32,30,37,333
234,1.932,STAT MED,592,2,14,10,23,22,14,28,14,16,43,406
235,6.721,CELL MOL LIFE SCI,588,11,35,43,48,41,28,52,46,53,41,190
236,3.173,BEHAV BRAIN RES,586,9,35,45,25,40,36,51,36,36,23,250
237,2.832,EUR J NEUROSCI,583,2,15,21,25,24,27,28,33,34,41,333
238,3.184,BIOL REPROD,582,5,22,28,36,37,39,34,20,30,18,313
239,3.543,PLANT MOL BIOL,581,0,14,15,18,22,32,34,22,44,30,350
240,8.440,ENVIRON HEALTH PERSP,580,2,19,28,49,26,32,40,41,25,29,289
241,6.290,CARDIOVASC RES,579,6,23,22,38,25,46,39,35,49,35,261
242,8.806,BIOMATERIALS,578,6,32,33,42,54,55,62,50,45,24,175
243,3.171,AM J CARDIOL,573,5,24,47,31,26,33,22,33,32,32,288
244,10.160,ANNU REV ECOL EVOL S,572,0,1,9,3,12,13,15,11,49,24,435
245,3.340,APPL MICROBIOL BIOT,572,7,57,53,66,62,39,40,31,21,16,180
246,2.273,GAIT POSTURE,572,8,38,43,43,40,46,35,41,35,38,205
247,4.974,ENVIRON MICROBIOL,568,9,46,46,48,40,36,49,55,51,39,149
248,20.565,CELL METAB,566,8,38,57,58,75,65,55,30,44,48,88
249,4.248,EUR J IMMUNOL,566,2,20,43,32,26,27,32,33,29,18,304
250,13.396,AM J PSYCHIAT,563,1,7,13,18,29,23,24,23,16,18,391
251,2.392,INT J TUBERC LUNG D,562,12,34,52,40,58,33,44,44,31,20,194
252,4.505,J LIPID RES,562,5,11,26,33,47,37,21,47,46,33,256
253,22.844,CANCER CELL,561,2,28,38,62,38,59,51,43,27,29,184
254,2.710,AQUACULTURE,558,12,30,28,28,21,40,28,25,27,28,291
255,6.810,BRIT J PHARMACOL,557,7,19,43,46,26,45,37,38,44,26,226
256,8.839,PHYS REV LETT,557,2,3,13,27,29,32,22,18,29,33,349
257,6.425,CRIT CARE,556,3,54,49,51,81,49,56,49,27,23,114
258,5.381,J UROLOGY,556,3,23,29,17,41,26,26,32,35,26,298
259,20.642,CLIN MICROBIOL REV,555,6,15,29,18,37,33,37,37,35,26,282
260,9.520,ISME J,554,10,50,64,63,62,122,59,39,41,25,19
261,3.786,J AFFECT DISORDERS,554,6,47,62,52,66,54,43,30,30,25,139
262,13.333,NAT STRUCT MOL BIOL,553,3,20,22,23,51,21,35,35,63,20,260
263,4.982,OBSTET GYNECOL,553,1,22,40,30,35,30,27,42,33,26,267
264, ,FRONT PSYCHOL,552,19,75,122,121,87,60,52,14,0,0,2
265,8.037,NEUROSCI BIOBEHAV R,551,12,34,46,54,30,39,28,37,26,32,213
266,5.394,CLIN MICROBIOL INFEC,548,5,41,48,85,53,81,51,39,29,23,93
267,7.144,J NEUROL NEUROSUR PS,546,2,21,21,22,34,27,15,25,18,38,323
268,4.610,SCI TOTAL ENVIRON,546,25,67,61,61,30,37,30,35,22,33,145
269,1.833,J THEOR BIOL,544,8,24,24,34,19,27,28,30,19,34,297
270,27.144,LANCET NEUROL,540,4,26,52,50,48,52,37,56,62,45,108
271,4.946,FOOD CHEM,536,14,56,70,49,38,46,36,32,43,31,121
272,9.616,DEV CELL,533,3,13,32,34,29,21,41,47,51,50,212
273,3.384,BRIT J OPHTHALMOL,531,8,22,31,34,28,21,23,30,22,28,284
274,4.927,HUM BRAIN MAPP,530,7,28,35,75,42,32,30,16,49,28,188
275,3.657,BRIT J NUTR,529,2,18,43,48,49,48,33,45,37,28,178
276,4.034,INT J CARDIOL,528,20,86,76,68,108,20,29,26,16,11,68
277,1.714,J ANIM SCI,525,2,19,24,32,44,35,31,26,29,14,269
278,1.990,J EXP MAR BIOL ECOL,524,5,14,16,24,19,21,32,25,27,33,308
279,3.061,J ARCHAEOL SCI,523,1,19,31,46,48,31,27,36,31,34,219
280,3.950,J PROTEOME RES,523,13,45,39,63,52,51,60,43,50,49,58
281,4.224,J LEUKOCYTE BIOL,522,3,23,22,20,34,30,32,31,25,30,272
282,3.027,BMC EVOL BIOL,521,10,12,42,36,48,42,54,60,39,41,137
283,2.517,PHYSIOL BEHAV,520,5,19,30,30,19,38,21,17,33,15,293
284,4.018,AM J PHYSIOL-ENDOC M,517,7,16,20,27,25,32,35,36,37,46,236
285,3.288,BMC CANCER,516,6,55,64,105,44,57,36,53,30,24,42
286,4.455,BONE,515,8,16,40,35,46,32,37,39,26,28,208
287,6.491,CANCER LETT,512,9,34,75,45,67,40,18,20,37,34,133
288,9.655,THORAX,509,8,20,23,28,37,25,32,44,24,23,245
289, ,ARCH OPHTHALMOL-CHIC,506,0,0,0,0,0,25,18,15,21,15,412
290,3.306,PLANT SOIL,506,0,11,23,26,31,29,26,40,20,21,279
291,4.803,FERTIL STERIL,505,6,31,39,41,52,26,49,40,28,33,160
292,3.614,CLIN NEUROPHYSIOL,504,2,21,30,29,25,32,19,28,37,25,256
293,2.055,J WILDLIFE MANAGE,502,5,15,18,12,17,21,16,46,23,30,299
294,3.309,EXP CELL RES,500,4,17,23,30,25,26,24,26,28,18,279
295,2.894,J R STAT SOC B,499,0,0,1,3,2,3,25,6,12,5,442
296,244.585,CA-CANCER J CLIN,498,36,105,100,45,33,53,60,15,12,5,34
297,2.216,POULTRY SCI,498,3,23,27,16,24,29,23,26,41,27,259
298,2.541,TROP MED INT HEALTH,498,4,31,32,63,46,31,38,39,35,36,143
299,7.191,EUR J CANCER,495,2,36,43,31,42,38,23,20,51,16,193
300, ,ARCH GEN PSYCHIAT,493,0,0,0,0,0,21,30,34,26,15,367
301,12.149,TRENDS PLANT SCI,492,4,18,21,34,23,41,29,41,20,32,229
302,3.082,AM J PHYSIOL-REG I,491,4,10,24,16,21,23,26,21,33,39,274
303,2.473,BEHAV ECOL SOCIOBIOL,491,3,24,16,22,26,17,40,19,20,15,289
304,1.635,CROP SCI,491,4,14,19,22,13,21,20,26,27,21,304
305,13.930,ANN ONCOL,490,2,25,58,52,65,63,29,49,22,12,113
306,12.888,MMWR-MORBID MORTAL W,488,8,61,72,40,41,41,32,29,12,13,139
307,2.274,PROTEINS,485,3,16,12,28,15,19,17,29,34,32,280
308,3.040,EUR J PHARMACOL,484,8,29,39,36,30,18,28,22,14,34,226
309,3.706,J PHARMACOL EXP THER,484,4,11,11,15,20,20,18,12,24,30,319
310,2.507,ECOL MODEL,483,1,25,21,27,22,24,34,20,25,23,261
311,1.984,METHOD ENZYMOL,483,1,5,9,18,15,9,25,13,13,18,357
312,8.324,MOVEMENT DISORD,482,5,27,38,42,28,41,34,39,23,45,160
313,36.421,LANCET ONCOL,481,5,33,56,63,32,50,35,53,50,26,78
314,1.524,BIOMETRICS,480,1,0,4,2,5,3,6,3,6,7,443
315,2.401,EUR J APPL PHYSIOL,479,7,21,14,18,28,43,33,33,18,12,252
316,2.165,HYDROBIOLOGIA,478,12,15,29,19,21,28,21,23,27,33,250
317,22.737,J STAT SOFTW,477,0,17,112,24,8,23,67,78,12,56,80
318,3.930,BMC PLANT BIOL,474,7,47,70,80,36,50,40,45,23,34,42
319,2.069,VISION RES,473,0,8,8,10,18,14,33,14,21,18,329
320,2.788,AM J BOT,472,1,9,18,25,16,37,24,26,20,15,281
321,4.520,ECOGRAPHY,472,14,27,23,32,73,25,31,31,37,30,149
322,6.253,J MED CHEM,469,9,40,29,35,43,41,18,22,17,30,185
323,5.587,STEM CELLS,469,6,16,36,44,30,37,27,32,64,35,142
324,6.523,ANESTHESIOLOGY,468,0,8,35,21,24,22,26,23,27,30,252
325,4.235,BIOCHEM PHARMACOL,467,4,14,15,29,35,25,40,21,23,26,235
326,3.249,PLANTA,467,3,12,22,23,20,22,27,32,26,28,252
327,4.990,HUM REPROD,465,2,24,33,31,34,41,34,22,22,27,195
328,3.667,J PEDIATR-US,465,4,18,25,39,40,14,35,19,26,13,232
329,3.973,J EPIDEMIOL COMMUN H,464,3,26,26,22,11,39,24,19,24,21,249
330,5.475,PSYCHOL MED,464,5,24,52,40,34,28,23,29,23,16,190
331,2.829,BMC MICROBIOL,463,7,39,33,41,42,52,40,59,58,34,58
332,4.530,FEBS J,463,5,22,37,44,58,24,45,36,53,37,102
333,4.127,AM J PREV MED,460,6,24,36,40,33,48,60,29,29,26,129
334,3.646,ANN BOT-LONDON,459,8,12,23,34,32,23,22,25,46,13,221
335, ,AIDS BEHAV,458,28,48,54,66,64,43,31,34,27,22,41
