Citing Journal Data: IEEE T BIO-MED ENG,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
82, ,I S BIOMED IMAGING,24,0,2,5,2,2,0,1,8,0,2,2
83,3.936,IEEE-ASME T MECH,24,0,4,2,4,2,3,2,1,3,0,3
84,8.806,BIOMATERIALS,23,0,1,0,5,5,3,2,2,0,0,5
85,3.482,BIOMED OPT EXPRESS,23,0,1,4,3,4,5,5,1,0,0,0
86,26.919,NAT METHODS,23,0,0,3,2,2,3,4,2,6,0,1
87,2.273,GAIT POSTURE,22,0,1,4,3,0,3,0,2,1,2,6
88,5.995,LAB CHIP,22,0,0,3,1,2,2,4,3,1,1,5
89,3.031,NMR BIOMED,22,6,2,0,1,2,3,3,0,0,0,5
90,3.117,SURG ENDOSC,22,0,1,1,3,2,0,1,2,3,2,7
91,6.523,ANESTHESIOLOGY,21,0,0,0,2,2,2,0,2,0,4,9
92,2.435,COMPUT MED IMAG GRAP,21,0,1,3,1,3,0,2,2,2,2,5
93, ,INT C ACOUST SPEE,21,0,4,2,0,5,0,0,2,1,1,6
94,2.586,J MAGN RESON,21,0,2,1,2,0,1,0,1,1,0,13
95,14.319,NEURON,21,0,0,2,1,1,0,1,3,3,1,9
96,6.042,ANAL CHEM,20,0,0,0,2,1,1,1,3,0,0,12
97,23.425,EUR HEART J,20,0,0,2,2,0,1,1,1,0,0,13
98,1.916,J BIOMECH ENG-T ASME,20,0,0,1,0,1,1,0,0,1,5,11
99,2.873,J CARDIOVASC ELECTR,20,0,1,0,3,0,1,0,1,1,2,11
100,47.661,JAMA-J AM MED ASSOC,20,0,1,3,4,3,0,1,0,2,0,6
101,19.912,NAT NEUROSCI,20,0,1,0,3,0,3,3,0,2,1,7
102,3.118,PSYCHOPHYSIOLOGY,20,0,0,0,0,0,3,3,3,0,1,10
103,4.122,SCI REP-UK,20,0,5,9,3,3,0,0,0,0,0,0
104,1.440,BIOL CYBERN,19,0,0,0,0,0,0,1,1,1,0,16
105,3.495,BIOPHYS J,19,0,1,0,1,1,1,2,2,0,1,10
106,1.806,EXP BRAIN RES,19,0,0,0,0,0,1,0,2,0,0,16
107,20.773,GASTROENTEROLOGY,19,0,1,3,0,0,3,2,0,1,2,7
108,2.824,HEARING RES,19,0,0,4,0,0,0,0,0,1,1,13
109, ,IEEE INT C INT ROBOT,19,0,0,2,3,4,5,3,2,0,0,0
110, ,J DIABETES SCI TECHN,19,0,0,1,5,0,1,0,4,6,1,1
111,2.213,BMC BIOINFORMATICS,18,0,0,0,3,3,1,2,3,4,1,1
112,6.630,CRIT CARE MED,18,0,0,1,1,2,0,1,2,2,1,8
113,4.743,HEART RHYTHM,18,0,2,3,0,1,1,2,2,1,0,6
114,4.130,IEEE T ANTENN PROPAG,18,0,0,3,3,0,2,1,3,1,0,5
115,2.794,IEEE T INSTRUM MEAS,18,0,0,1,2,2,3,2,2,0,2,4
116,1.421,J ELECTROCARDIOL,18,0,1,3,2,0,1,1,0,0,0,10
117,7.144,J NEUROL NEUROSUR PS,18,0,0,0,0,1,0,0,2,0,5,10
118,2.894,J R STAT SOC B,18,0,0,0,0,1,0,0,0,0,0,17
119,2.564,MAGN RESON IMAGING,18,0,1,2,1,1,1,1,1,0,0,10
120, ,AM J PHYSIOL,17,0,0,0,0,0,0,0,0,0,0,17
121,6.499,BRIT J ANAESTH,17,1,0,1,0,2,2,0,1,0,2,8
122,3.768,EXPERT SYST APPL,17,0,0,2,3,2,4,1,2,2,0,1
123,3.448,IEEE ANTENN WIREL PR,17,0,2,2,3,3,5,0,1,1,0,0
124, ,IEEE T ACOUST SPEECH,17,0,0,0,0,0,0,0,0,0,0,17
125,27.144,LANCET NEUROL,17,0,0,0,0,5,0,2,2,3,2,3
126,8.839,PHYS REV LETT,17,0,0,0,1,0,1,1,0,1,0,13
127,3.463,ANESTH ANALG,16,0,2,0,0,4,1,0,0,0,1,8
128,5.067,EPILEPSIA,16,0,2,1,1,0,2,2,2,0,1,5
129,2.187,IEEE T INFORM THEORY,16,0,0,0,1,0,2,0,2,0,0,11
130,3.293,AM J PHYSIOL-GASTR L,15,0,0,0,2,0,0,0,4,3,1,5
131,4.728,CIRC-ARRHYTHMIA ELEC,15,0,1,2,3,1,1,2,5,0,0,0
132,3.589,OPT LETT,15,0,0,0,3,0,2,4,3,0,0,3
133,3.470,SIGNAL PROCESS,15,0,0,1,1,1,0,1,2,1,1,7
134,3.653,AM J NEURORADIOL,14,0,6,1,1,1,0,3,0,0,0,2
135,3.082,AM J PHYSIOL-REG I,14,0,1,0,0,1,0,1,0,1,0,10
136,8.788,ANNU REV BIOMED ENG,14,0,0,0,1,0,0,2,3,1,0,7
137,15.211,CIRC RES,14,0,0,0,0,2,0,0,0,0,0,12
138,3.120,EAR HEARING,14,0,0,1,0,0,2,4,0,0,1,6
139,2.401,EUR J APPL PHYSIOL,14,0,0,0,0,0,4,2,1,0,0,7
140, ,IEEE T AUDIO SPEECH,14,0,0,0,0,2,2,3,2,1,2,2
141,1.472,INT J MED ROBOT COMP,14,1,3,0,1,1,2,1,0,1,2,2
142,5.554,INT J RADIAT ONCOL,14,0,0,0,0,0,1,0,1,0,1,11
143,3.388,INVEST OPHTH VIS SCI,14,0,0,0,3,1,2,1,1,0,1,5
144,2.297,J AM STAT ASSOC,14,0,0,0,0,0,0,0,1,0,0,13
145,35.724,NAT BIOTECHNOL,14,0,1,2,0,0,2,2,2,0,0,5
146,1.651,NEURAL COMPUT,14,0,0,1,0,1,0,1,0,1,0,10
147,4.454,NEUROBIOL AGING,14,0,0,2,0,1,2,2,1,1,0,5
148,8.055,NEUROLOGY,14,0,0,0,0,0,0,0,1,1,2,10
149,2.311,SENSOR ACTUAT A-PHYS,14,0,0,1,0,0,2,1,0,3,0,7
150,2.300,ULTRASONIC IMAGING,14,0,1,1,0,0,0,0,2,0,0,10
151,2.522,ANN STAT,13,0,0,0,1,0,0,0,0,0,0,12
152,3.125,BRAIN RES,13,0,0,0,1,0,1,0,1,0,0,10
153,31.398,CELL,13,0,0,0,2,0,1,4,1,0,2,3
154,7.652,CHEST,13,0,0,1,0,1,0,0,0,0,2,9
155,2.305,ENTROPY-SWITZ,13,1,0,5,4,1,2,0,0,0,0,0
156,12.244,EUR RESPIR J,13,0,2,1,0,1,0,0,0,1,1,7
157,4.483,EXP NEUROL,13,0,0,0,0,0,1,0,2,2,0,8
158,2.813,IEEE SIGNAL PROC LET,13,0,2,3,1,1,0,0,0,1,0,5
159,1.467,IEEE T MAGN,13,0,0,2,1,2,0,0,1,2,1,4
160,5.381,J UROLOGY,13,0,0,1,0,1,6,2,0,0,0,3
161,4.291,MED SCI SPORT EXER,13,0,0,0,1,1,2,2,0,1,0,6
162,2.496,MUSCLE NERVE,13,0,0,0,1,1,1,0,2,1,1,6
163,32.635,NAT REV NEUROSCI,13,0,0,0,0,0,1,2,0,2,0,8
164,2.159,NEUROSCI LETT,13,0,0,1,0,1,0,1,1,2,1,6
165,1.954,PATTERN RECOGN LETT,13,0,0,0,1,0,1,0,3,0,1,7
166,5.135,SLEEP,13,0,0,1,0,2,0,0,1,0,0,9
167,6.239,STROKE,13,0,0,0,1,0,0,2,1,0,2,7
168,2.110,ACAD RADIOL,12,0,0,1,0,0,1,0,0,1,3,6
169,15.239,AM J RESP CRIT CARE,12,0,0,0,1,0,0,0,0,0,0,11
170,3.125,AM J ROENTGENOL,12,0,0,0,1,0,1,1,0,0,2,7
171,15.132,BLOOD,12,0,0,0,0,0,1,1,1,3,2,4
172,2.703,BRAIN TOPOGR,12,0,1,1,1,1,0,0,2,0,0,6
173,1.974,COMPUT METHOD BIOMEC,12,0,3,1,1,0,2,0,0,1,0,4
174, ,CRIT REV BIOMED ENG,12,0,0,0,0,1,0,0,3,0,0,8
175, ,IEEE T SYST MAN CYB,12,0,0,0,0,0,0,0,0,0,0,12
176,4.047,INT J ROBOT RES,12,0,0,1,1,0,1,2,3,1,0,3
177,1.568,J ELECTROMYOGR KINES,12,0,0,0,0,1,0,0,0,0,0,11
178,12.353,NAT COMMUN,12,0,1,2,2,3,1,2,1,0,0,0
179,32.621,NAT MED,12,0,0,1,0,2,0,1,0,2,1,5
180,1.441,PACE,12,0,1,0,0,0,0,0,1,0,0,10
181,3.955,PLOS COMPUT BIOL,12,0,3,1,3,2,1,1,0,0,0,1
182,2.361,SIAM J IMAGING SCI,12,0,1,0,2,0,0,0,3,5,1,0
183,1.936,SPINAL CORD,12,0,0,1,1,1,0,2,0,2,1,4
184,3.508,TISSUE ENG,12,0,0,1,1,0,1,0,4,2,1,2
185,13.660,ADV DRUG DELIVER REV,11,0,1,1,0,1,1,0,1,0,2,4
186,3.171,AM J CARDIOL,11,0,0,1,0,1,1,0,0,0,1,7
187,10.250,ANN NEUROL,11,0,0,0,0,3,1,1,2,1,0,3
188,3.077,ARCH PHYS MED REHAB,11,0,0,0,0,0,0,0,0,0,1,10
189,1.088,BIOMED ENG-BIOMED TE,11,0,0,1,0,0,3,2,0,0,1,4
190,6.308,CEREB CORTEX,11,0,0,3,1,1,3,0,0,0,2,1
191,1.545,COMPUT MATH METHOD M,11,0,0,1,1,3,4,1,0,0,0,1
192,2.819,DIGEST DIS SCI,11,0,0,0,0,0,0,0,0,0,0,11
193,1.232,ELECTRON LETT,11,0,0,0,1,2,1,2,0,0,0,5
194,4.027,EUR RADIOL,11,0,1,1,0,1,2,1,1,1,1,2
195,3.877,FRONT NEUROSCI-SWITZ,11,0,2,2,2,1,1,0,3,0,0,0
196, ,I IEEE EMBS C NEUR E,11,0,0,3,0,6,0,0,0,0,0,2
197,7.451,IEEE SIGNAL PROC MAG,11,0,0,2,2,0,1,0,1,0,3,2
198, ,IEEE T REHABIL ENG,11,0,0,0,0,0,0,0,0,0,0,11
199,1.946,INVERSE PROBL,11,0,0,1,0,0,1,1,0,1,0,7
200,1.685,MEAS SCI TECHNOL,11,0,0,0,0,1,0,2,0,2,0,6
201,3.241,NEUROCOMPUTING,11,0,1,1,2,1,1,2,0,0,0,3
202,2.377,ULTRASONICS,11,0,0,0,1,1,0,0,2,0,0,7
203,1.484,B MATH BIOL,10,0,0,0,0,1,0,0,1,0,0,8
204,22.844,CANCER CELL,10,0,0,0,0,0,0,0,3,2,0,5
205,2.391,COMPUT VIS IMAGE UND,10,0,0,0,1,3,0,0,2,1,1,2
206,2.921,DIABETES TECHNOL THE,10,0,0,2,2,1,0,0,0,1,2,2
207,2.241,DIGIT SIGNAL PROCESS,10,0,1,0,0,0,1,0,0,0,1,7
208,17.581,EUR UROL,10,0,1,0,1,1,0,2,0,1,1,3
209,7.982,IEEE T NEUR NET LEAR,10,0,0,0,0,0,0,1,0,0,0,9
210,15.008,INTENS CARE MED,10,0,0,0,1,0,2,2,0,1,1,3
211,2.176,J APPL PHYS,10,0,0,1,1,0,2,1,1,0,1,3
212,2.098,J MED SYST,10,0,2,0,3,1,0,1,2,0,1,0
213,3.294,J VASC SURG,10,0,0,1,0,0,0,0,0,0,0,9
214,1.792,RESP PHYSIOL NEUROBI,10,0,0,0,0,4,2,1,1,0,0,2
215,19.384,ANN INTERN MED,9,0,0,0,0,0,2,1,0,0,0,6
216,1.791,APPL OPTICS,9,0,0,0,0,0,0,0,2,1,1,5
217,2.583,BIOMED RES INT,9,0,0,1,8,0,0,0,0,0,0,0
218,6.120,BRAIN STIMUL,9,0,1,1,0,2,1,1,1,1,1,0
219,6.290,CARDIOVASC RES,9,0,0,0,0,1,0,0,1,1,0,6
220,10.199,CLIN CANCER RES,9,0,0,1,1,0,0,1,1,0,0,5
221,3.132,DIABETIC MED,9,0,0,0,0,0,0,1,1,0,0,7
222,2.600,EPILEPSY BEHAV,9,0,0,2,0,0,2,2,0,0,1,2
223,3.877,EUR J VASC ENDOVASC,9,0,0,2,2,0,1,2,2,0,0,0
224,2.871,FRONT HUM NEUROSCI,9,0,1,2,2,4,0,0,0,0,0,0
225,5.007,IEEE T AUTOMAT CONTR,9,0,0,1,0,1,0,0,0,0,0,7
226,2.450,J CLIN MONIT COMPUT,9,0,0,2,0,0,2,0,0,0,0,5
227,3.239,J MECH BEHAV BIOMED,9,0,2,2,1,1,2,1,0,0,0,0
228, ,J MED ENG TECHNOL,9,0,0,2,0,0,2,0,0,0,2,3
229,1.779,J ORAL MAXIL SURG,9,0,0,3,0,1,1,1,1,2,0,0
230,41.465,NAT REV GENET,9,0,0,0,0,0,2,4,1,0,0,2
231, ,P ADV NEUR INF PROC,9,0,0,1,3,0,2,0,0,0,1,2
232, ,P SOC PHOTO-OPT INS,9,0,0,0,0,0,0,0,0,0,0,9
233,2.748,PHILOS T R SOC A,9,0,2,0,0,0,0,1,0,5,0,1
234,9.163,PLOS BIOL,9,0,0,1,0,0,2,1,0,2,0,3
235,3.427,PROG BIOPHYS MOL BIO,9,0,0,0,2,0,1,4,0,0,0,2
236,1.489,SKIN RES TECHNOL,9,0,0,0,0,2,1,0,0,0,1,5
237,1.651,TECHNOL CANCER RES T,9,0,0,1,0,1,1,1,1,0,0,4
238,2.270,ACTA ANAESTH SCAND,8,0,1,0,1,1,1,0,0,0,1,3
239,4.171,AM HEART J,8,0,0,0,0,0,0,0,0,1,0,7
240,3.164,AM J PHYSIOL-RENAL,8,0,0,1,0,0,0,1,0,2,0,4
241, ,ARCH GEN PSYCHIAT,8,0,0,0,0,0,0,1,1,0,0,6
242,6.086,ARTERIOSCL THROM VAS,8,0,0,0,0,0,0,1,3,0,0,4
243,2.879,ARTIF INTELL MED,8,0,0,1,1,2,1,1,0,0,1,1
244,2.891,BIOL PSYCHOL,8,0,1,1,0,0,1,0,0,0,0,5
245,8.173,BIOSENS BIOELECTRON,8,0,0,0,1,0,1,0,2,2,0,2
246,4.688,BJU INT,8,0,1,0,2,2,1,0,0,0,0,2
247,3.384,BRIT J OPHTHALMOL,8,0,0,0,1,0,0,0,0,0,1,6
248,6.425,CRIT CARE,8,0,1,1,1,0,2,1,0,0,0,2
249, ,ELEMENTS STAT LEARNI,8,0,0,0,0,0,0,0,0,6,0,2
250,1.639,EURASIP J ADV SIG PR,8,0,0,0,0,0,0,0,2,3,1,2
251,4.075,IEEE J SOLID-ST CIRC,8,0,0,1,0,0,1,1,0,0,0,5
252, ,IEEE REV BIOMED ENG,8,0,0,1,1,2,0,0,2,1,1,0
253,2.775,IEEE T KNOWL DATA EN,8,0,0,0,1,1,1,0,0,2,1,2
254,2.882,J BIOMED INFORM,8,0,0,2,1,1,1,0,0,2,1,0
255,26.360,J CLIN ONCOL,8,0,0,0,0,1,1,0,0,0,2,4
256,11.561,NUCLEIC ACIDS RES,8,0,0,0,0,1,3,2,0,1,1,0
257,5.515,PEDIATRICS,8,0,0,1,0,0,0,0,0,0,0,7
258,2.587,PHYS THER,8,0,0,0,0,0,1,0,0,0,1,6
259,16.710,SCI TRANSL MED,8,0,1,1,2,1,0,2,1,0,0,0
260, ,ULTRASON,8,0,0,0,0,0,0,0,0,0,2,6
261,6.383,ACTA BIOMATER,7,0,0,2,1,1,0,0,2,0,0,1
262, ,ADV NEURAL INFORM PR,7,0,0,0,1,0,1,0,1,0,0,4
263,1.842,AM J ORTHOD DENTOFAC,7,0,0,0,1,0,0,1,1,0,1,3
264,3.780,ANN THORAC SURG,7,0,0,0,0,0,1,1,0,0,0,5
265,2.605,AUTON NEUROSCI-BASIC,7,0,0,0,0,5,0,0,1,0,0,1
266,23.562,BMJ-BRIT MED J,7,0,0,0,0,0,2,0,0,0,0,5
267, ,BRAIN RES REV,7,0,0,0,0,0,0,0,0,0,0,7
268,6.537,CANCER-AM CANCER SOC,7,0,0,0,0,0,0,0,0,0,0,7
269,1.200,COMPUT AIDED SURG,7,0,0,0,0,0,0,0,0,0,1,6
270,6.023,DIABETOLOGIA,7,0,0,0,0,1,1,0,0,0,0,5
271,2.832,EUR J NEUROSCI,7,0,0,0,0,0,0,0,0,1,0,6
272,5.231,EUROPACE,7,0,2,0,1,0,0,1,0,0,1,2
273,2.732,EXP PHYSIOL,7,0,0,0,0,0,0,2,0,0,0,5
274,13.214,GENOME BIOL,7,0,0,1,1,1,0,3,0,0,1,0
275, ,IEEE I CONF COMP VIS,7,0,0,3,0,2,0,1,0,0,0,1
276,3.667,IEEE T AUTOM SCI ENG,7,0,1,4,0,1,0,0,1,0,0,0
277,7.050,IEEE T IND ELECTRON,7,0,1,0,1,3,0,1,0,0,0,1
278, ,IEEE T SPEECH AUDI P,7,0,0,0,0,0,0,0,0,0,0,7
279,4.305,INFORM SCIENCES,7,0,1,1,0,0,1,1,1,0,1,1
280, ,INT C PATT RECOG,7,0,0,0,0,0,1,0,0,0,0,6
281,7.360,INT J CANCER,7,0,0,0,0,0,0,0,1,0,1,5
282,4.034,INT J CARDIOL,7,0,0,1,1,3,0,0,0,0,0,2
283, ,INT SOC MAGN RES MED,7,0,1,0,0,1,3,0,1,0,0,1
284,4.767,J AM COLL SURGEONS,7,0,0,0,1,0,1,0,0,0,0,5
285,7.877,J CONTROL RELEASE,7,0,0,0,0,1,0,2,0,0,0,4
286,1.960,J CRANIO MAXILL SURG,7,0,0,2,0,2,3,0,0,0,0,0
287,1.536,J DIGIT IMAGING,7,0,0,0,1,2,2,0,1,0,1,0
288,4.319,J NEUROSURG,7,0,1,1,1,1,0,1,0,1,0,1
289, ,J REHABIL RES DEV,7,0,0,0,1,0,0,1,0,0,1,4
290,1.906,J SPEECH LANG HEAR R,7,0,1,0,0,0,0,1,0,1,0,4
291,2.051,J SURG RES,7,0,0,0,1,1,0,0,1,0,0,4
292,1.833,J THEOR BIOL,7,0,0,0,0,0,1,0,1,1,3,1
293,2.758,J VASC INTERV RADIOL,7,0,0,2,2,0,0,1,1,1,0,0
294,10.247,JACC-CARDIOVASC IMAG,7,0,1,1,0,0,2,1,2,0,0,0
295,7.197,NEURAL NETWORKS,7,0,0,0,0,0,0,0,0,2,0,5
296,8.037,NEUROSCI BIOBEHAV R,7,0,0,1,2,0,0,1,1,0,0,2
297, ,OPEN BIOMED ENG J,7,0,0,0,0,0,0,1,6,0,0,0
298,2.182,OTOL NEUROTOL,7,0,0,1,0,0,0,0,1,1,2,2
299, ,P AM CONTR CONF,7,0,2,0,1,1,0,0,2,0,0,1
300, ,P MED IM COMP COMP A,7,0,1,1,1,0,1,0,3,0,0,0
301,1.960,PHYSICA D,7,0,0,0,1,0,0,0,0,0,0,6
302,2.638,ROBOT AUTON SYST,7,0,0,3,0,1,1,0,0,0,1,1
303,4.886,SIAM REV,7,0,0,0,0,0,0,1,0,1,0,5
304,10.602,SLEEP MED REV,7,0,0,0,2,0,0,1,1,0,1,2
305,5.587,STEM CELLS,7,0,0,0,0,0,1,0,5,0,1,0
306, ,TECH REP,7,0,0,2,1,0,0,1,0,0,1,2
307,13.709,ACS NANO,6,0,1,2,1,1,0,0,1,0,0,0
308,21.950,ADV MATER,6,0,0,0,1,1,2,1,1,0,0,0
309,0.961,ADV ROBOTICS,6,0,0,1,2,0,0,1,0,0,0,2
310,10.231,AM J GASTROENTEROL,6,0,0,0,0,0,0,0,0,0,0,6
311,4.069,AM J PATHOL,6,0,0,0,0,0,0,0,2,0,1,3
312, ,ANN MATH STAT,6,0,0,0,0,0,0,0,0,0,0,6
313,9.203,ANN SURG,6,0,0,0,0,0,0,0,2,0,0,4
314,2.833,APPL COMPUT HARMON A,6,0,0,0,1,0,1,0,0,1,0,3
315, ,ARCH NEUROL-CHICAGO,6,0,0,0,0,0,0,0,1,0,0,5
316,3.952,BIOTECHNOL BIOENG,6,0,0,0,1,0,2,0,1,0,0,2
317,2.415,CHAOS,6,0,0,0,0,1,0,0,0,1,0,4
318,3.386,COMMUN PUR APPL MATH,6,0,0,0,0,0,1,0,0,0,0,5
319,2.050,CRYOBIOLOGY,6,0,1,0,0,0,0,0,0,1,0,4
320,7.273,DIABETES,6,0,0,0,0,1,0,0,0,0,0,5
321,2.569,ELECTROPHORESIS,6,0,0,1,0,0,0,2,0,0,0,3
322,2.491,EPILEPSY RES,6,0,0,1,0,0,0,1,0,1,1,2
323,3.504,EUR J CARDIO-THORAC,6,0,0,0,0,1,0,0,0,0,0,5
324,2.843,EUR J RADIOL,6,0,0,0,0,0,1,2,1,0,0,2
325,10.101,GENOME RES,6,0,0,0,0,1,2,1,1,0,1,0
326,17.016,GUT,6,0,0,0,0,0,0,0,0,0,0,6
327,2.962,IEEE MICROW MAG,6,0,0,3,0,1,1,0,0,1,0,0
328,3.573,IEEE ROBOT AUTOM MAG,6,0,0,2,1,2,0,0,0,0,1,0
329,1.440,IEEE T NUCL SCI,6,0,0,0,0,0,0,1,0,1,3,1
330,1.250,IET SIGNAL PROCESS,6,0,0,2,0,0,2,0,0,1,1,0
331,3.231,J BIOMED MATER RES A,6,0,0,2,0,0,1,0,0,0,0,3
332,6.045,J CEREBR BLOOD F MET,6,0,2,0,0,0,0,2,0,0,1,1
