Cited Journal Data: J NEUROSCI,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
78,5.666,PHILOS T R SOC B,466,0,9,20,24,42,34,40,45,36,29,187
79,24.014,PHYSIOL REV,455,1,12,19,17,16,23,31,41,25,30,240
80,5.559,PAIN,454,3,11,33,15,29,23,29,21,37,38,215
81,3.500,SOC COGN AFFECT NEUR,448,2,9,32,27,40,41,42,37,42,21,155
82,2.266,J VISION,446,3,15,33,44,37,30,28,24,21,16,195
83,2.517,PHYSIOL BEHAV,440,0,3,19,30,24,13,31,26,23,14,257
84,2.671,LEARN MEMORY,435,1,7,25,21,26,20,27,22,18,19,249
85,2.559,BIOCHEM BIOPH RES CO,428,2,16,18,26,29,25,26,30,23,29,204
86,4.211,ACS CHEM NEUROSCI,420,2,15,19,20,23,26,25,29,26,21,214
87,3.869,NEUROIMAGE-CLIN,403,1,9,20,29,30,20,46,37,42,27,142
88,5.578,ADDICT BIOL,402,0,2,10,23,31,27,26,31,21,27,204
89,11.439,TRENDS NEUROSCI,400,4,25,29,30,33,35,26,29,32,26,131
90,6.721,CELL MOL LIFE SCI,393,2,9,14,19,18,27,39,29,29,24,183
91,5.002,J NEUROTRAUM,391,0,6,28,28,24,19,32,12,18,19,205
92,6.045,J CEREBR BLOOD F MET,385,2,9,31,29,29,33,28,25,26,25,148
93,2.277,NEUROSCI RES,376,1,7,20,27,17,21,30,31,24,22,176
94,6.426,MOL NEURODEGENER,369,4,14,20,20,25,25,29,24,20,25,163
95,14.675,ANNU REV NEUROSCI,368,1,13,27,21,43,28,27,18,17,17,156
96,9.163,PLOS BIOL,362,4,9,21,30,31,34,35,26,31,12,129
97,5.413,DEVELOPMENT,355,2,10,11,14,22,27,26,25,24,21,173
98,15.557,TRENDS COGN SCI,352,7,31,38,32,31,29,30,33,29,13,79
99,7.461,NEUROSCIENTIST,343,0,10,33,27,25,26,32,23,28,24,115
100,,CURR OPIN BEHAV SCI,341,7,24,23,43,39,25,35,26,18,6,95
101,,BRAIN SCI,334,1,8,7,17,18,19,12,25,16,17,194
102,3.614,CLIN NEUROPHYSIOL,333,0,12,15,37,37,21,27,22,29,23,110
103,2.073,FRONT COMPUT NEUROSC,328,1,12,22,12,20,17,20,18,11,14,181
104,,SPRINGER HANDB AUDIT,326,0,5,23,19,28,30,19,24,19,14,145
105,3.603,NEUROCHEM INT,325,1,6,19,17,12,14,21,17,14,13,191
106,1.184,JOVE-J VIS EXP,316,1,17,13,21,17,21,28,13,15,11,159
107,4.068,CURR NEUROPHARMACOL,301,0,7,10,13,18,13,19,15,17,26,163
108,13.251,J CLIN INVEST,300,5,7,13,19,28,20,23,15,17,21,132
109,2.538,PHARMACOL BIOCHEM BE,293,4,13,12,13,18,24,9,20,12,7,161
110,3.388,INVEST OPHTH VIS SCI,290,1,9,17,20,10,18,15,17,22,15,146
111,3.205,MOL PAIN,289,1,10,15,13,14,5,13,20,18,28,152
112,8.784,J CELL BIOL,284,3,14,9,21,16,28,24,20,15,14,120
113,1.922,MOL MED REP,276,2,2,12,15,15,17,15,18,16,16,148
114,2.590,REV NEUROSCIENCE,273,2,4,9,9,11,19,8,12,14,10,175
115,3.496,GENES BRAIN BEHAV,269,1,10,16,14,25,17,7,19,18,16,126
116,3.040,EUR J PHARMACOL,268,0,7,10,6,6,13,20,16,14,15,161
117,3.394,FRONT PHYSIOL,267,3,5,14,12,20,13,23,13,17,10,137
118,3.262,DEV BIOL,264,0,6,11,7,15,18,19,19,18,19,132
119,6.810,BRIT J PHARMACOL,262,0,15,13,14,14,12,14,15,18,23,124
120,3.895,CELL MOL NEUROBIOL,262,0,0,13,14,16,13,16,15,21,14,140
121,4.185,PROG NEURO-PSYCHOPH,259,0,9,11,15,16,14,17,12,17,21,127
122,3.719,BRAIN IMAGING BEHAV,257,0,0,17,27,21,11,21,11,25,20,104
123,15.876,ACTA NEUROPATHOL,249,1,13,8,19,24,23,18,23,15,10,95
124,4.738,J PSYCHOPHARMACOL,246,1,5,11,6,24,11,16,15,17,14,126
125,3.449,MOL BRAIN,246,4,7,15,9,11,16,19,15,15,16,119
126,5.540,PLOS GENET,242,0,7,8,21,18,22,12,19,17,14,104
127,41.577,NATURE,240,3,5,7,24,20,14,11,18,19,15,104
128,,PHYSIOL REP,239,1,5,8,10,17,13,10,16,14,12,133
129,6.120,BRAIN STIMUL,238,1,7,18,17,25,12,19,16,15,7,101
130,4.731,PSYCHONEUROENDOCRINO,238,2,9,12,9,15,18,15,14,21,10,113
131,2.084,CNS NEUROL DISORD-DR,237,0,4,4,7,12,15,14,9,12,13,147
132,5.595,FASEB J,237,1,4,10,14,12,16,18,19,12,13,118
133,3.174,PROG BRAIN RES,235,8,9,9,14,5,8,25,15,9,9,124
134,2.219,BRAIN BEHAV,232,1,3,9,7,12,25,33,15,14,11,102
135,4.401,J CELL SCI,231,3,6,16,20,9,18,13,20,13,15,98
136,5.067,EPILEPSIA,229,0,6,15,23,12,13,10,14,18,20,98
137,5.797,COMPR PHYSIOL,228,0,7,5,9,9,13,14,9,15,4,143
138,3.199,CEREBELLUM,226,0,1,8,21,16,10,10,11,30,19,100
139,5.638,CELL DEATH DIS,225,2,14,10,11,14,13,26,15,14,12,94
140,4.129,NEUROPHOTONICS,224,0,7,17,10,12,17,4,16,13,13,115
141,6.537,STEM CELL REP,218,0,7,10,13,11,17,18,17,19,15,91
142,5.135,SLEEP,217,1,9,9,23,22,11,27,11,9,10,85
143,2.507,BEHAV NEUROSCI,216,2,10,11,12,15,15,14,10,13,6,108
144,5.108,BBA-MOL BASIS DIS,214,0,10,9,13,10,10,17,12,15,12,106
145,2.891,BIOL PSYCHOL,214,1,3,7,21,18,23,23,13,19,8,78
146,3.186,NEUROTOX RES,213,0,0,4,6,12,13,9,11,14,16,128
147,3.961,ENDOCRINOLOGY,211,4,5,15,14,14,10,14,24,34,6,71
148,2.069,VISION RES,211,0,2,5,22,12,16,14,14,16,8,102
149,5.140,ANNU REV VIS SCI,207,3,16,8,15,10,22,14,12,13,12,82
150,4.129,EUR NEUROPSYCHOPHARM,207,1,3,9,12,14,11,18,12,18,10,99
151,6.875,FRONT NEUROENDOCRIN,206,0,6,9,10,13,10,16,7,15,14,106
152,2.360,SYNAPSE,206,1,4,9,10,13,10,17,7,14,12,109
153,4.235,BIOCHEM PHARMACOL,201,0,3,13,12,14,20,16,13,12,11,87
154,3.179,J EXP BIOL,200,1,3,5,12,11,14,7,8,5,10,124
155,2.857,FRONT PSYCHIATRY,199,0,5,7,9,23,13,13,16,16,5,92
156,2.668,J NEUROSCI METH,198,0,6,10,12,15,12,16,19,16,17,75
157,31.398,CELL,197,4,9,9,19,15,19,14,11,10,11,76
158,4.418,HORM BEHAV,197,0,3,5,6,5,9,14,7,13,5,130
159,2.574,BRAIN COGNITION,196,1,3,12,16,14,11,14,17,19,10,79
160,2.851,BRAIN LANG,193,0,9,12,14,29,16,19,21,11,10,52
161,3.289,CURR ALZHEIMER RES,191,0,1,7,10,9,8,16,15,18,13,94
162,8.324,MOVEMENT DISORD,191,1,8,4,13,12,12,11,11,17,19,83
163,,CONSCIOUS COGN,190,3,5,9,14,19,16,19,15,25,14,51
164,,NETW FUNCT PLASTXB,190,0,3,5,8,8,12,11,2,8,6,127
165,6.138,SEMIN CELL DEV BIOL,189,1,3,12,8,11,19,16,19,14,6,80
166,5.719,NEUROTHERAPEUTICS,187,1,7,11,7,11,13,16,13,15,14,79
167,3.920,J NEURAL ENG,185,1,4,8,16,11,9,14,18,17,16,71
168,,HORM BRAIN BEHAVXB,183,0,2,7,4,6,5,5,6,10,14,124
169,18.964,PHARMACOL REV,183,1,5,5,8,8,9,13,11,15,12,96
170,2.064,VITAM HORM,182,0,1,10,2,7,8,13,10,8,5,118
171,41.058,SCIENCE,181,1,8,11,21,20,8,9,10,12,4,77
172,2.454,J MOL NEUROSCI,179,0,7,10,6,9,7,3,10,11,14,102
173,3.118,PSYCHOPHYSIOLOGY,179,0,1,9,13,16,22,15,6,14,16,67
174,3.495,BIOPHYS J,176,0,5,7,11,14,12,6,13,9,11,88
175,5.511,FRONT IMMUNOL,176,2,7,7,14,11,13,4,12,17,6,83
176,2.565,COGN AFFECT BEHAV NE,175,0,6,11,6,14,20,16,13,15,8,66
177,4.815,DEV COGN NEUROS-NETH,175,0,7,15,10,19,16,10,9,9,11,69
178,5.414,ACTA NEUROPATHOL COM,173,2,6,9,12,9,10,13,11,6,8,87
179,2.173,BMC NEUROSCI,173,1,3,6,7,9,6,9,10,15,12,95
180,4.398,DIS MODEL MECH,173,1,8,9,13,12,14,14,13,11,9,69
181,3.519,FRONT ENDOCRINOL,171,1,5,3,9,12,11,9,15,9,11,86
182,1.606,J COMPUT NEUROSCI,169,0,7,10,9,6,7,7,14,10,9,90
183,2.999,FEBS LETT,168,5,3,11,5,12,6,13,18,7,5,83
184,1.927,VISUAL NEUROSCI,167,4,7,9,6,17,14,24,9,7,5,65
185,2.086,LANG COGN NEUROSCI,165,1,7,21,11,21,18,16,10,14,6,40
186,3.958,SCHIZOPHR RES,164,0,4,15,13,11,7,12,13,10,6,73
187,4.277,ANN NY ACAD SCI,163,1,9,10,11,8,11,23,11,16,9,54
188,2.583,BIOMED RES INT,163,2,8,8,8,9,8,7,10,10,12,81
189,3.457,BIOMED PHARMACOTHER,160,0,2,4,7,5,6,8,8,6,11,103
190,6.378,SCI SIGNAL,160,3,5,9,18,7,12,11,12,8,10,65
191,3.076,NEUROTOXICOLOGY,159,0,4,8,3,3,4,8,9,11,4,105
192,10.250,ANN NEUROL,157,0,7,7,9,16,10,12,9,6,5,76
193,3.981,INT J NEUROPSYCHOPH,157,3,3,3,3,13,12,9,6,7,7,91
194,1.266,NEUROREPORT,157,0,2,2,6,10,12,12,7,11,6,89
195,2.118,PEERJ,157,0,4,6,9,9,6,6,9,10,9,89
196,4.897,PHARMACOL RES,157,1,2,8,12,5,7,10,15,4,3,90
197,3.392,J NEUROENDOCRINOL,156,1,7,4,7,5,8,8,12,13,1,90
198,3.972,IEEE T NEUR SYS REH,155,0,3,9,7,10,3,11,8,6,17,81
199,2.441,METAB BRAIN DIS,155,0,1,6,5,5,6,8,14,16,10,84
200,6.187,BRAIN PATHOL,154,2,5,9,6,6,14,2,8,12,17,73
201,1.651,NEURAL COMPUT,154,0,2,6,2,5,8,12,9,7,14,89
202,8.973,AGEING RES REV,151,0,3,12,3,7,13,15,12,7,12,67
203,2.162,J CHEM NEUROANAT,150,0,2,1,6,7,7,7,10,11,8,91
204,6.253,J MED CHEM,149,1,3,12,3,6,10,12,10,9,8,75
205,,NEUROMETHODS,149,0,0,11,7,5,10,10,7,6,10,83
206,8.055,NEUROLOGY,147,0,2,10,10,9,19,5,10,16,4,62
207,4.936,OXID MED CELL LONGEV,146,0,3,9,7,3,8,3,7,7,15,84
208,3.706,J PHARMACOL EXP THER,145,0,4,5,4,10,7,8,9,6,16,76
209,3.098,MOLECULES,144,1,0,4,7,9,12,7,6,5,10,83
210,,NAT HUM BEHAV,144,0,5,12,19,17,14,10,10,8,6,43
211,3.923,J CELL PHYSIOL,141,0,8,3,6,6,5,10,15,11,7,70
212,,NEUROSCIENCEXB,141,0,0,0,1,5,6,10,6,11,5,97
213,6.523,ANESTHESIOLOGY,139,0,3,13,12,7,13,10,9,7,7,58
214,9.247,CSH PERSPECT BIOL,139,0,1,1,4,9,10,8,6,7,8,85
215,10.376,PHARMACOL THERAPEUT,139,1,3,7,5,5,10,9,10,5,6,78
216,3.512,MOL BIOL CELL,138,4,6,4,8,10,15,6,12,6,9,58
217,3.718,CELL CALCIUM,136,0,6,6,11,7,6,19,8,2,11,60
218,3.495,CNS NEUROSCI THER,136,0,1,5,10,3,9,6,8,10,14,70
219,2.455,PSYCHIAT RES-NEUROIM,136,0,2,6,10,17,6,10,9,12,10,54
220,3.155,NEUROSCI BULL,135,0,5,5,7,10,12,15,8,12,10,51
221,,FRONT INTEGR NEUROSC,134,1,8,5,9,10,12,9,6,9,3,62
222,3.786,J AFFECT DISORDERS,133,0,0,5,9,4,6,13,9,9,6,72
223,3.989,STEM CELLS INT,133,0,3,0,3,8,4,6,7,8,4,90
224,4.859,J PAIN,132,1,4,10,3,9,8,14,10,9,9,55
225,10.557,EMBO J,131,0,10,6,9,10,10,8,6,5,7,60
226,2.495,INT J DEV NEUROSCI,131,0,3,6,4,5,6,5,15,5,9,73
227,2.915,NEUROPEPTIDES,129,0,2,5,2,5,5,5,5,13,8,79
228,2.491,EPILEPSY RES,128,0,4,5,5,5,3,11,8,10,8,69
229,1.854,BEHAV PHARMACOL,125,0,5,6,4,5,12,6,7,7,8,65
230,3.857,BIOCHEM J,125,2,3,6,7,7,8,6,5,10,9,62
231,2.645,J PAIN RES,125,1,2,2,4,6,4,11,9,9,15,62
232,2.371,INT REV NEUROBIOL,124,1,5,1,8,4,6,3,6,9,8,73
233,7.197,NEURAL NETWORKS,124,0,1,4,3,5,4,5,6,2,9,85
234,3.978,MOL PHARMACOL,123,1,2,0,4,8,7,11,11,12,10,57
235,3.183,ALCOHOL CLIN EXP RES,122,1,7,8,7,6,14,2,11,1,11,54
236,1.678,ATTEN PERCEPT PSYCHO,122,1,3,10,12,5,14,10,10,12,6,39
237,2.538,CHANNELS,122,3,5,9,5,7,6,3,7,5,5,67
238,2.448,J NEUROL SCI,122,0,5,5,6,7,6,11,5,8,7,62
239,,JCI INSIGHT,122,2,4,8,6,12,6,9,11,6,5,53
240,3.549,MEDIAT INFLAMM,122,3,1,3,14,5,8,8,5,11,6,58
241,2.425,ALCOHOL,121,1,1,13,8,8,12,4,14,10,11,39
242,3.322,DRUG ALCOHOL DEPEN,121,1,1,4,4,11,6,10,4,7,9,64
243,4.075,GENETICS,121,1,5,5,7,5,11,9,9,9,8,52
244,,SPRINGER HBK,121,0,0,0,8,6,3,3,6,6,12,77
245,2.885,CELL TRANSPLANT,120,0,2,1,7,0,4,9,5,3,4,85
246,2.703,BRAIN TOPOGR,119,0,1,8,5,12,14,17,5,8,6,43
247,,DIS TARG NEUR DISXB,118,0,0,5,7,5,11,7,9,8,7,59
248,1.970,J COMP PHYSIOL A,118,0,0,4,3,7,8,1,8,3,4,80
249,3.082,AM J PHYSIOL-REG I,116,1,6,6,5,7,6,11,8,4,5,57
250,3.235,CHEM SENSES,116,0,9,9,10,10,4,11,4,6,6,47
251,3.679,BBA-GEN SUBJECTS,115,1,3,3,8,7,9,13,9,7,4,51
252,2.716,JARO-J ASSOC RES OTO,114,0,1,7,9,8,17,9,13,5,4,41
253,2.600,EPILEPSY BEHAV,111,0,4,3,4,6,5,11,4,5,6,63
254,2.991,EUR J PAIN,111,0,0,4,4,4,5,3,4,17,8,62
255,2.868,INT J PSYCHOPHYSIOL,111,0,1,2,9,11,6,14,4,8,4,52
256,1.410,EXP THER MED,109,0,1,2,4,4,5,13,3,6,6,65
257,3.680,J GEN PHYSIOL,109,0,4,6,7,9,8,5,13,3,4,50
258,4.711,NEUROREHAB NEURAL RE,109,0,2,2,13,8,6,9,11,6,5,47
259,2.284,PHYS REV E,109,0,2,5,2,5,5,7,2,11,1,69
260,3.152,EXP EYE RES,108,1,3,9,8,10,8,5,5,2,8,49
261,,SPIN MUSC ATR DISXB,107,0,1,3,4,9,26,9,16,12,5,22
262,5.220,CLIN SCI,106,3,2,11,6,8,6,7,3,6,5,49
263,,COGNITION,106,0,6,8,14,8,8,14,13,6,1,28
264,1.536,J NEUROGENET,106,1,7,2,2,7,7,10,7,11,2,50
265,,METHOD MOL BIOL,106,0,0,3,5,4,7,6,9,3,5,64
266,32.621,NAT MED,106,0,7,9,15,7,9,5,9,6,7,32
267,22.774,ANNU REV PSYCHOL,105,0,1,7,13,8,7,6,9,9,3,42
268,,ISSUES TOXICOL,105,0,1,2,6,3,7,9,3,6,7,61
269,2.289,J EXP PSYCHOL HUMAN,105,1,1,5,13,10,8,16,1,13,6,31
270,4.505,J LIPID RES,105,2,3,10,9,4,5,8,8,8,8,40
271,1.650,BRAIN BEHAV EVOLUT,104,0,2,5,4,3,3,4,5,8,4,66
272,6.020,FREE RADICAL BIO MED,104,1,3,6,11,7,5,6,3,4,5,53
273,1.605,J ACOUST SOC AM,104,0,5,6,7,12,10,1,13,10,5,35
274,4.000,J PSYCHIATR RES,104,0,1,5,12,4,7,7,9,10,6,43
275,4.196,NUTRIENTS,104,0,2,3,7,3,2,6,11,6,13,51
276,0.311,ZH VYSSH NERV DEYAT+,104,1,2,4,5,9,5,7,8,4,4,55
277,4.651,BBA-MOL CELL RES,103,1,5,6,2,6,4,10,8,4,5,52
278,2.349,FRONT BIOSCI-LANDMRK,102,0,1,5,5,7,2,8,8,4,7,55
279,5.587,STEM CELLS,102,0,2,4,5,5,4,8,8,7,9,50
280,3.469,CURR MED CHEM,100,0,1,4,2,3,2,10,5,5,3,65
281,11.653,PROG RETIN EYE RES,100,0,2,6,9,4,8,1,5,6,6,53
282,6.944,SCHIZOPHRENIA BULL,100,0,1,8,11,8,8,8,11,7,1,37
283,2.779,J NEURAL TRANSM,99,0,3,3,4,8,9,2,0,6,2,62
284,9.616,DEV CELL,98,1,1,3,6,3,12,10,7,3,4,48
285,3.768,AUTISM RES,96,0,0,8,6,9,6,6,13,7,1,40
286,3.224,EXP GERONTOL,96,0,4,8,4,6,3,4,3,6,3,55
287,0.833,INT J CLIN EXP MED,96,1,3,3,3,7,6,7,4,2,2,58
288,2.655,J NEUROIMMUNOL,96,0,3,9,4,2,4,8,5,7,4,50
289,,PSYCHON B REV,96,0,3,12,6,10,12,10,8,6,5,24
290,1.724,BIOCHEMISTRY-MOSCOW+,95,0,4,8,6,6,7,6,2,7,8,41
291,19.819,NAT REV NEUROL,95,0,5,11,9,7,7,12,10,5,3,26
292,13.250,PSYCHOL BULL,95,0,2,4,8,10,7,12,7,10,3,32
293,10.790,J EXP MED,94,2,4,5,6,9,7,5,7,7,8,34
294,3.286,OPEN BIOL,94,0,3,0,2,2,5,7,8,5,6,56
295,7.627,AGING CELL,93,0,5,6,6,7,12,8,6,2,4,37
296,5.475,PSYCHOL MED,93,0,0,8,6,7,8,10,11,9,3,31
297,3.696,EXPERT REV NEUROTHER,92,0,1,5,2,5,7,11,6,5,5,45
298,8.806,BIOMATERIALS,91,0,0,2,6,4,2,6,6,6,6,53
299,1.120,MED HYPOTHESES,91,0,2,4,3,4,9,8,8,10,3,40
300,7.126,REDOX BIOL,91,0,1,5,4,6,4,7,5,6,3,50
301,12.764,ALZHEIMERS DEMENT,88,0,1,8,6,6,5,6,8,5,7,36
302,5.015,ALZHEIMERS RES THER,88,2,1,7,4,10,11,7,7,8,4,27
303,6.530,ANTIOXID REDOX SIGN,88,1,0,3,2,7,3,6,3,9,3,51
304,3.748,MECH AGEING DEV,88,1,0,2,3,4,4,14,3,1,8,48
305,3.490,J NEUROPATH EXP NEUR,87,0,3,6,3,5,2,7,7,3,2,49
306,1.555,BEHAV PROCESS,86,1,1,3,4,6,3,5,1,2,1,59
307,6.499,BRIT J ANAESTH,86,0,0,2,9,5,7,2,8,8,7,38
308,8.749,EMBO REP,86,0,0,7,2,5,6,8,2,5,6,45
309,,NEUROBIOL STRESS,86,0,1,3,4,3,2,7,7,5,3,51
310,2.765,PFLUG ARCH EUR J PHY,86,0,1,4,4,5,3,3,4,6,5,51
311,5.872,MOL AUTISM,85,0,2,6,9,9,8,6,15,5,5,20
312,2.101,RESTOR NEUROL NEUROS,85,0,3,2,4,3,5,8,4,4,6,46
313,3.979,CSH PERSPECT MED,84,0,1,1,7,9,9,6,8,2,4,37
314,3.374,CURR TOP MED CHEM,84,0,0,6,3,3,6,13,6,10,5,32
315,2.130,NEURAL DEV,84,0,0,4,1,2,6,5,7,3,5,51
316,4.847,P ROY SOC B-BIOL SCI,84,3,5,2,3,10,10,3,8,2,4,34
317,2.176,J MATH PSYCHOL,83,0,0,12,8,8,10,12,2,7,1,23
318,3.234,LIFE SCI,83,0,4,10,4,4,6,4,6,6,4,35
319,2.787,PHARMACOL REP,83,0,3,3,4,1,3,5,7,3,3,51
320,1.792,RESP PHYSIOL NEUROBI,83,0,0,2,3,8,1,6,6,6,8,43
321,5.024,NEUROENDOCRINOLOGY,82,0,0,4,5,5,4,8,5,7,4,40
322,8.266,TRANSL STROKE RES,82,0,0,2,3,3,4,4,6,6,9,45
323,1.760,ADV EXP MED BIOL,81,0,1,4,5,13,4,8,3,1,8,34
324,4.012,J ENDOCRINOL,81,0,2,1,4,5,3,3,4,8,4,47
325,7.008,MOL THER,81,0,3,3,10,5,0,2,7,4,7,40
326,6.239,STROKE,80,3,2,8,4,4,8,7,1,5,2,36
327,3.043,CELL TISSUE RES,79,0,0,1,1,3,1,1,3,3,4,62
328,3.191,GENES-BASEL,79,1,6,4,3,3,6,4,7,6,7,32
329,4.598,EXPERT OPIN THER TAR,78,0,4,2,4,2,5,10,6,8,6,31
330,3.563,MOL CELL ENDOCRINOL,78,0,3,4,4,8,6,3,5,10,3,32
