Cited Journal Data: NEUROIMAGE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
85,8.055,NEUROLOGY,177,5,7,5,10,5,18,15,22,11,11,68
86,6.944,SCHIZOPHRENIA BULL,177,0,6,8,15,11,25,8,19,11,11,63
87,3.199,CEREBELLUM,176,0,2,6,17,9,20,15,8,18,7,74
88,6.120,BRAIN STIMUL,175,1,10,14,26,17,17,16,4,6,10,54
89,4.288,IEEE T BIO-MED ENG,172,1,6,8,21,21,32,24,10,6,4,39
90,4.185,PROG NEURO-PSYCHOPH,169,0,6,3,15,11,24,13,15,8,11,63
91,,BRAIN SCI,167,1,8,6,22,17,18,11,15,6,9,54
92,4.000,J PSYCHIATR RES,167,0,7,4,14,10,12,11,7,11,5,86
93,,CONSCIOUS COGN,164,2,15,13,24,7,16,12,8,5,10,52
94,3.966,HIPPOCAMPUS,159,0,5,12,15,6,16,13,24,13,5,50
95,2.073,FRONT COMPUT NEUROSC,157,3,5,7,10,10,19,15,11,8,12,57
96,2.367,J BIOMED OPT,154,0,3,1,35,9,27,17,11,11,3,37
97,2.884,MED PHYS,150,2,5,10,8,6,19,9,11,28,8,44
98,,NAT HUM BEHAV,150,6,9,15,16,13,21,9,10,6,9,36
99,2.699,NEUROPSYCHOLOGY,146,4,6,7,5,10,23,10,12,4,10,55
100,2.665,PHYS MED BIOL,146,4,2,6,9,6,9,10,8,24,11,57
101,3.972,IEEE T NEUR SYS REH,144,0,8,3,11,8,10,30,15,6,4,49
102,4.731,PSYCHONEUROENDOCRINO,144,0,8,9,8,10,11,10,9,14,6,59
103,4.027,EUR RADIOL,143,0,5,4,10,12,17,8,16,5,5,61
104,9.251,CURR BIOL,140,6,14,10,23,9,18,9,8,4,3,36
105,4.129,EUR NEUROPSYCHOPHARM,140,5,3,3,14,6,17,8,13,7,9,55
106,3.852,NEUROINFORMATICS,137,2,8,8,13,11,10,22,12,12,5,34
107,32.635,NAT REV NEUROSCI,136,3,11,5,12,18,20,12,13,7,7,28
108,3.482,BIOMED OPT EXPRESS,133,1,5,5,32,11,23,12,6,7,2,29
109,3.322,DRUG ALCOHOL DEPEN,130,1,3,1,6,8,20,11,13,10,6,51
110,1.266,NEUROREPORT,130,0,7,5,5,11,12,6,13,7,10,54
111,5.043,DEPRESS ANXIETY,128,6,6,6,8,17,16,12,7,9,3,38
112,8.324,MOVEMENT DISORD,126,0,2,11,8,2,13,12,7,12,3,56
113,3.241,NEUROCOMPUTING,126,1,3,7,11,2,23,19,10,9,3,38
114,1.924,WORLD NEUROSURG,126,1,1,2,11,8,13,10,13,7,11,49
115,5.067,EPILEPSIA,125,3,1,3,15,8,15,8,15,7,7,43
116,,ONCOTARGET,125,1,4,1,1,7,21,11,14,11,7,47
117,12.764,ALZHEIMERS DEMENT,122,3,7,20,15,9,12,6,12,10,4,24
118,1.953,J NEUROIMAGING,121,0,3,1,9,7,17,12,7,10,2,53
119,3.965,PATTERN RECOGN,121,0,1,9,13,9,19,17,6,14,5,28
120,,FRONT SYST NEUROSCI,119,2,5,4,7,7,10,8,13,9,9,45
121,,INT C ACOUST SPEE,119,0,14,8,15,12,9,9,3,4,10,35
122,5.365,J PSYCHIATR NEUROSCI,118,2,1,4,4,5,17,10,14,6,5,50
123,1.832,MAGN RESON MATER PHY,118,3,1,6,14,11,19,7,10,5,6,36
124,5.559,PAIN,117,4,5,4,10,12,15,7,6,13,9,32
125,10.250,ANN NEUROL,116,7,4,7,10,7,19,12,8,8,8,26
126,4.711,NEUROREHAB NEURAL RE,116,0,0,5,18,7,14,13,9,6,4,40
127,2.491,EPILEPSY RES,115,1,1,5,6,7,11,10,10,9,3,52
128,2.266,J VISION,114,3,9,8,10,14,11,9,6,2,11,31
129,4.319,J NEUROSURG,113,0,0,5,6,12,15,13,5,3,5,49
130,4.277,ANN NY ACAD SCI,108,2,8,8,10,19,11,12,6,5,3,24
131,3.768,AUTISM RES,108,0,2,1,13,5,8,8,10,7,5,49
132,2.448,J NEUROL SCI,108,0,0,4,9,1,16,6,9,13,4,46
133,2.115,COMPUT BIOL MED,104,1,2,6,14,4,19,9,4,8,8,29
134,2.779,J NEURAL TRANSM,104,2,2,5,7,8,15,8,7,2,3,45
135,4.738,J PSYCHOPHARMACOL,103,0,2,6,8,6,11,10,8,4,8,40
136,2.777,J INT NEUROPSYCH SOC,102,1,3,4,0,3,13,4,10,4,7,53
137,5.280,MULT SCLER J,101,1,0,4,7,1,11,6,9,13,2,47
138,3.222,PSYCHOPHARMACOLOGY,101,0,1,4,8,3,9,5,10,11,9,41
139,2.195,NEUROPSYCH DIS TREAT,98,0,4,1,2,13,9,8,8,7,2,44
140,,COGNITION,97,2,4,12,11,4,6,10,4,3,5,36
141,,DEVELOPMENTAL SCI,96,0,1,3,7,4,7,8,10,6,9,41
142,3.244,NEUROBIOL LEARN MEM,96,0,8,9,8,11,3,5,7,4,5,36
143,,FRONT PHYS,95,12,17,12,8,4,13,6,6,1,3,13
144,5.666,PHILOS T R SOC B,93,1,12,6,15,8,15,1,3,6,3,23
145,13.396,AM J PSYCHIAT,92,0,6,5,11,10,13,8,7,5,5,22
146,3.617,EUR ARCH PSY CLIN N,92,0,2,2,15,4,11,9,5,6,3,35
147,3.783,J NEUROL,92,0,3,1,6,4,11,2,9,5,10,41
148,16.642,JAMA PSYCHIAT,92,2,6,7,7,10,8,2,14,4,9,23
149,11.439,TRENDS NEUROSCI,91,11,6,8,14,5,9,8,7,4,4,15
150,,INTELLIGENCE,89,0,2,6,12,11,10,1,10,5,4,28
151,1.547,J NEUROLINGUIST,89,0,3,2,1,8,13,5,9,3,3,42
152,2.583,BIOMED RES INT,87,0,5,3,6,2,7,11,8,2,3,40
153,7.469,RADIOLOGY,84,0,5,3,10,4,10,3,12,7,4,26
154,0.549,J MED IMAG HEALTH IN,82,1,2,1,4,3,6,19,5,10,4,27
155,2.674,COMPUT METH PROG BIO,81,2,3,4,11,5,13,7,3,5,2,26
156,1.184,JOVE-J VIS EXP,81,1,10,5,4,9,7,5,4,3,4,29
157,4.580,INT J NEURAL SYST,79,1,1,4,4,2,12,16,6,10,3,20
158,,NEURORADIOL J,79,7,11,0,1,9,4,7,1,8,6,25
159,3.174,PROG BRAIN RES,79,0,4,6,9,10,9,3,4,3,8,23
160,3.289,CURR ALZHEIMER RES,78,0,0,3,8,6,7,12,6,3,2,31
161,5.135,SLEEP,78,0,5,5,4,6,11,6,4,2,3,32
162,7.144,J NEUROL NEUROSUR PS,77,0,4,2,2,4,12,5,3,5,6,34
163,5.719,NEUROTHERAPEUTICS,77,0,5,3,4,2,8,7,3,7,3,35
164,2.586,J MAGN RESON,76,0,9,8,9,10,10,9,6,1,4,10
165,6.306,BRAIN BEHAV IMMUN,75,1,4,4,6,3,10,0,4,6,8,29
166,7.439,J NUCL MED,75,1,4,5,3,6,8,6,3,3,2,34
167,7.461,NEUROSCIENTIST,75,0,2,14,10,8,5,9,11,6,1,9
168,2.061,BRAIN INJURY,74,0,0,1,5,3,13,14,2,3,3,30
169,,DEV PSYCHOPATHOL,74,0,2,6,7,5,13,7,5,4,2,23
170,2.234,NEURAL REGEN RES,74,3,0,2,1,2,10,7,6,6,5,32
171,2.783,BIOMED SIGNAL PROCES,73,0,0,4,3,4,13,9,9,6,0,25
172,4.540,J PHYSIOL-LONDON,73,0,3,2,11,3,7,5,5,2,6,29
173,3.400,J COMP NEUROL,72,1,5,2,6,4,5,6,6,4,5,28
174,3.865,J NEUROENG REHABIL,72,0,2,2,6,2,8,5,6,5,7,29
175,2.517,PHYSIOL BEHAV,72,2,3,4,4,3,3,7,5,5,8,28
176,9.163,PLOS BIOL,72,1,3,4,12,9,6,0,3,5,4,25
177,6.250,J AM ACAD CHILD PSY,71,1,2,0,11,0,11,2,4,1,4,35
178,3.810,PSYCHOSOM MED,70,0,1,1,4,4,9,5,8,2,0,36
179,1.651,NEURAL COMPUT,69,0,2,3,6,8,8,7,9,7,3,16
180,4.490,BIPOLAR DISORD,68,1,0,0,7,1,9,4,1,6,1,38
181,,CURR OPIN BEHAV SCI,68,6,13,12,6,3,4,7,2,2,3,10
182,3.131,FRONT NEURAL CIRCUIT,68,0,6,8,8,5,4,5,6,4,5,17
183,3.155,NEUROSCI BULL,68,0,2,0,2,5,7,8,9,2,8,25
184,2.277,NEUROSCI RES,68,0,2,3,4,1,3,2,5,5,5,38
185,2.190,Q J EXP PSYCHOL,68,0,1,2,3,1,5,5,6,5,3,37
186,2.319,J EXP PSYCHOL LEARN,67,0,3,4,9,3,6,9,5,5,1,22
187,14.163,PROG NEUROBIOL,67,2,5,7,6,5,10,2,5,2,4,19
188,4.984,ACTA PSYCHIAT SCAND,66,2,2,3,3,1,6,4,5,5,2,33
189,13.250,PSYCHOL BULL,66,0,4,4,4,6,6,3,4,4,6,25
190,0.311,ZH VYSSH NERV DEYAT+,66,0,6,3,9,7,14,7,1,2,0,17
191,5.015,ALZHEIMERS RES THER,65,0,1,5,3,3,11,9,8,8,1,16
192,2.415,CHAOS,65,1,5,4,8,4,4,7,12,2,6,12
193,,NEUROMETHODS,65,0,1,2,5,4,6,4,8,2,5,28
194,6.239,STROKE,65,1,3,3,3,5,17,1,4,4,1,23
195,,EX FUNCT HLTH DISXB,64,0,4,2,2,1,1,5,8,2,6,33
196,3.850,IEEE J BIOMED HEALTH,64,1,2,4,5,3,11,3,8,5,5,17
197,2.028,MEDICINE,64,1,3,1,0,3,6,3,4,2,5,36
198,5.872,MOL AUTISM,63,2,2,0,4,5,10,4,8,6,6,16
199,3.199,PSYCHIAT CLIN NEUROS,63,1,5,1,11,3,7,2,2,3,6,22
200,2.223,PSYCHIAT RES,63,0,2,1,3,0,6,5,8,6,3,29
201,7.704,EUR J NUCL MED MOL I,62,0,3,5,4,7,3,7,4,5,2,22
202,5.076,MOL NEUROBIOL,62,0,0,5,0,5,8,6,6,10,1,21
203,,EMOTION,61,0,0,3,5,2,5,9,4,4,2,27
204,1.678,ATTEN PERCEPT PSYCHO,60,2,5,4,3,5,5,2,5,1,2,26
205,2.118,PEERJ,60,0,3,2,2,2,9,3,6,1,0,32
206,,PSYCHON B REV,60,1,3,9,4,5,7,7,4,2,1,17
207,2.419,BMC PSYCHIATRY,59,1,4,3,2,1,9,2,7,3,1,26
208,4.249,NEUROPHARMACOLOGY,59,0,1,1,4,4,5,6,6,5,3,24
209,1.906,J SPEECH LANG HEAR R,58,0,2,0,6,2,1,3,12,5,8,19
210,8.788,ANNU REV BIOMED ENG,57,1,9,4,6,4,10,5,4,4,0,10
211,2.173,BMC NEUROSCI,57,2,1,2,4,0,6,2,7,5,4,24
212,4.129,EUR PSYCHIAT,57,0,0,1,4,2,9,3,8,7,5,18
213,4.300,FRONT CELL NEUROSCI,57,3,6,4,6,1,9,4,1,1,0,22
214,2.335,FRONT PEDIATR,57,3,4,3,7,4,7,4,4,1,3,17
215,3.981,INT J NEUROPSYCHOPH,57,2,2,3,7,4,7,5,5,6,3,13
216,8.973,AGEING RES REV,56,0,1,2,11,5,8,4,7,2,3,13
217,3.174,APPETITE,56,0,3,2,4,5,6,4,4,5,4,19
218,6.486,J CHILD PSYCHOL PSYC,56,0,5,1,2,4,1,3,14,5,2,19
219,,ACTA PSYCHOL,55,0,2,0,1,2,4,6,7,2,1,30
220,3.417,COGN NEUROSCI-UK,55,0,3,4,4,0,12,5,4,3,2,18
221,2.333,DEV NEUROPSYCHOL,55,0,1,5,3,4,3,3,4,3,4,25
222,1.961,INT J COMPUT ASS RAD,55,1,2,3,6,2,10,7,2,5,1,16
223,2.289,J EXP PSYCHOL HUMAN,55,0,4,4,5,6,3,3,3,4,2,21
224,5.311,SCI DATA,55,4,6,5,1,10,11,1,1,5,1,10
225,1.545,COMPUT MATH METHOD M,54,1,3,6,2,7,5,4,4,1,1,20
226,2.600,EPILEPSY BEHAV,54,1,0,2,3,3,4,4,6,2,2,27
227,4.483,EXP NEUROL,54,1,1,0,3,5,5,8,4,3,2,22
228,2.495,INT J DEV NEUROSCI,54,0,0,0,5,6,5,2,3,4,7,22
229,1.423,INT J IMAG SYST TECH,54,0,2,2,3,3,4,3,5,5,4,23
230,,J ABNORM PSYCHOL,54,0,1,0,2,4,5,6,4,3,3,26
231,2.176,J MATH PSYCHOL,54,0,0,7,4,13,3,7,3,1,3,13
232,3.886,CEPHALALGIA,53,0,3,1,6,3,4,2,1,12,2,19
233,3.394,FRONT PHYSIOL,53,1,1,2,6,6,6,5,1,2,2,21
234,3.388,INVEST OPHTH VIS SCI,53,0,0,1,4,1,2,4,2,3,5,31
235,0.920,NEUROCASE,53,0,0,0,3,0,5,4,6,7,2,26
236,,SPRINGER THESES-RECO,53,0,1,0,6,5,2,18,6,0,2,13
237,2.069,VISION RES,53,1,5,7,2,4,3,3,5,2,6,15
238,,BEHAV RES METHODS,52,0,1,2,6,4,5,3,4,3,4,20
239,1.982,J CLIN NEUROPHYSIOL,52,0,0,1,2,4,7,1,4,4,2,27
240,,VIS COGN,52,2,0,3,4,1,6,4,4,1,6,21
241,1.689,APPL SCI-BASEL,51,0,4,0,12,1,6,5,5,3,2,13
242,3.557,IEEE ACCESS,51,0,1,1,7,2,9,3,4,2,2,20
243,,J AUTISM DEV DISORD,51,0,3,2,5,1,2,8,6,3,1,20
244,2.475,SENSORS-BASEL,51,1,2,6,10,1,7,4,1,5,5,9
245,1.807,CLIN EEG NEUROSCI,50,0,2,1,2,3,6,4,8,2,2,20
246,1.120,MED HYPOTHESES,50,0,4,4,1,6,5,5,5,2,5,13
247,,NEW DEV NMR,50,1,2,6,2,11,7,2,1,3,4,11
248,1.649,COMPUT INTEL NEUROSC,49,1,1,2,2,2,5,5,6,2,2,21
249,3.478,CURR NEUROL NEUROSCI,49,1,1,4,3,3,4,6,6,2,3,16
250,4.621,EUR J NEUROL,49,0,0,1,0,1,10,3,5,6,4,19
251,2.839,SEIZURE-EUR J EPILEP,49,0,2,2,3,2,7,4,2,3,5,19
252,6.048,ADDICTION,48,0,4,2,6,1,6,1,3,5,2,18
253,2.284,PHYS REV E,48,0,4,1,6,2,2,5,3,8,2,15
254,4.649,ANN CLIN TRANSL NEUR,47,1,2,5,4,3,4,2,4,3,3,16
255,2.413,BMJ OPEN,47,1,1,2,5,4,8,3,3,2,1,17
256,3.496,GENES BRAIN BEHAV,47,0,3,1,5,7,3,3,4,3,3,15
257,,J EXP PSYCHOL GEN,47,0,3,1,2,2,5,2,5,2,2,23
258,3.123,PEDIATR RES,47,0,1,1,15,1,6,4,3,2,1,13
259,,PSYCHOL RES-PSYCH FO,47,0,2,1,3,3,6,2,3,1,2,24
260,2.991,EUR J PAIN,46,0,4,2,3,3,0,4,0,1,4,25
261,2.368,Q J NUCL MED MOL IM,46,4,3,2,9,2,8,2,4,2,2,8
262,2.590,REV NEUROSCIENCE,46,0,5,5,4,1,4,6,3,2,2,14
263,3.480,AM J GERIAT PSYCHIAT,45,0,0,2,4,1,3,6,5,4,3,17
264,,EUR SIGNAL PR CONF,45,0,2,4,3,4,6,3,1,9,1,12
265,,FRONT INTEGR NEUROSC,45,0,3,1,2,2,7,4,3,2,5,16
266,,MEMORY,45,0,2,2,0,2,4,5,6,1,1,22
267,,PSYCHOL SCI,45,1,2,2,5,2,5,3,4,3,4,14
268,,INT REV PSYCHIATR,44,1,2,2,6,7,1,5,4,1,3,12
269,4.859,J PAIN,44,0,0,1,3,4,5,2,1,4,3,21
270,11.460,JAMA NEUROL,43,1,3,1,1,1,7,3,5,4,2,15
271,3.395,SLEEP MED,43,0,0,1,5,5,3,3,3,0,1,22
272,3.713,WORLD J BIOL PSYCHIA,43,0,0,1,0,1,3,3,7,6,3,19
273,1.796,COGN NEUROPSYCHOL,42,2,3,3,4,6,4,3,0,0,1,16
274,4.010,CURR OPIN NEUROL,42,3,3,2,2,5,9,2,3,1,2,10
275,1.840,HUM MOVEMENT SCI,42,1,3,1,6,1,3,2,2,0,4,19
276,5.159,INT J OBESITY,42,0,3,3,5,5,2,0,6,1,5,12
277,1.853,J CLIN EXP NEUROPSYC,42,0,2,1,2,2,3,2,6,4,1,19
278,3.403,J HEADACHE PAIN,42,4,1,1,1,4,1,3,3,1,2,21
279,3.500,J NEURODEV DISORD,42,0,4,5,4,0,5,6,2,1,3,12
280,2.645,J PAIN RES,42,0,1,1,0,6,3,5,3,4,1,18
281,,LECT NOTES COMPUT SC,42,1,2,0,5,0,2,3,4,2,2,21
282,,MINDFULNESS,42,0,3,5,1,1,10,9,2,3,1,7
283,4.721,PARKINSONISM RELAT D,42,0,0,1,5,2,2,7,5,5,2,13
284,1.829,COMPLEXITY,41,1,2,1,4,6,7,2,8,0,4,6
285,,CURR OPIN PSYCHOL,41,1,2,1,6,2,11,0,3,1,5,9
286,2.305,ENTROPY-SWITZ,41,3,0,1,5,3,4,1,11,3,1,9
287,,PERS INDIV DIFFER,41,0,2,0,3,6,4,3,4,3,2,14
288,2.132,PHYSICA A,41,0,2,1,3,2,4,5,6,2,2,14
289,4.136,SCI BULL,41,0,5,1,1,10,6,3,3,3,2,7
290,2.170,BMC NEUROL,40,1,3,1,2,1,6,3,3,4,4,12
291,,J EXP CHILD PSYCHOL,40,0,1,0,1,0,4,8,3,3,3,17
292,2.240,PHYS MEDICA,40,1,1,3,0,1,7,4,5,3,1,14
293,1.870,SEMIN NEUROL,40,2,5,0,2,1,9,5,1,0,3,12
294,1.371,PERCEPTION,39,0,1,5,2,2,2,3,4,1,2,17
295,,BRAIN-COMPUT INTERFA,38,0,4,4,3,3,6,6,3,2,1,6
296,,COGNITIVE SCI,38,0,1,3,1,4,5,3,1,4,2,14
297,3.289,DEV MED CHILD NEUROL,38,2,3,3,4,2,5,5,3,2,0,9
298,3.553,EUR CHILD ADOLES PSY,38,0,1,0,0,4,5,1,5,1,3,18
299,3.228,J NEUROVIROL,38,0,0,0,7,2,3,2,1,7,4,12
300,2.285,NEUROL SCI,38,0,0,0,2,3,3,4,4,1,0,21
301,,COGNITION EMOTION,37,0,1,0,3,2,3,3,5,1,3,16
302,2.843,EUR J RADIOL,37,1,1,3,0,1,1,4,6,2,6,12
303,1.971,MED BIOL ENG COMPUT,37,0,0,1,3,4,3,3,3,2,0,18
304,3.495,CNS NEUROSCI THER,36,0,0,2,4,4,4,4,3,2,1,12
305,3.355,J R SOC INTERFACE,36,5,5,3,2,1,3,2,5,2,1,7
306,2.339,MULTISENS RES,36,0,2,1,1,4,6,4,0,1,1,16
307,2.507,BEHAV NEUROSCI,35,2,2,1,3,3,0,6,4,0,4,10
308,2.790,CLIN NEURORADIOL,35,0,0,0,1,2,4,1,3,2,2,20
309,,J BUS ETHICS,35,0,0,1,3,2,4,7,0,2,1,15
310,3.842,NEUROGASTROENT MOTIL,35,2,2,4,1,2,3,2,3,4,2,10
311,,CLIN PSYCHOL SCI,34,0,2,0,2,0,5,1,1,6,3,14
312,2.630,EJNMMI RES,34,1,2,1,1,1,5,1,2,3,6,11
313,,IEEE SYS MAN CYBERN,34,1,3,2,4,2,3,6,2,0,3,8
314,3.687,INT J MOL SCI,34,0,3,2,3,1,6,4,2,2,2,9
315,4.902,J GERONTOL A-BIOL,34,0,0,2,2,4,5,1,4,2,2,12
316,19.819,NAT REV NEUROL,34,4,2,0,1,4,5,4,1,0,6,7
317,,ADV MOTIV A,33,0,0,1,6,6,1,4,4,0,2,9
318,3.183,ALCOHOL CLIN EXP RES,33,1,0,1,1,1,5,5,2,0,1,16
319,,ASIAN J PSYCHIATR,33,0,1,1,11,0,3,1,1,1,2,12
320,,BASIC CLIN NEUROSCI,33,0,0,0,0,0,5,4,8,3,3,10
321,,J VOICE,33,0,0,0,1,0,2,1,0,6,6,17
322,,LANG LINGUIST COMPAS,33,2,7,1,1,2,5,8,1,1,1,4
323,,NEUROSCI CONSCIOUS,33,3,3,2,1,3,3,3,2,3,0,10
324,3.126,ACTA NEUROL SCAND,32,0,0,1,3,0,5,1,2,1,3,16
325,1.823,ACTA RADIOL,32,0,1,0,2,1,4,1,3,4,4,12
326,3.016,AM J MED GENET B,32,0,0,2,2,4,3,1,12,1,3,4
327,5.084,AUST NZ J PSYCHIAT,32,0,0,1,1,2,5,3,4,3,1,12
328,,BEHAV RES THER,32,0,5,2,1,1,4,3,5,1,2,8
329,2.757,CURR PHARM DESIGN,32,1,1,0,1,1,6,3,3,5,5,6
330,3.696,EXPERT REV NEUROTHER,32,2,2,3,3,0,6,4,1,0,3,8
